idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Las formaciones presenonianas en el denominado Macizo Nordpatagónico y regiones adyacentes,"PN Stipanicic, F Rodrigo, OL Baulies, CG Martínez","Revista de la Asociación Geológica Argentina 23 (2), 67-98, 1968",252,1968
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Is muscular fitness associated with future health benefits in children and adolescents? A systematic review and meta-analysis of longitudinal studies,"A García-Hermoso, R Ramírez-Campillo, M Izquierdo","Sports Medicine 49 (7), 1079-1094, 2019",246,2019
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Development of quantitative cell-based enzyme assays in microdroplets,"A Huebner, LF Olguin, D Bratton, G Whyte, WTS Huck, AJ De Mello, ...","Analytical chemistry 80 (10), 3890-3896, 2008",227,2008
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,High-speed resistance training is more effective than low-speed resistance training to increase functional capacity and muscle performance in older women,"R Ramírez-Campillo, A Castillo, I Carlos, C Campos-Jara, DC Andrade, ...","Experimental gerontology 58, 51-57, 2014",211,2014
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Effects of in-season low-volume high-intensity plyometric training on explosive actions and endurance of young soccer players,"R Ramírez-Campillo, C Meylan, C Álvarez, C Henríquez-Olguín, ...","The Journal of Strength & Conditioning Research 28 (5), 1335-1342, 2014",210,2014
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,"Effect of vertical, horizontal, and combined plyometric training on explosive, balance, and endurance performance of young soccer players","R Ramírez-Campillo, F Gallardo, C Henriquez-Olguín, CMP Meylan, ...","The Journal of Strength & Conditioning Research 29 (7), 1784-1795, 2015",203,2015
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,"Effect of unilateral, bilateral, and combined plyometric training on explosive and endurance performance of young soccer players","R Ramírez-Campillo, CH Burgos, C Henríquez-Olguín, DC Andrade, ...","The Journal of Strength & Conditioning Research 29 (5), 1317-1328, 2015",180,2015
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Contribution of cocoa agroforestry systems to family income and domestic consumption: looking toward intensification,"R Cerda, O Deheuvels, D Calvache, L Niehaus, Y Saenz, J Kent, ...","Agroforestry systems 88 (6), 957-981, 2014",163,2014
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Effects of plyometric training volume and training surface on explosive strength,"R Ramírez-Campillo, DC Andrade, M Izquierdo","The Journal of Strength & Conditioning Research 27 (10), 2714-2722, 2013",153,2013
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Study of the interfacial MWS relaxation by dielectric spectroscopy in unidirectional PZT fibres/epoxy resin composites,"H Hammami, M Arous, M Lagache, A Kallel","Journal of alloys and compounds 430 (1-2), 1-8, 2007",136*,2007
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,A combinational auction improves school meals in Chile,"R Epstein, L Henríquez, J Catalán, GY Weintraub, C Martínez","Interfaces 32 (6), 1-14, 2002",135,2002
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Effects of plyometric training on endurance and explosive strength performance in competitive middle-and long-distance runners,"R Ramírez-Campillo, C Álvarez, C Henríquez-Olguín, EB Baez, ...","The Journal of Strength & Conditioning Research 28 (1), 97-104, 2014",132,2014
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,"Heart rate, technical performance, and session-RPE in elite youth soccer small-sided games played with wildcard players","J Sanchez-Sanchez, D Hernández, D Casamichana, C Martínez-Salazar, ...","The Journal of Strength & Conditioning Research 31 (10), 2678-2685, 2017",128,2017
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Effects of plyometric training on maximal-intensity exercise and endurance in male and female soccer players,"R Ramírez-Campillo, M Vergara-Pedreros, C Henríquez-Olguín, ...","Journal of sports sciences 34 (8), 687-693, 2016",122,2016
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,El sedentarismo se asocia a un incremento de factores de riesgo cardiovascular y metabólicos independiente de los niveles de actividad física,"AM Leiva, MA Martínez, C Cristi-Montero, C Salas, R Ramírez-Campillo, ...","Revista médica de Chile 145 (4), 458-467, 2017",121,2017
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Intersession and intrasession reliability and validity of the My Jump app for measuring different jump actions in trained male and female athletes,"F Gallardo-Fuentes, J Gallardo-Fuentes, R Ramírez-Campillo, ...","Journal of strength and conditioning research 30 (7), 2049-2056, 2016",121,2016
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Concurrent aerobic plus resistance exercise versus aerobic exercise alone to improve health outcomes in paediatric obesity: a systematic review and meta-analysis,"A García-Hermoso, R Ramírez-Vélez, R Ramírez-Campillo, MD Peterson, ...","British Journal of Sports Medicine 52 (3), 161-166, 2018",120,2018
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Age-related variation in male youth athletes' countermovement jump after plyometric training: a meta-analysis of controlled trials,"JJ Moran, GRH Sandercock, R Ramírez-Campillo, CMP Meylan, ...","The Journal of Strength & Conditioning Research 31 (2), 552-565, 2017",120,2017
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,Ultra-short-term heart rate variability is sensitive to training effects in team sports players,"FY Nakamura, AA Flatt, LA Pereira, R Ramirez-Campillo, I Loturco, ...","Journal of sports science & medicine 14 (3), 602, 2015",114,2015
_oq7lg0AAAAJ,uach,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",,,¡ Sedentarismo e inactividad física no son lo mismo!: una actualización de conceptos orientada a la prescripción del ejercicio físico para la salud,"C Cristi-Montero, C Celis-Morales, R Ramírez-Campillo, N Aguilar-Farías, ...","Revista médica de Chile 143 (8), 1089-1090, 2015",114,2015
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Continental-scale temperature variability during the past two millennia,,"Nature geoscience 6 (5), 339-346, 2013",904,2013
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Rapid deforestation and fragmentation of Chilean temperate forests,"C Echeverría, D Coomes, J Salas, JM Rey-Benayas, A Lara, A Newton","Biological conservation 130 (4), 481-494, 2006",744,2006
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,A 3620-year temperature record from Fitzroya cupressoides tree rings in southern South America,"A Lara, R Villalba","Science 260 (5111), 1104-1106, 1993",394,1993
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Large-scale temperature changes across the southern Andes: 20th-century variations in the context of the past 400 years,"R Villalba, A Lara, JA Boninsegna, M Masiokas, S Delgado, JC Aravena, ...","Climate variability and change in high elevation regions: Past, present …, 2003",353,2003
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Impacts of forest fragmentation on species composition and forest structure in the temperate landscape of southern Chile,"C Echeverría, AC Newton, A Lara, JMR Benayas, DA Coomes","Global Ecology and Biogeography 16 (4), 426-439, 2007",324,2007
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Ecosystem services research in Latin America: The state of the art,"P Balvanera, M Uriarte, L Almeida-Leñero, A Altesor, F DeClerck, ...","Ecosystem Services 2, 56-70, 2012",302,2012
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Disturbance and forest dynamics along a transect from Andean rain forest to Patagonian shrubland,"TT Veblen, T Kitzberger, A Lara","Journal of Vegetation Science 3 (4), 507-520, 1992",285,1992
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Revealing the impact of forest exotic plantations on water yield in large scale watersheds in South-Central Chile,"C Little, A Lara, J McPhee, R Urrutia","Journal of hydrology 374 (1-2), 162-170, 2009",271,2009
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Timing of surgery following SARS‐CoV‐2 infection: an international prospective cohort study,"H Gacaferi, GS Collaborative, COVIDSurg Collaborative","Anaesthesia 76 (6), 2021",255*,2021
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Assessment of ecosystem services as an opportunity for the conservation and management of native forests in Chile,"A Lara, C Little, R Urrutia, J McPhee, C Álvarez-Garretón, C Oyarzún, ...","Forest Ecology and Management 258 (4), 415-424, 2009",243,2009
dYeZp8QAAAAJ,uach,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",,,Unusual Southern Hemisphere tree growth patterns induced by changes in the Southern Annular Mode,"R Villalba, A Lara, MH Masiokas, R Urrutia, BH Luckman, GJ Marshall, ...","Nature geoscience 5 (11), 793-798, 2012",242,2012
