idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,The astropy project: building an open-science project and status of the v2. 0 core package,"AM Price-Whelan, BM Sipőcz, HM Günther, PL Lim, SM Crawford, ...","The Astronomical Journal 156 (3), 123, 2018",4854,2018
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,"Sloan digital sky survey IV: Mapping the Milky Way, nearby galaxies, and the distant universe","MR Blanton, MA Bershady, B Abolfathi, FD Albareti, CA Prieto, A Almeida, ...","The Astronomical Journal 154 (1), 28, 2017",1170,2017
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,The fourteenth data release of the Sloan Digital Sky Survey: First spectroscopic data from the extended Baryon Oscillation Spectroscopic Survey and from the second phase of the …,"B Abolfathi, DS Aguado, G Aguilar, CA Prieto, A Almeida, TT Ananna, ...","The Astrophysical Journal Supplement Series 235 (2), 42, 2018",941,2018
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,The 16th data release of the sloan digital sky surveys: first release from the APOGEE-2 southern survey and full release of eBOSS spectra,"R Ahumada, CA Prieto, A Almeida, F Anders, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 249 (1), 3, 2020",679,2020
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,Gas-to-dust mass ratios in local galaxies over a 2 dex metallicity range,"A Rémy-Ruyer, SC Madden, F Galliano, M Galametz, TT Takeuchi, ...","Astronomy & Astrophysics 563, A31, 2014",533,2014
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,CIGALE: a python code investigating GALaxy emission,"M Boquien, D Burgarella, Y Roehlly, V Buat, L Ciesla, D Corre, AK Inoue, ...","Astronomy & Astrophysics 622, A103, 2019",441,2019
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,The applicability of far-infrared fine-structure lines as star formation rate tracers over wide ranges of metallicities and galaxy types,"I De Looze, D Cormier, V Lebouteiller, S Madden, M Baes, GJ Bendo, ...","Astronomy & Astrophysics 568, A62, 2014",354,2014
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,"The fifteenth data release of the Sloan Digital Sky Surveys: first release of MaNGA-derived quantities, data visualization tools, and stellar library","DS Aguado, R Ahumada, A Almeida, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 240 (2), 23, 2019",345,2019
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,SDSS IV MaNGA–spatially resolved diagnostic diagrams: a proof that many galaxies are LIERs,"F Belfiore, R Maiolino, C Maraston, E Emsellem, MA Bershady, ...","Monthly Notices of the Royal Astronomical Society 461 (3), 3111-3134, 2016",280,2016
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,Dust attenuation curves in the local universe: demographics and new laws for star-forming galaxies and high-redshift analogs,"S Salim, M Boquien, JC Lee","The Astrophysical Journal 859 (1), 11, 2018",248,2018
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,"GALEX–SDSS–WISE Legacy Catalog (GSWLC): Star formation rates, stellar masses, and dust attenuations of 700,000 low-redshift galaxies","S Salim, JC Lee, S Janowiecki, E Da Cunha, M Dickinson, M Boquien, ...","The Astrophysical Journal Supplement Series 227 (1), 2, 2016",216,2016
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,An overview of the dwarf galaxy survey,"SC Madden, A Rémy-Ruyer, M Galametz, D Cormier, V Lebouteiller, ...","Publications of the Astronomical Society of the Pacific 125 (928), 600, 2013",209,2013
_YlQ7Q0AAAAJ,uantof,Médéric Boquien,Universidad de Antofagasta,,,The dust scaling relations of the Herschel Reference Survey,"L Cortese, L Ciesla, A Boselli, S Bianchi, H Gomez, MWL Smith, ...","Astronomy & Astrophysics 540, A52, 2012",208,2012
