idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,A temperate rocky super-Earth transiting a nearby cool star,"JA Dittmann, JM Irwin, D Charbonneau, X Bonfils, N Astudillo-Defru, ...","Nature 544 (7650), 333-336, 2017",294,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,A rocky planet transiting a nearby low-mass star,"ZK Berta-Thompson, J Irwin, D Charbonneau, ER Newton, JA Dittmann, ...","Nature 527 (7577), 204-207, 2015",225,2015
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Magnetic activity in the HARPS M dwarf sample-The rotation-activity relationship for very low-mass stars through R'HK,"N Astudillo-Defru, X Delfosse, X Bonfils, T Forveille, C Lovis, J Rameau","Astronomy & Astrophysics 600, A13, 2017",155,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Atmospheric characterization of Proxima b by coupling the SPHERE high-contrast imager to the ESPRESSO spectrograph,"C Lovis, I Snellen, D Mouillet, F Pepe, F Wildi, N Astudillo-Defru, JL Beuzit, ...","Astronomy & Astrophysics 599, A16, 2017",153,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,"The HARPS search for southern extra-solar planets-XLI. A dozen planets around the M dwarfs GJ 3138, GJ 3323, GJ 273, GJ 628, and GJ 3293","N Astudillo-Defru, T Forveille, X Bonfils, D Ségransan, F Bouchy, ...","Astronomy & Astrophysics 602, A88, 2017",132,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Hot Exoplanet Atmospheres Resolved with Transit Spectroscopy (HEARTS)-I. Detection of hot neutral sodium at high altitudes on WASP-49b,"A Wyttenbach, C Lovis, D Ehrenreich, V Bourrier, L Pino, R Allart, ...","Astronomy & Astrophysics 602, A36, 2017",97,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,A second terrestrial planet orbiting the nearby M dwarf LHS 1140,"K Ment, JA Dittmann, N Astudillo-Defru, D Charbonneau, J Irwin, X Bonfils, ...","The Astronomical Journal 157 (1), 32, 2019",93,2019
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,A temperate exo-Earth around a quiet M dwarf at 3.4 parsec,"X Bonfils, N Astudillo-Defru, R Díaz, JM Almenara, T Forveille, F Bouchy, ...","Astronomy & Astrophysics 613, A25, 2018",87,2018
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,"The harps search for southern extra-solar planets-xxxvi. Planetary systems and stellar activity of the m dwarfs gj 3293, gj 3341, and gj 3543","N Astudillo-Defru, X Bonfils, X Delfosse, D Ségransan, T Forveille, ...","Astronomy & Astrophysics 575, A119, 2015",86,2015
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Hot Exoplanet Atmospheres Resolved with Transit Spectroscopy (HEARTS)-II. A broadened sodium feature on the ultra-hot giant WASP-76b,"JV Seidel, D Ehrenreich, A Wyttenbach, R Allart, M Lendl, L Pino, ...","Astronomy & Astrophysics 623, A166, 2019",80,2019
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Orbital misalignment of the Neptune-mass exoplanet GJ 436b with the spin of its cool star,"V Bourrier, C Lovis, H Beust, D Ehrenreich, GW Henry, N Astudillo-Defru, ...","Nature 553 (7689), 477-480, 2018",80,2018
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Ground-based detection of calcium and possibly scandium and hydrogen in the atmosphere of HD 209458b,"N Astudillo-Defru, P Rojo","Astronomy & Astrophysics 557, A56, 2013",72,2013
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,The 55 Cancri system reassessed,"V Bourrier, X Dumusque, C Dorn, GW Henry, N Astudillo-Defru, J Rey, ...","Astronomy & Astrophysics 619, A1, 2018",66,2018
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,"Characterization of the K2-18 multi-planetary system with HARPS-A habitable zone super-Earth and discovery of a second, warm super-Earth on a non-coplanar orbit","R Cloutier, N Astudillo-Defru, R Doyon, X Bonfils, JM Almenara, ...","Astronomy & Astrophysics 608, A35, 2017",66,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,The HARPS search for southern extra-solar planets-XLII. A system of Earth-mass planets around the nearby M dwarf YZ Ceti,"N Astudillo-Defru, RF Diaz, X Bonfils, JM Almenara, JB Delisle, F Bouchy, ...","Astronomy & Astrophysics 605, L11, 2017",62,2017
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Hot Exoplanet Atmospheres Resolved with Transit Spectroscopy (HEARTS)-IV. A spectral inventory of atoms and molecules in the high-resolution transmission spectrum of WASP-121 b,"HJ Hoeijmakers, JV Seidel, L Pino, D Kitzmann, JP Sindel, D Ehrenreich, ...","Astronomy & Astrophysics 641, A123, 2020",61,2020
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,A pair of TESS planets spanning the radius valley around the nearby mid-M dwarf LTT 3780,"R Cloutier, JD Eastman, JE Rodriguez, N Astudillo-Defru, X Bonfils, ...","The Astronomical Journal 160 (1), 3, 2020",57,2020
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,"Three red suns in the sky: a transiting, terrestrial planet in a triple m-dwarf system at 6.9 pc","JG Winters, AA Medina, JM Irwin, D Charbonneau, N Astudillo-Defru, ...","The Astronomical Journal 158 (4), 152, 2019",57,2019
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,Radial velocity follow-up of GJ1132 with HARPS-A precise mass for planet b and the discovery of a second planet,"X Bonfils, JM Almenara, R Cloutier, A Wünsche, N Astudillo-Defru, ...","Astronomy & Astrophysics 618, A142, 2018",57,2018
burjvaoAAAAJ,ucsc,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",,,The SOPHIE search for northern extrasolar planets-VII. A warm Neptune orbiting HD 164595,"B Courcol, F Bouchy, F Pepe, A Santerne, X Delfosse, L Arnold, ...","Astronomy & Astrophysics 581, A38, 2015",56,2015
sDm6OpcAAAAJ,ucsc,Danny Eugenio García Marrero,"Departamento de Química Ambiental, UCSC",,,Evaluación de los principales factores que influyen en la composición fitoquímica de Morus alba (Linn.). I Análisis cualitativo de metabolitos secundarios,"DE García, F Ojeda, I Montejo","Pastos y forrajes 26 (4), 2003",125,2003
