idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Derecho penal: parte general,"ER Zaffaroni, A Alagia, A Slokar","Ediar, 2000",3574*,2000
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Las razones del derecho: teorías de la argumentación jurídica,M Atienza,"Palestra Editores, 2017",1346*,2017
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Derecho y argumentación,M Atienza,"Universidad Externado, 2010",997,2010
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Neoconstitucionalismo (s),M Carbonell,"Biblioteca Hernán Malo González, 2009",903,2009
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Manual de derecho penal,"ER Zaffaroni, A Alagia, A Slokar","Ediciones Jurd̕icas, 1998",797,1998
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Curso de argumentación jurídica,M Atienza,"Curso de argumentación jurídica, 0-0, 2013",673,2013
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Estudios de teoría constitucional,R Guastini,"Universidad Nacional Autónoma de México, Instituto de Investigaciones Jurídicas, 2001",655,2001
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,"Poder Judiciário: crise, acertos e desacertos","ER Zaffaroni, J Tavares","Revista dos Tribunais, 1995",505,1995
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Estudios sobre la interpretación jurídica,"R Guastini, MG Abellán, M Carbonell","Porrúa, 2004",380,2004
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Autonomías y emancipaciones: América Latina en movimiento,R Zibechi,"Universidad Nacional Mayor de San Marcos, Fondo Editorial de la Facultad de …, 2007",243,2007
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,El canon neoconstitucional,"M Carbonell, LG Jaramillo","Universidad Externado, 2010",212,2010
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,El principio de proporcionalidad y la interpretación constitucional,M Carbonell,"Ministerio de justicia y derechos Humanos, 10-12, 2008",187,2008
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Proceso de autonomía en Cherán: Movilizar el derecho,"V Patiño, M del Carmen","Espiral (Guadalajara) 19 (55), 157-176, 2012",46,2012
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Los principios jurídicos según Manuel Atienza y Juan Ruiz Manero,A Peczenik,"Universidad de Alicante. Área de Filosofía del Derecho, 1992",39,1992
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Imperio de la ley y constitucionalismo Un diálogo entre Manuel Atienza y Francisco Laporta,MA Rodríguez,"Derecho PUCP: Revista de la Facultad de Derecho, 307-326, 2008",20,2008
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,"SURGIMIENTO, EVOLUCIÓN Y EXPANSIÓN DE LA RESPONSABILIDAD SOCIAL EMPRESARIAL: UNA PROPUESTA DE COMPRENSIÓN CRÍTICA","A Buenaventura, VM Gómez, PE León, Á Zerda, U De Manizales, F De, ...","Perspectivas críticas de la contabilidad “Reflexiones y críticas contables …, 2008",3,2008
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,"La tutela judicial efectiva y su debido proceso de cara a la ley 50-88, sobre drogas y sustancias controlada.",A Rosario,"Lic: en Derecho, 2015",,2015
eCcV9LAAAAAJ,uct,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",,,Tutela judicial efectiva y debido proceso de cara a la ley 50-88 sobre drogas y sustacia controlada en el Distrito Judicial de Independencia año 2014,AR Matos,"Universidad Católica Tecnológica de Barahona (UCATEBA), 2014",,2014
