idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Metallophthalocyanines as catalysts in electrochemical reactions,JH Zagal,"Coordination Chemistry Reviews 119, 89-136, 1992",684,1992
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Metallophthalocyanine-based molecular materials as catalysts for electrochemical reactions,"JH Zagal, S Griveau, JF Silva, T Nyokong, F Bedioui","Coordination Chemistry Reviews 254 (23-24), 2755-2791, 2010",547,2010
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,A mechanistic study of O 2 reduction on water soluble phthalocyanines adsorbed on graphite electrodes,"J Zagal, P Bindra, E Yeager","Journal of The Electrochemical Society 127 (7), 1506, 1980",404,1980
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Reactivity descriptors for the activity of molecular MN4 catalysts for the oxygen reduction reaction,"JH Zagal, MTM Koper","Angewandte Chemie International Edition 55 (47), 14510-14521, 2016",358,2016
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Electrocatalytic activity of metal phthalocyanines for oxygen reduction,"J Zagal, M Paez, AA Tanaka, JR dos Santos Jr, CA Linkous","Journal of Electroanalytical Chemistry 339 (1-2), 13-30, 1992",333,1992
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,N4-macrocyclic metal complexes,"JH Zagal, F Bedioui, JP Dodelet","Springer Science & Business Media, 2007",285,2007
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Electrocatalytic oxidation of nitrite on a vitreous carbon electrode modified with cobalt phthalocyanine,"CA Caro, F Bedioui, JH Zagal","Electrochimica acta 47 (9), 1489-1494, 2002",252,2002
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Oxygen reduction by Co (II) tetrasulfonatephthalocyanine irreversibly adsorbed on a stress-annealed pyrolytic graphite electrode surface,"J Zagal, RK Sen, E Yeager","Journal of Electroanalytical Chemistry and Interfacial Electrochemistry 83 …, 1977",224,1977
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Linear versus volcano correlations between electrocatalytic activity and redox and electronic properties of metallophthalocyanines,"JH Zagal, M Gulppi, M Isaacs, G Cárdenas-Jirón, MJ ́s Aguirre","Electrochimica Acta 44 (8-9), 1349-1357, 1998",170,1998
vjUabgsAAAAJ,usach,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",,,Electro-oxidation of 2-mercaptoethanol on adsorbed monomeric and electropolymerized cobalt tetra-aminophthalocyanine films. Effect of film thickness,"S Griveau, J Pavez, JH Zagal, F Bedioui","Journal of Electroanalytical Chemistry 497 (1-2), 75-83, 2001",158,2001
