id_gs,idco,nombre_coautor,dominio,cargo
OKfYDv0AAAAJ,7w57_eQAAAAJ,John P. Blakeslee,Dirección de correo verificada de noirlab.edu,NSF's National Optical-Infrared Astronomy Research Laboratory (NOIRLab)
OKfYDv0AAAAJ,tvwRM0MAAAAJ,Gaspar Bakos,Dirección de correo verificada de astro.princeton.edu,Princeton University
OKfYDv0AAAAJ,lpAFRtQAAAAJ,Gregory R. Sivakoff,Dirección de correo verificada de ualberta.ca,University of Alberta
OKfYDv0AAAAJ,Stxq64UAAAAJ,Joel D. Hartman,Dirección de correo verificada de astro.princeton.edu,"Associate Research Scholar, Department of Astrophysical Sciences, Princeton University"
OKfYDv0AAAAJ,rAl3x3kAAAAJ,Luigi Mancini,Dirección de correo verificada de roma2.infn.it,"Department of Physics, University of Rome Tor Vergata"
OKfYDv0AAAAJ,_DbYd7sAAAAJ,Thomas H. Puzia,Dirección de correo verificada de astro.puc.cl,"Professor of Astrophysics, Pontificia Universidad Catolica de Chile"
OKfYDv0AAAAJ,jTWJYbEAAAAJ,James Jenkins,Dirección de correo verificada de das.uchile.cl,Universidad de Chile
OKfYDv0AAAAJ,gOj959UAAAAJ,Simon Casassus,Dirección de correo verificada de u.uchile.cl,"Full Professor, Universidad de Chile"
OKfYDv0AAAAJ,KgE0_U4AAAAJ,Brian Schmidt,Dirección de correo verificada de anu.edu.au,"Professor of Astronomy, The Australian National University"
OKfYDv0AAAAJ,dcVwfTkAAAAJ,Judith Croston,Dirección de correo verificada de open.ac.uk,The Open University
OKfYDv0AAAAJ,WU250ccAAAAJ,Martin Hardcastle,Dirección de correo verificada de herts.ac.uk,"Professor of Astrophysics, University of Hertfordshire"
OKfYDv0AAAAJ,hbnmYREAAAAJ,Jonathan Fraine,Dirección de correo verificada de spacescience.org,Space Science Institute
OKfYDv0AAAAJ,AZJzkNAAAAAJ,Susana Eyheramendy,Dirección de correo verificada de umayor.cl,"Professor of Statistics, U Mayor"
OKfYDv0AAAAJ,j9U2cmMAAAAJ,Márcio Catelan,Dirección de correo verificada de astro.puc.cl,Pontificia Universidad Católica de Chile
