id_gs,idco,nombre_coautor,dominio,cargo
kRU66jcAAAAJ,j_RQI9wAAAAJ,"Adsuar, J.C.",Dirección de correo verificada de unex.es,Universidad de extremadura
kRU66jcAAAAJ,j_RQI9wAAAAJ,"Adsuar, J.C.",Dirección de correo verificada de unex.es,Universidad de extremadura
EkOGlRoAAAAJ,lDcjUKIAAAAJ,Elpiniki Papageorgiou,Dirección de correo verificada de uth.gr,"Professor in Artificial Intelligence, University of Thessaly"
EkOGlRoAAAAJ,KnfpKfcAAAAJ,Victor A. Bañuls,Dirección de correo verificada de upo.es,"Professor of Management Information Systems, Universidad Pablo de Olavide"
EkOGlRoAAAAJ,QIPvO0kAAAAJ,Wojciech Froelich,Dirección de correo verificada de us.edu.pl,"Institute of Computer Science, University of Silesia, Poland"
EkOGlRoAAAAJ,jSVbbvIAAAAJ,Rosario Vidal,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,tmrQsSwAAAAJ,Florentin Smarandache,Dirección de correo verificada de unm.edu,University of New Mexico
EkOGlRoAAAAJ,2ZhNZzkAAAAJ,Ester Gutierrez Moya,Dirección de correo verificada de us.es,"Professor, Universidad de Sevilla (Spain)"
EkOGlRoAAAAJ,4Snp-IAAAAAJ,Ines Herrero,Dirección de correo verificada de upo.es,Catedrática de Universidad. Empresa. Management.
EkOGlRoAAAAJ,R9WyFxUAAAAJ,Samira A.Rahimi,Dirección de correo verificada de mcgill.ca,"Assistant Professor, McGill University"
EkOGlRoAAAAJ,5N-8TY8AAAAJ,Pedro R. Palos-Sanchez (ORCID: 000...,Dirección de correo verificada de us.es,Associate Professor. Universidad de Sevilla. Dept. Financial Economy and Operation Management
EkOGlRoAAAAJ,ARNmg6IAAAAJ,Gonzalo Nápoles,Dirección de correo verificada de uvt.nl,Assistant Professor at Tilburg University
EkOGlRoAAAAJ,fc-jiMIAAAAJ,Koen VANHOOF,Dirección de correo verificada de uhasselt.be,
EkOGlRoAAAAJ,gQKtl8kAAAAJ,Jose Carlos Molina,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,H3G5Ke8AAAAJ,Ignacio Eguia,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,8J8ycaUAAAAJ,Vicente Chulvi,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,KgwanDEAAAAJ,David Cebrián Tarrasón,Dirección de correo verificada de derpilgrim.es,Knowledge & Engineering Design PhD
EkOGlRoAAAAJ,5NFe1csAAAAJ,Karel Mls,Dirección de correo verificada de uhk.cz,"odborný asistent, Univerzita Hradec Králové"
EkOGlRoAAAAJ,lDcjUKIAAAAJ,Elpiniki Papageorgiou,Dirección de correo verificada de uth.gr,"Professor in Artificial Intelligence, University of Thessaly"
EkOGlRoAAAAJ,KnfpKfcAAAAJ,Victor A. Bañuls,Dirección de correo verificada de upo.es,"Professor of Management Information Systems, Universidad Pablo de Olavide"
EkOGlRoAAAAJ,QIPvO0kAAAAJ,Wojciech Froelich,Dirección de correo verificada de us.edu.pl,"Institute of Computer Science, University of Silesia, Poland"
EkOGlRoAAAAJ,jSVbbvIAAAAJ,Rosario Vidal,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,tmrQsSwAAAAJ,Florentin Smarandache,Dirección de correo verificada de unm.edu,University of New Mexico
EkOGlRoAAAAJ,2ZhNZzkAAAAJ,Ester Gutierrez Moya,Dirección de correo verificada de us.es,"Professor, Universidad de Sevilla (Spain)"
EkOGlRoAAAAJ,4Snp-IAAAAAJ,Ines Herrero,Dirección de correo verificada de upo.es,Catedrática de Universidad. Empresa. Management.
EkOGlRoAAAAJ,R9WyFxUAAAAJ,Samira A.Rahimi,Dirección de correo verificada de mcgill.ca,"Assistant Professor, McGill University"
EkOGlRoAAAAJ,5N-8TY8AAAAJ,Pedro R. Palos-Sanchez (ORCID: 000...,Dirección de correo verificada de us.es,Associate Professor. Universidad de Sevilla. Dept. Financial Economy and Operation Management
EkOGlRoAAAAJ,ARNmg6IAAAAJ,Gonzalo Nápoles,Dirección de correo verificada de uvt.nl,Assistant Professor at Tilburg University
EkOGlRoAAAAJ,fc-jiMIAAAAJ,Koen VANHOOF,Dirección de correo verificada de uhasselt.be,
EkOGlRoAAAAJ,gQKtl8kAAAAJ,Jose Carlos Molina,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,H3G5Ke8AAAAJ,Ignacio Eguia,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,8J8ycaUAAAAJ,Vicente Chulvi,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,KgwanDEAAAAJ,David Cebrián Tarrasón,Dirección de correo verificada de derpilgrim.es,Knowledge & Engineering Design PhD
EkOGlRoAAAAJ,5NFe1csAAAAJ,Karel Mls,Dirección de correo verificada de uhk.cz,"odborný asistent, Univerzita Hradec Králové"
EkOGlRoAAAAJ,lDcjUKIAAAAJ,Elpiniki Papageorgiou,Dirección de correo verificada de uth.gr,"Professor in Artificial Intelligence, University of Thessaly"
EkOGlRoAAAAJ,KnfpKfcAAAAJ,Victor A. Bañuls,Dirección de correo verificada de upo.es,"Professor of Management Information Systems, Universidad Pablo de Olavide"
EkOGlRoAAAAJ,QIPvO0kAAAAJ,Wojciech Froelich,Dirección de correo verificada de us.edu.pl,"Institute of Computer Science, University of Silesia, Poland"
EkOGlRoAAAAJ,jSVbbvIAAAAJ,Rosario Vidal,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,tmrQsSwAAAAJ,Florentin Smarandache,Dirección de correo verificada de unm.edu,University of New Mexico
EkOGlRoAAAAJ,2ZhNZzkAAAAJ,Ester Gutierrez Moya,Dirección de correo verificada de us.es,"Professor, Universidad de Sevilla (Spain)"
EkOGlRoAAAAJ,4Snp-IAAAAAJ,Ines Herrero,Dirección de correo verificada de upo.es,Catedrática de Universidad. Empresa. Management.
EkOGlRoAAAAJ,R9WyFxUAAAAJ,Samira A.Rahimi,Dirección de correo verificada de mcgill.ca,"Assistant Professor, McGill University"
EkOGlRoAAAAJ,5N-8TY8AAAAJ,Pedro R. Palos-Sanchez (ORCID: 000...,Dirección de correo verificada de us.es,Associate Professor. Universidad de Sevilla. Dept. Financial Economy and Operation Management
EkOGlRoAAAAJ,ARNmg6IAAAAJ,Gonzalo Nápoles,Dirección de correo verificada de uvt.nl,Assistant Professor at Tilburg University
EkOGlRoAAAAJ,fc-jiMIAAAAJ,Koen VANHOOF,Dirección de correo verificada de uhasselt.be,
EkOGlRoAAAAJ,gQKtl8kAAAAJ,Jose Carlos Molina,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,H3G5Ke8AAAAJ,Ignacio Eguia,Dirección de correo verificada de us.es,Universidad de Sevilla
EkOGlRoAAAAJ,8J8ycaUAAAAJ,Vicente Chulvi,Dirección de correo verificada de uji.es,Universitat Jaume I
EkOGlRoAAAAJ,KgwanDEAAAAJ,David Cebrián Tarrasón,Dirección de correo verificada de derpilgrim.es,Knowledge & Engineering Design PhD
EkOGlRoAAAAJ,5NFe1csAAAAJ,Karel Mls,Dirección de correo verificada de uhk.cz,"odborný asistent, Univerzita Hradec Králové"
RDDQKZoAAAAJ,ctaapjIAAAAJ,Juan Andrés Orellana,Dirección de correo verificada de uc.cl,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile
RDDQKZoAAAAJ,ur_LhQEAAAAJ,Rodrigo A. Fuentealba,Dirección de correo verificada de uandes.cl,Assistant Professor - Universidad de los Andes
RDDQKZoAAAAJ,VftyRccAAAAJ,Felipe Barros,Dirección de correo verificada de cecs.cl,Centro de Estudios Científicos & Universidad San Sebastián
RDDQKZoAAAAJ,ctaapjIAAAAJ,Juan Andrés Orellana,Dirección de correo verificada de uc.cl,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile
RDDQKZoAAAAJ,ur_LhQEAAAAJ,Rodrigo A. Fuentealba,Dirección de correo verificada de uandes.cl,Assistant Professor - Universidad de los Andes
RDDQKZoAAAAJ,VftyRccAAAAJ,Felipe Barros,Dirección de correo verificada de cecs.cl,Centro de Estudios Científicos & Universidad San Sebastián
NXY-GuMAAAAJ,G1ZpVy4AAAAJ,Po Shan Poon,Dirección de correo verificada de udt.cl,University of Concepcion
NXY-GuMAAAAJ,DimQJX4AAAAJ,Maibelin Rosales,Dirección de correo verificada de amtc.uchile.cl,University of Chile
NXY-GuMAAAAJ,lvbQED0AAAAJ,Joaquin L. Brito,Dirección de correo verificada de ivic.gob.ve,"Emeritus Professor of Research, I.V.I.C."
NXY-GuMAAAAJ,BSOw3qUAAAAJ,Jose Rene Rangel Mendez,Dirección de correo verificada de ipicyt.edu.mx,Instituto Potosino de Investigación Científica y Tecnológica A.C
NXY-GuMAAAAJ,v4hRgSMAAAAJ,Silvania Lanfredi,Dirección de correo verificada de fct.unesp.br,"Professor Assistente Doutor, Universidade Estadual Paulista, Faculdade de Ciências e Tecnologia"
NXY-GuMAAAAJ,nlsj4egAAAAJ,Teresa J. Bandosz,Dirección de correo verificada de ccny.cuny.edu,The City College of New York
