id_gs,idco,nombre_coautor,dominio,cargo
VgRSHRIAAAAJ,sFKzT4IAAAAJ,Alejandra Rasse,Dirección de correo verificada de uc.cl,Pontificia Unviersidad Católica de Chile
VgRSHRIAAAAJ,lalJNp0AAAAJ,MARIA SARELLA ROBLES ROBLES,Dirección de correo verificada de uc.cl,Estudiante Doctorado Pontificia Universidad Católica de Chile
VgRSHRIAAAAJ,mtR_C10AAAAJ,Maria TREBILCOCK GAC,Dirección de correo verificada de uc.cl,Universidad Alberto Hurtado
VgRSHRIAAAAJ,FlCuQzMAAAAJ,Rodrigo Salcedo,Dirección de correo verificada de ucm.cl,"Associate Professor of Sociology, Universidad Católica del Maule"
VgRSHRIAAAAJ,YHCaQtEAAAAJ,Paul A Peters,Dirección de correo verificada de carleton.ca,"Associate Professor, Health Sciences, Carleton University"
VgRSHRIAAAAJ,e_0UrIMAAAAJ,Héctor A. López-Ospina,Dirección de correo verificada de uandes.cl,Universidad de los Andes. Chile
NF4oLaoAAAAJ,7B-fmIoAAAAJ,"Patricio E. Ramírez Correa, Ph.D.",Dirección de correo verificada de ucn.cl,"Associate Professor, Universidad Católica del Norte (Chile)"
NF4oLaoAAAAJ,OVdDgRsAAAAJ,Khaled Alshare,Dirección de correo verificada de qu.edu.qa,"Professor of Information Systems, Qatar University"
NF4oLaoAAAAJ,94MpX58AAAAJ,Ranganathan Chandrasekaran,Dirección de correo verificada de uic.edu,Professor
NF4oLaoAAAAJ,h4fnF2AAAAAJ,Jorge Arenas Gaitán (ORCID 0000-00...,Dirección de correo verificada de us.es,Catedrático de la Universidad de Sevilla (Full Professor)
NF4oLaoAAAAJ,co5-_3cAAAAJ,FRANCISCO JAVIER RONDAN-CATA...,Dirección de correo verificada de us.es,FULL PROFESSOR OF MARKETING. UNIVERSITY OF SEVILLE
NF4oLaoAAAAJ,TKzW2oUAAAAJ,Hassan M. Selim,Dirección de correo verificada de uaeu.ac.ae,Professor of MIS
NF4oLaoAAAAJ,RMUmamQAAAAJ,Liping Liu,Dirección de correo verificada de uakron.edu,"Professor of Management and Information System, The University of Akron"
NF4oLaoAAAAJ,uEJv2bQAAAAJ,Hani Mesak,Dirección de correo verificada de latech.edu,"Professor of Quantitative Analysis, Louisiana Tech University"
NF4oLaoAAAAJ,sye3hrIAAAAJ,Beatriz Helena Diaz Pinzon,Dirección de correo verificada de unal.edu.co,Profesor Asociado. Facultad de Ciencias Económicas. Universidad Nacional de Colombia
NF4oLaoAAAAJ,GqG5_LQAAAAJ,Suzanne Altobello,Dirección de correo verificada de uncp.edu,"William H. Belk Distinguished Professor of Marketing, University of North Carolina at Pembroke"
NF4oLaoAAAAJ,8Sc5TmcAAAAJ,Steven J. Karau,Dirección de correo verificada de business.siu.edu,"Professor of Management, Southern Illinois University"
eq8CB7kAAAAJ,WyXQzooAAAAJ,Professor Luis Sobrevia,Dirección de correo verificada de uc.cl,"Division of Obstetrics and Gynecology, Faculty of Medicine, Pontificia Universidad Católica de Chile"
eq8CB7kAAAAJ,jamGz8oAAAAJ,Enrique Teran,Dirección de correo verificada de usfq.edu.ec,Universidad San Francisco de Quito
eq8CB7kAAAAJ,pl2r99EAAAAJ,Marcelo González,Dirección de correo verificada de udec.cl,"Laboratorio de Investigación Materno-Fetal (LIMaF), Universidad de Concepción"
eq8CB7kAAAAJ,7rz4dCsAAAAJ,Paola Casanello,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
eq8CB7kAAAAJ,jwSrUP4AAAAJ,Felipe Zuniga,Dirección de correo verificada de udec.cl,Universidad de Concepcion
eq8CB7kAAAAJ,PDPvKz0AAAAJ,PATRICIO LOPEZ -JARAMILLO,Dirección de correo verificada de ute.edu.ec,"Scientific Director Masira Research Institute, UDES,Bucaramanga,Colombia,Vist Prof, UTE,Ecuador"
eq8CB7kAAAAJ,6iZhkdMAAAAJ,Enrique Guzmán-Gutiérrez,Dirección de correo verificada de udec.cl,"Department of Clinical Biochemistry & Immunology, Faculty of Pharmacy"
eq8CB7kAAAAJ,pLZmw4gAAAAJ,carlos salomon,Dirección de correo verificada de uq.edu.au,University of Queensland Centre for Clinical Research
eq8CB7kAAAAJ,MWVLi7gAAAAJ,Lina Bergman,Dirección de correo verificada de kbh.uu.se,"Department of obstetrics and Gynecology, Sahlgrenska Academy, Gothenburg University"
eq8CB7kAAAAJ,KHg7apMAAAAJ,James M Roberts,Dirección de correo verificada de mwri.magee.edu,Professor of Obstetrics and Gynecology University of Pittsburgh
eq8CB7kAAAAJ,ke9o__oAAAAJ,Estefanía Nova Lamperti,Dirección de correo verificada de udec.cl,Professor of Immunology
eq8CB7kAAAAJ,HUySywQAAAAJ,Anna-Karin Wikström,Dirección de correo verificada de kbh.uu.se,kbh Uppsala universitet
eq8CB7kAAAAJ,srDB0nAAAAAJ,Ambart Ester Covarrubias Cisterna,Dirección de correo verificada de cshs.org,Cedar-Sinai Medical Center/Universidad San Sebastian
eq8CB7kAAAAJ,zKuhpZcAAAAJ,SEBASTIAN SAN MARTIN,Dirección de correo verificada de uv.cl,UNIVERSIDAD DE VALPARAISO
eq8CB7kAAAAJ,GRNSbJMAAAAJ,Marcelo Farias Jofré,Dirección de correo verificada de med.puc.cl,"Division of Obstetrics and Gynaecology, School of Medicine, Pontificia Universidad Católica de Chile"
eq8CB7kAAAAJ,0WieXAkAAAAJ,Johan Wikström,Dirección de correo verificada de radiol.uu.se,"Professor of Neuroradiology, Uppsala University"
eq8CB7kAAAAJ,nZLcSUUAAAAJ,Manuela Velasquez,Dirección de correo verificada de udea.edu.co,Estudiante de doctorado Universidad de Antioquia
eq8CB7kAAAAJ,OReZXCQAAAAJ,Alejandro S. Godoy,Dirección de correo verificada de uss.cl,Universidad San Sebastián; Roswell Park Cancer Institute
eq8CB7kAAAAJ,v_XdRXAAAAAJ,Carlos Puebla A.,Dirección de correo verificada de uoh.cl,"Instituto de Ciencias de la Salud, Universidad de O´Higgins, Chile"
eq8CB7kAAAAJ,1po6R48AAAAJ,Francisco Westermeier,Dirección de correo verificada de fh-joanneum.at,"FH Joanneum / Graz, Austria"
g1hEHz8AAAAJ,LE_XB0wAAAAJ,Alvaro García,Dirección de correo verificada de nottingham.ac.uk,"Associate Professor, University of Nottingham"
g1hEHz8AAAAJ,iNbzXkwAAAAJ,Irene Gonzalez-Torre,Dirección de correo verificada de ubiobio.cl,University of Bio-Bio
g1hEHz8AAAAJ,1n8tHpcAAAAJ,Erik Schlangen,Dirección de correo verificada de tudelft.nl,Professor @ Delft University of Technology
g1hEHz8AAAAJ,yw42iawAAAAJ,Tariq Al-Mansoori,Dirección de correo verificada de mu.edu.iq,Al-Muthanna University/ College of Engineering/ Department of Civil Engineering
g1hEHz8AAAAJ,rIucpl4AAAAJ,ERKUT YALÇIN,Dirección de correo verificada de firat.edu.tr,Fırat Üniversitesi
g1hEHz8AAAAJ,WfN5XdEAAAAJ,José Luis Concha Fuentealba,Dirección de correo verificada de ubiobio.cl,"Assisntant researcher, Laboratory of Materials (LabMAT)"
g1hEHz8AAAAJ,Km4Cm10AAAAJ,Mehmet YILMAZ,Dirección de correo verificada de firat.edu.tr,"Prof. in Civil Engineering, Fırat University"
g1hEHz8AAAAJ,eePGXXkAAAAJ,Luis Ernesto Arteaga Pérez,Dirección de correo verificada de ubiobio.cl,Universidad del Bío-Bío
g1hEHz8AAAAJ,M3wNjiwAAAAJ,Gonzalo Valdes Vidal,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
g1hEHz8AAAAJ,FmpUTwIAAAAJ,Rui Micaelo,Dirección de correo verificada de fct.unl.pt,Universidade Nova Lisboa
g1hEHz8AAAAJ,mTbzW9sAAAAJ,Alvaro Gonzalez Vaccarezza,Dirección de correo verificada de ingenieros.udd.cl,"Centro de Investigación en Materiales, Universidad del Desarrollo"
g1hEHz8AAAAJ,SZE4aIcAAAAJ,"Xu Yang（杨旭）, PhD",Dirección de correo verificada de chd.edu.cn,"Professor, School of Highway, Chang'an University"
g1hEHz8AAAAJ,2nzHZZEAAAAJ,Qing Wang,Dirección de correo verificada de matse.psu.edu,"Professor of Materials Science and Engineering, The Pennsylvania State University"
g1hEHz8AAAAJ,fyIYxfMAAAAJ,Antonios Kanellopoulos,Dirección de correo verificada de herts.ac.uk,University of Hertfordshire
g1hEHz8AAAAJ,sg5TWUMAAAAJ,Philipp Schuetz,Dirección de correo verificada de hslu.ch,Lucerne University for Applied Sciences and Arts
g1hEHz8AAAAJ,5PZ-U6YAAAAJ,Feng Wang,Dirección de correo verificada de whut.edu.cn,Wuhan University of Technology
g1hEHz8AAAAJ,beoNBU0AAAAJ,Andrea Y. Guadarrama-Lezama,Dirección de correo verificada de uaemex.mx,Universidad Autónoma del Estado de México
g1hEHz8AAAAJ,DJjXVEUAAAAJ,Lily Poulikakos,Dirección de correo verificada de empa.ch,"Senior scientist, EMPA, Material Science and Technology Switzerland"
g1hEHz8AAAAJ,yFt2_PAAAAAJ,Breixo Gómez Meijide,Dirección de correo verificada de eapa.org,European Asphalt Pavement Association (EAPA)
g1hEHz8AAAAJ,QYFKGmsAAAAJ,Andrew Dawson,Dirección de correo verificada de nottingham.ac.uk,"Associate Professor, University of Nottingham"
Z8ByKSIAAAAJ,X2d-6CEAAAAJ,Ricardo Ruiz Baier,Dirección de correo verificada de monash.edu,"School of Mathematics, Monash University"
Z8ByKSIAAAAJ,gBO3kUEAAAAJ,Rodolfo Rodríguez,Dirección de correo verificada de ing-mat.udec.cl,"Professor at Departamento de Ingeniería Matemática, Universidad de Concepción, Chile"
Z8ByKSIAAAAJ,_gFgHyoAAAAJ,Gonzalo Rivera,Dirección de correo verificada de ulagos.cl,"Profesor de Matemática, Universidad de Los Lagos, Osorno"
Z8ByKSIAAAAJ,Sk23odwAAAAJ,Lovadina Carlo,Dirección de correo verificada de unipv.it,University of Pavia
Z8ByKSIAAAAJ,xa5FMvkAAAAJ,Iván Velásquez,Dirección de correo verificada de unisinu.edu.co,"Docente Investigador, Universidad del Sinú E.B.Z."
Z8ByKSIAAAAJ,snzK5oQAAAAJ,CARLOS ALBERTO REALES MARTIN...,Dirección de correo verificada de correo.unicordoba.edu.co,"Professor of Departament of  Mathematics, University of Cordoba, Colombia"
Z8ByKSIAAAAJ,eYRpOb8AAAAJ,Salim Meddahi,Dirección de correo verificada de uniovi.es,"Professor, Universidad de Oviedo"
Z8ByKSIAAAAJ,wMuMvC8AAAAJ,Felipe Lepe,Dirección de correo verificada de ubiobio.cl,Universidad del Bío-Bío
Z8ByKSIAAAAJ,zCFXFHMAAAAJ,Marco Verani,Dirección de correo verificada de polimi.it,"MOX-Department of Mathematics, Politecnico of Milan, Italy"
Z8ByKSIAAAAJ,NsOrri8AAAAJ,Paola F. Antonietti,Dirección de correo verificada de polimi.it,"Professor of Numerical Analysis, Politecnico di Milano"
Z8ByKSIAAAAJ,y1lcwVEAAAAJ,Ricardo Oyarzúa,Dirección de correo verificada de ubiobio.cl,Universidad del Bio-Bio
Z8ByKSIAAAAJ,j14qj3EAAAAJ,Mostafa Bendahmane,Dirección de correo verificada de u-bordeaux.fr,"Université de Bordeaux, France"
Z8ByKSIAAAAJ,kpIVt8UAAAAJ,Bryan Gómez-Vargas,Dirección de correo verificada de ucr.ac.cr,Universidad de Costa Rica
Z8ByKSIAAAAJ,LtscIccAAAAJ,Alberth Silgado,Dirección de correo verificada de alumnos.ubiobio.cl,"PhD Student, Universidad del Bío-Bío, Concepcion, Chile"
Z8ByKSIAAAAJ,7FNfdxgAAAAJ,Gabriel N. Gatica,Dirección de correo verificada de ci2ma.udec.cl,"Professor and Researcher, CI²MA and Departamento de Ingenieria Matematica, Universidad de Concepcion"
Z8ByKSIAAAAJ,RvlEw-8AAAAJ,Giuseppe Vacca,Dirección de correo verificada de unimib.it,"Dipartimento di Matematica, Università degli Studi di Bari"
