id_gs,idco,nombre_coautor,dominio,cargo
JGTUORMAAAAJ,fMr-RFAAAAAJ,Ileana  Gonzalez,Dirección de correo verificada de ucm.cl,"Profesor Adjunto, Universidad Católica del Maule"
JGTUORMAAAAJ,-rVs6k8AAAAJ,Ramon Perez-Castro,Dirección de correo verificada de ucm.cl,Universidad Catolica del Maule
JGTUORMAAAAJ,EQeBOusAAAAJ,Ivan Palomo,Dirección de correo verificada de utalca.cl,Universidad de Talca
JGTUORMAAAAJ,02UZy1cAAAAJ,Fernando Delgado Lopez,Dirección de correo verificada de ucm.cl,"Associate Professor, Universidad Catolica del Maule"
JGTUORMAAAAJ,qfNZMq8AAAAJ,Eduardo Fuentes,Dirección de correo verificada de utalca.cl,Universidad de Talca
JGTUORMAAAAJ,3TviQhUAAAAJ,"Carolina Añazco, Associate Professor",Dirección de correo verificada de uss.cl,Universidad San Sebastián
JGTUORMAAAAJ,6nyvL-AAAAAJ,deyarina gonzalez,Dirección de correo verificada de swansea.ac.uk,Swansea University
JGTUORMAAAAJ,WVq-npQAAAAJ,Miriam Palacios-Callender,Dirección de correo verificada de kcl.ac.uk,King's College London
JGTUORMAAAAJ,ezmEKtkAAAAJ,Maria Beatriz Herrera Sanchez,Dirección de correo verificada de unito.it,PhD
JGTUORMAAAAJ,3JnxvvIAAAAJ,Karel Otero,Dirección de correo verificada de biogen.com,Senior Scientist at Biogen
JGTUORMAAAAJ,TuIJyEwAAAAJ,Manuel Portero-Otin,Dirección de correo verificada de mex.udl.cat,IRBLleida UdL
JGTUORMAAAAJ,un_qvA8AAAAJ,Rafael Fando Calzada,Dirección de correo verificada de nauta.cu,Centro Nacional de Investigaciones Científicas
JGTUORMAAAAJ,ky2lKZ8AAAAJ,Javier Campos Gómez,Dirección de correo verificada de sri.org,"Assistant Fellow, Southern Research"
JGTUORMAAAAJ,GtOvv4YAAAAJ,Sonsoles Hortelano,Dirección de correo verificada de isciii.es,"Head of Pharmacology Therapies Unit, ISCIII"
JGTUORMAAAAJ,ekKT7-MAAAAJ,Lisardo Bosca,Dirección de correo verificada de iib.uam.es,"Senior Research, Instituto de Investigaciones Biomédicas. CSIC"
JGTUORMAAAAJ,xOGOnuwAAAAJ,Sandra Valdes Diaz,Dirección de correo verificada de una.cr,"Profesora, Universidad Nacional de Costa Rica"
JGTUORMAAAAJ,UbWBTBsAAAAJ,Massimo Locati,Dirección de correo verificada de unimi.it,University of Milan
JGTUORMAAAAJ,3uRAVYIAAAAJ,Alberto Mantovani,Dirección de correo verificada de humanitasresearch.it,"Direttore Scientifico, Istituto Clinico Humanitas, Humanitas University"
JGTUORMAAAAJ,0bI7H5UAAAAJ,Silvano Sozzani,Dirección de correo verificada de uniroma1.it,"Professor of Pathology, Sapienza University of Rome"
JGTUORMAAAAJ,lHEXo2oAAAAJ,Vicente Andres,Dirección de correo verificada de cnic.es,Centro Nacional de Investigaciones Cardiovasculares Carlos III (CNIC)
02UZy1cAAAAJ,JGTUORMAAAAJ,Armando Rojas,Dirección de correo verificada de ucm.cl,"Profesor Titular, Universidad Católica del Maule"
02UZy1cAAAAJ,-rVs6k8AAAAJ,Ramon Perez-Castro,Dirección de correo verificada de ucm.cl,Universidad Catolica del Maule
