id_gs,idco,nombre_coautor,dominio,cargo
XZBjhB4AAAAJ,XClx914AAAAJ,Gerardo Muñoz,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
XZBjhB4AAAAJ,ki2cCE8AAAAJ,Fernando A. Peña Cortés,Dirección de correo verificada de uct.cl,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco"
XZBjhB4AAAAJ,A9xwJTEAAAAJ,Miguel  Friz-Carrillo,Dirección de correo verificada de ubiobio.cl,Universidad del Bio-Bio
XZBjhB4AAAAJ,Q-m8fGoAAAAJ,gerard lavoie,Dirección de correo verificada de uqat.ca,"Professeur en sciences de l'éducation, UQAT"
PvGdjj8AAAAJ,IxhhJ9IAAAAJ,Pedro Delgado Floody,Dirección de correo verificada de ufrontera.cl,"Departamento de EF, Universidad de La Frontera"
PvGdjj8AAAAJ,jwIedv8AAAAJ,Daniel Jerez Mayorga,Dirección de correo verificada de unab.cl,"Facultad Ciencias de la Rehabilitación, Universidad Andrés Bello, Santiago, Chile"
PvGdjj8AAAAJ,kMr_yuQAAAAJ,Bastian Carter-Thuillier,Dirección de correo verificada de ulagos.cl,"Académico Departamento de Educación, Universidad de Los Lagos (Chile)"
A3LFev0AAAAJ,jpCBuDAAAAAJ,Fernando Borie,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
A3LFev0AAAAJ,CV4qOVAAAAAJ,"""pablo cornejo"", ""P. Cornejo"", ""Cornejo...",Dirección de correo verificada de ufrontera.cl,"""Universidad de La Frontera"", ""Estacion Experimental del Zaidin"""
A3LFev0AAAAJ,QEHPeoUAAAAJ,Alex Seguel,Dirección de correo verificada de ufrontera.cl,Departamento de Cs. Agronómicas y Rec. Naturales / Facultad de Cs. Agropecuarias y Forestales - UFRO
A3LFev0AAAAJ,EqeZJ10AAAAJ,Edmundo Acevedo,Dirección de correo verificada de uchile.cl,University of Chile
A3LFev0AAAAJ,Pzc_CUAAAAAJ,Antonio Roldan (ORCID 0000-0002-2...,Dirección de correo verificada de cebas.csic.es,CSIC
A3LFev0AAAAJ,x2YwgB8AAAAJ,Mauricio Schoebitz,Dirección de correo verificada de udec.cl,Universidad de Concepción
ge68r8wAAAAJ,ez4U4w0AAAAJ,JESÚS BAIGORRI JALÓN,Dirección de correo verificada de usal.es,"ex profesor de interpretación, Universidad de Salamanca"
ge68r8wAAAAJ,fAtlaFgAAAAJ,Mariachiara Russo,Dirección de correo verificada de unibo.it,"Professor of Spanish Linguistics and Interpretation, University of Bologna"
ge68r8wAAAAJ,uDEUDkUAAAAJ,Concepcion Otero Moreno,Dirección de correo verificada de uni-hildesheim.de,Universität Hildesheim
ge68r8wAAAAJ,cUznvtgAAAAJ,Fabien Le Bonniec,Dirección de correo verificada de ufrontera.cl,Departamento de Ciencias Sociales de la Universidad de la Frontera
yjv9clAAAAAJ,ki2cCE8AAAAJ,Fernando A. Peña Cortés,Dirección de correo verificada de uct.cl,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco"
yjv9clAAAAAJ,QRRSCXAAAAAJ,Jaime R. Rau,Dirección de correo verificada de ulagos.cl,"Profesor Titular, Depto. de Ciencias Biológicas & Biodiversidad, Universidad de Los Lagos, Campus"
yjv9clAAAAAJ,CpaagMwAAAAJ,ESCALONA ULLOA MIGUEL ANTONIO,Dirección de correo verificada de uct.cl,Universidad Catolica de Temuco. Chile
yjv9clAAAAAJ,8uh_4FcAAAAJ,Daniel Rozas-Vásquez,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
yjv9clAAAAAJ,a2kIjrIAAAAJ,Cecilia Smith-Ramirez,Dirección de correo verificada de ulagos.cl,"Profesor Titular, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los Lagos"
yjv9clAAAAAJ,3wumB_IAAAAJ,FERNANDEZ SOTO EDUARDO DAVID,Dirección de correo verificada de uct.cl,"Laboratorio de Planificación Territorial, Universidad Católica de Temuco"
yjv9clAAAAAJ,yUKQBEAAAAAJ,Francisco Aguilera-Benavente,Dirección de correo verificada de uah.es,Associate Professor in Human Geography. Universidad de Alcalá
yjv9clAAAAAJ,ZizSEH4AAAAJ,Dr. Cristián E. Hernández,Dirección de correo verificada de udec.cl,"Full Professor, Universidad de Concepción"
yjv9clAAAAAJ,rbm0YeIAAAAJ,Alfredo Saldaña,Dirección de correo verificada de udec.cl,"Depto. de Botánica, Universidad de Concepción, Chile."
yjv9clAAAAAJ,JudAH9QAAAAJ,Viviana Huiliñir-Curío,Dirección de correo verificada de ufrontera.cl,"Centro Internacional de Estudios de La Patagonia, Núcleo de Cs. Sociales y Humanidades, Universidad de La Frontera"
yjv9clAAAAAJ,lwLUxrQAAAAJ,Julio A. Soria-Lara,Dirección de correo verificada de upm.es,Associate Professor of Urban and Regional Planning.  Transport Research Centre -TRANSyT- Universidad
0C0XnMoAAAAJ,cUznvtgAAAAJ,Fabien Le Bonniec,Dirección de correo verificada de ufrontera.cl,Departamento de Ciencias Sociales de la Universidad de la Frontera
2CzDBjIAAAAJ,9asyt0kAAAAJ,Miguel Manso Silván,Dirección de correo verificada de uam.es,"Departamento de Física Aplicada, Universidad Autónoma de Madrid"
2CzDBjIAAAAJ,Gc89WvEAAAAJ,Marisa Masumi Beppu,Dirección de correo verificada de unicamp.br,"School of Chemical Engineering, University of Campinas"
2CzDBjIAAAAJ,b0nlwLkAAAAJ,Monica Alonso Cotta,Dirección de correo verificada de ifi.unicamp.br,"Physics Institute, University of Campinas"
2CzDBjIAAAAJ,3o-f1-AAAAAJ,V. Torres-Costa,Dirección de correo verificada de uam.es,Universidad Autónoma de Madrid
2CzDBjIAAAAJ,bw3nnqYAAAAJ,Raúl J. Martín-Palma,Dirección de correo verificada de uam.es,Universidad Autónoma de Madrid / The Pennsylvania State University
2CzDBjIAAAAJ,iX50-m4AAAAJ,G. Recio-Sánchez,Dirección de correo verificada de uss.cl,Universidad de San sebastián
2CzDBjIAAAAJ,AAoNesEAAAAJ,Ângela Maria Moraes,Dirección de correo verificada de unicamp.br,Universidade Estadual de Campinas
2CzDBjIAAAAJ,3qd2ydUAAAAJ,Marcelo Lancellotti,Dirección de correo verificada de fcf.unicamp.br,Associate Professor of LABIOTEC - FCF -Universidade Estadual de Campinas - UNICAMP
2CzDBjIAAAAJ,y8vyE54AAAAJ,Alvaro Muñoz Noval,Dirección de correo verificada de ucm.es,"Department of Materials Physics, Complutense University of Madrid"
2CzDBjIAAAAJ,-o7uFZkAAAAJ,Thiago Bezerra Taketa,Dirección de correo verificada de feq.unicamp.br,"Doutorado em Engenharia Química, Universidade Estadual de Campinas"
2CzDBjIAAAAJ,HhmXGaoAAAAJ,Waldemar A. A. Macedo,Dirección de correo verificada de cdtn.br,"Pesquisador Titular, Centro de Desenvolvimento da Tecnologia Nuclear / Comissão Nacional de Energia"
2CzDBjIAAAAJ,rPwiKdQAAAAJ,Nicolas Tabary,Dirección de correo verificada de univ-lille.fr,"Maitre de conférences, Université Lille"
2CzDBjIAAAAJ,RZH3sSwAAAAJ,Prasana Kumar Sahoo,Dirección de correo verificada de matsc.iitkgp.ac.in,"Assistant Professor, Indian Institute of Technology Kharagpur"
2CzDBjIAAAAJ,a7bTxZEAAAAJ,Alessandra Alves de Souza,Dirección de correo verificada de centrodecitricultura.br,"Pesquisador Científico, Centro de Citricultura ""Sylvio Moreira""- Instituto Agronomico/IAC"
2CzDBjIAAAAJ,T5Kepy0AAAAJ,Darío Gallach,Dirección de correo verificada de universidadeuropea.es,Universidad Europea de Madrid
2CzDBjIAAAAJ,1rgdfeQAAAAJ,Giacomo Ceccone,Dirección de correo verificada de ec.europa.eu,"Staff Scientist, Joint Research Centre, Italy"
2CzDBjIAAAAJ,2LbPPP8AAAAJ,Stéphanie Degoutin,Dirección de correo verificada de univ-lille1.fr,"Maître de Conférences HDR, UMET, Université Lille 1"
2CzDBjIAAAAJ,AmOQVbYAAAAJ,Francois Rossi,Dirección de correo verificada de jrc.ec.europa.eu,Joint Research Centre
2CzDBjIAAAAJ,t_ylJv0AAAAJ,Valentina Spampinato,Dirección de correo verificada de imec.be,IMEC
2CzDBjIAAAAJ,nObkDA8AAAAJ,Manuel Romero-Saez,Dirección de correo verificada de itm.edu.co,Docente Investigador. Instituto Tecnológico Metropolitano
1YPd8YYAAAAJ,AJGrziMAAAAJ,Edurne Goikoetxea,Dirección de correo verificada de deusto.es,Faculty of Psychology and Education. University of DeustoEducación. Universidad de Deusto
1YPd8YYAAAAJ,DHBb2-UAAAAJ,Maria Visitacion Pereda Herrero,Dirección de correo verificada de deusto.es,Profesora de Organización de centros educativos y de Teoría de la Educación en Universidad de Deusto
1YPd8YYAAAAJ,0w4E8rMAAAAJ,Rodrigo Tomás del Valle Martin,Dirección de correo verificada de uctemuco.cl,"Universidad Católica de Temuco, Facultad de Educación"
1YPd8YYAAAAJ,aK2kF3IAAAAJ,Paulo Etchegaray,Dirección de correo verificada de uautonoma.cl,Universidad Autónoma de Chile
8uh_4FcAAAAJ,ki2cCE8AAAAJ,Fernando A. Peña Cortés,Dirección de correo verificada de uct.cl,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco"
8uh_4FcAAAAJ,hjd6REkAAAAJ,Davide Geneletti,Dirección de correo verificada de unitn.it,University of Trento
8uh_4FcAAAAJ,fcfp9hUAAAAJ,Christine Fürst,Dirección de correo verificada de geo.uni-halle.de,"Martin Luther University Halle-Wittenberg, Institute for Geosciences and Geographie"
8uh_4FcAAAAJ,yjv9clAAAAAJ,Jimmy Pincheira Ulbrich,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
8uh_4FcAAAAJ,ffKv0JgAAAAJ,Gonzalo Rebolledo,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
8uh_4FcAAAAJ,tqGZSEcAAAAJ,Amanda Jiménez Aceituno,Dirección de correo verificada de su.se,Stockholm Resilience Center
8uh_4FcAAAAJ,guaEuJ0AAAAJ,Aracely Burgos Ayala,Dirección de correo verificada de jdc.edu.co,"Fundación Universitaria Juan de Castellanos, Facultad de Ciencias Agrarias y Ambientales"
8uh_4FcAAAAJ,fhP_pmAAAAAJ,"Hannes J. König, Dr.",Dirección de correo verificada de ble.de,Humboldt-University Berlin
8uh_4FcAAAAJ,7mdJPYUAAAAJ,igone palacios-agundez,Dirección de correo verificada de ehu.eus,University of the Basque Country (UPV/EHU)
8uh_4FcAAAAJ,i1xJdtYAAAAJ,Marcin Spyra,Dirección de correo verificada de onet.pl,Martin Luther University
8uh_4FcAAAAJ,E6hgxfwAAAAJ,Leena Kopperoinen,Dirección de correo verificada de ymparisto.fi,"Senior researcher, Finnish Environment Institute SYKE"
8uh_4FcAAAAJ,Z66BuhEAAAAJ,Daniele La Rosa,Dirección de correo verificada de darc.unict.it,"Associate Professor, University of Catania"
8uh_4FcAAAAJ,ZvY93KcAAAAJ,Nuket Ipek Cetin,Dirección de correo verificada de gtu.edu.tr,"Urban and Regional Planning, Gebze Technical University"
8uh_4FcAAAAJ,SlrWLqsAAAAJ,Blal Adem Esmail,Dirección de correo verificada de rub.de,Ruhr Universität Bochum
8uh_4FcAAAAJ,kxgBAeoAAAAJ,Christian Albert,Dirección de correo verificada de rub.de,"Ruhr University Bochum, Institute of Geography"
8uh_4FcAAAAJ,HTEL8I8AAAAJ,Marco Cisternas,Dirección de correo verificada de pucv.cl,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso"
8uh_4FcAAAAJ,QcZ7yDUAAAAJ,Aura Marcela Torres Torres,Dirección de correo verificada de uptc.edu.co,Universidad Pedagógica y Tecnológica de Colombia
