id_gs,idco,nombre_coautor,dominio,cargo
QIHKy1UAAAAJ,94JOMYcAAAAJ,Sergio A Estay,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
QIHKy1UAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,Dirección de correo verificada de ceaza.cl,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
QIHKy1UAAAAJ,U2Dkd_kAAAAJ,Nelson A. Lagos,Dirección de correo verificada de santotomas.cl,Profesor Titular UST
KRpmq6EAAAAJ,hMnlOYAAAAAJ,Francisco Guinjoan,Dirección de correo verificada de upc.edu,"Full Professor, UPC, Barcelona, Spain"
KRpmq6EAAAAJ,XN63d3kAAAAJ,Carlos Meza,Dirección de correo verificada de hs-anhalt.de,Anhalt University of Applied Sciences
KRpmq6EAAAAJ,5kPvjUAAAAAJ,Guillermo Velasco,Dirección de correo verificada de upc.edu,Professor Agregat. Universitat Politècnica de Catalunya
KRpmq6EAAAAJ,zGFZAE8AAAAJ,Antonio Carlos Zambroni de Souza,Dirección de correo verificada de unifei.edu.br,Universidade Federal de Itajubá
KRpmq6EAAAAJ,WNT_qXcAAAAJ,Dr. Miguel Castilla,Dirección de correo verificada de upc.edu,"Professor, Technical University of Catalonia"
KRpmq6EAAAAJ,X-AeGdEAAAAJ,Mário Gomes,Dirección de correo verificada de ipt.pt,Instituto Politécnico de Tomar (IPT) / Centro de Investigação Cidades Inteligentes (Ci2.ipt)
KRpmq6EAAAAJ,SZ9r1FgAAAAJ,Mario Rui Gomes,Dirección de correo verificada de tecnico.ulisboa.pt,Inesc-id
pAqfjfsAAAAJ,AQ7yOeIAAAAJ,Felipe Arenas,Dirección de correo verificada de usach.cl,Universidad de Santiago de Chile
pAqfjfsAAAAJ,jlpbJJYAAAAJ,Luis Cottet Bustamante,Dirección de correo verificada de santotomas.cl,Universidad Santo Tomas
wOnfkSYAAAAJ,7_SsWD0AAAAJ,Mauricio Seguel,Dirección de correo verificada de uoguelph.ca,"Pathobiology Department, Ontario Veterinary College, University of Guelph"
wOnfkSYAAAAJ,JR4YufIAAAAJ,Nicole L. Gottdenker,Dirección de correo verificada de uga.edu,University of Georgia
wOnfkSYAAAAJ,Y2RA_vMAAAAJ,Humberto González Estay,Dirección de correo verificada de uach.cl,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas"
wOnfkSYAAAAJ,kNhzzGIAAAAJ,J. L. Iriarte,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
wOnfkSYAAAAJ,vr1VZh8AAAAJ,Sandro L. Bonatto,Dirección de correo verificada de pucrs.br,"Professor of Genetics and Evolutionary Biology, PUCRS, Brazil"
wOnfkSYAAAAJ,LZ3nvnAAAAAJ,Enrique Alberto Crespo,Dirección de correo verificada de cenpat.edu.ar,"Investigador Superior del Centro Nacional Patagónico, CONICET,Profesor Titular de Ecología"
wOnfkSYAAAAJ,ARB--7gAAAAJ,Lorena Rebolledo,Dirección de correo verificada de inach.cl,Instituto Antártico Chileno
wOnfkSYAAAAJ,oq4KeeQAAAAJ,Ricardo Giesecke,Dirección de correo verificada de uach.cl,Profesor Auxiliar Universidad Austral de Chile
wOnfkSYAAAAJ,rq30FOMAAAAJ,Villy Christensen,Dirección de correo verificada de oceans.ubc.ca,"Professor, Institute for the Oceans and Fisheries, University of British Columbia"
wOnfkSYAAAAJ,cGpm35oAAAAJ,"Diego J. Perez-Venegas, Msc., Ph.D.",,"CIGREN, Instituto de Biología, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso, Chile"
wOnfkSYAAAAJ,JtKFXhoAAAAJ,Jose Iriarte,Dirección de correo verificada de exeter.ac.uk,"Professor, Archaeology, University of Exeter"
hrJ2XYsAAAAJ,Zin3C7YAAAAJ,Víctor Patricio Díaz Narváez,Dirección de correo verificada de unab.cl,"Profesor Investigador, Universidad Andrés Bello. Santiago. Chile."
hrJ2XYsAAAAJ,KusilLIAAAAJ,Felipe E. García,Dirección de correo verificada de udec.cl,"Académico, Universidad de Concepción, Concepción, Chile."
hrJ2XYsAAAAJ,QmVSYyQAAAAJ,Pilar Torres,Dirección de correo verificada de uss.cl,"Profesor asistente ,Universidad San Sebastián, Concepción. Chile"
hrJ2XYsAAAAJ,eYImzwsAAAAJ,Anna Marcelina Wlodarczyk,Dirección de correo verificada de ucn.cl,"Profesora Asociada, Universidad Católica del Norte"
hrJ2XYsAAAAJ,UL552pAAAAAJ,Natalia Fortich Mesa,Dirección de correo verificada de curnvirtual.edu.co,Corporación Universitaria Rafael Nuñez
hrJ2XYsAAAAJ,KVva2AIAAAAJ,Dario Paez Rovira,Dirección de correo verificada de ehu.es,Profesor Catedratico de Psicologia Social
hrJ2XYsAAAAJ,_EXwDyIAAAAJ,Bernardo Riffo,Dirección de correo verificada de udec.cl,"Profesor de Lingüística, Universidad de Concepción"
hrJ2XYsAAAAJ,IRf94m0AAAAJ,Dilia Aparicio Marenco,Dirección de correo verificada de curnvirtual.edu.co,Corporación Universitaria Rafael Núñez
hrJ2XYsAAAAJ,f8sMWagAAAAJ,Doris Carrasco Mardones,Dirección de correo verificada de udec.cl,"Profesor Asistente, Facultad de Odontología, Universidad de Concepción"
hrJ2XYsAAAAJ,iKilzjAAAAAJ,Claudia Arispe-Alburqueque,Dirección de correo verificada de uwiener.edu.pe,"Coordinadora de Investigación, Universidad Wiener"
hrJ2XYsAAAAJ,WLPKlSIAAAAJ,Ximena Vélez Calvo,Dirección de correo verificada de uazuay.edu.ec,"Profesor Educación Inicial y Educación Especial, Universidad del Azuay"
hrJ2XYsAAAAJ,kQWz5M0AAAAJ,Fernando  Reyes Reyes,Dirección de correo verificada de udd.cl,Facultad de Psicología Universidad del Desarrollo. C. de Estudios en Bienestar y Convivencia Social
hrJ2XYsAAAAJ,SLux9bQAAAAJ,Mariela Padilla,Dirección de correo verificada de usc.edu,Herman Ostrow School of Dentistry of USC
hrJ2XYsAAAAJ,Y-0YDYUAAAAJ,"ROSARIO MARTINEZ ARIAS, Rosario...",Dirección de correo verificada de ucm.es,Psicologia
hrJ2XYsAAAAJ,lxERpKgAAAAJ,JORGE LUIS BILBAO RAMIREZ,Dirección de correo verificada de unilibrebaq.edu.co,Docente Metodología de la Investigación Científica
hrJ2XYsAAAAJ,rM9i5k8AAAAJ,Fray MARTINEZ-REYES,Dirección de correo verificada de uazuay.edu.ec,"Profesor de Investigacion y Bioestadistica, Universidad del Azuay"
hrJ2XYsAAAAJ,Zx9GJQ4AAAAJ,ALBA XIMENA ZAMBRANO CONSTA...,Dirección de correo verificada de ufrontera.cl,"Departamento de Psicología, Universidad de La Frontera"
v_zvgWgAAAAJ,7OUaTBEAAAAJ,Roger D. Sepúlveda,Dirección de correo verificada de ecogen.cl,Ecología y Genética Ambiental SPA
v_zvgWgAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,Dirección de correo verificada de ceaza.cl,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
v_zvgWgAAAAJ,WB_qsXIAAAAJ,Fernando Torres-Perez,Dirección de correo verificada de pucv.cl,Pontificia Universidad Católica de Valparaiso
v_zvgWgAAAAJ,Ajt0dyoAAAAJ,Marcela Vidal Maldonado,Dirección de correo verificada de ubiobio.cl,"Laboratorio de Ecología y Evolución, Departamento de Ciencias Básicas, Facultad de Ciencias"
v_zvgWgAAAAJ,QIHKy1UAAAAJ,Fabio A. Labra R.,Dirección de correo verificada de santotomas.cl,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile"
v_zvgWgAAAAJ,CZG0D0kAAAAJ,Sven Thatje,Dirección de correo verificada de noc.soton.ac.uk,"University of Southampton, National Oceanography Centre Southampton"
v_zvgWgAAAAJ,fCJZmKwAAAAJ,Elie Poulin,Dirección de correo verificada de uchile.cl,Universidad de Chile
v_zvgWgAAAAJ,lECHx2oAAAAJ,Pedro F. Victoriano,Dirección de correo verificada de udec.cl,Associate Professor. Universidad de Concepción
v_zvgWgAAAAJ,pszot3gAAAAJ,Guillermo Guzmán,Dirección de correo verificada de unap.cl,Académico Universidad Arturo Prat
v_zvgWgAAAAJ,LUdizE8AAAAJ,Marco A. Méndez,Dirección de correo verificada de uchile.cl,"Profesor Titular, Facultad de Ciencias, Universidad de Chile"
v_zvgWgAAAAJ,Sb2oKiMAAAAJ,R. Eduardo Palma,Dirección de correo verificada de bio.puc.cl,"Departamento de Ecología, Pontificia Universidad Católica de Chile"
v_zvgWgAAAAJ,0h2h9y4AAAAJ,Claudio Gonzalez-Wevar,Dirección de correo verificada de uach.cl,"Profesor Asociado, Instituto de Ciencias Marinas (ICML), Universidad Austral de Chile, Valdivia, Chile"
v_zvgWgAAAAJ,hWkdGo0AAAAJ,Nicol Fuentes,Dirección de correo verificada de udec.cl,Depto. de Botánica. Universidad de Concepcion
v_zvgWgAAAAJ,081-PZIAAAAJ,Aníbal Pauchard,Dirección de correo verificada de udec.cl,Universidad de Concepción
v_zvgWgAAAAJ,rbm0YeIAAAAJ,Alfredo Saldaña,Dirección de correo verificada de udec.cl,"Depto. de Botánica, Universidad de Concepción, Chile."
v_zvgWgAAAAJ,94JOMYcAAAAJ,Sergio A Estay,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
v_zvgWgAAAAJ,hrRaIRwAAAAJ,Darko D. Cotoras,Dirección de correo verificada de calacademy.org,California Academy of Sciences
v_zvgWgAAAAJ,auyTL1YAAAAJ,Patricio A. Camus,Dirección de correo verificada de ucsc.cl,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima Concepcion"
v_zvgWgAAAAJ,IzWOnscAAAAJ,Daniel Zamorano Castillo,Dirección de correo verificada de ug.uchile.cl,"Zoology department, University of Otago"
v_zvgWgAAAAJ,U2Dkd_kAAAAJ,Nelson A. Lagos,Dirección de correo verificada de santotomas.cl,Profesor Titular UST
LEEYFekAAAAJ,QZtPCTcAAAAJ,Fritz Oehl,Dirección de correo verificada de agroscope.admin.ch,Agroscope - University of Basel - ETH Zürich - University of Hohenheim
LEEYFekAAAAJ,CV4qOVAAAAAJ,"""pablo cornejo"", ""P. Cornejo"", ""Cornejo...",Dirección de correo verificada de ufrontera.cl,"""Universidad de La Frontera"", ""Estacion Experimental del Zaidin"""
LEEYFekAAAAJ,t3OG1lMAAAAJ,Jens Boy,Dirección de correo verificada de ifbk.uni-hannover.de,"Institute of Soil Science, Leibniz University, Hannover"
LEEYFekAAAAJ,Sg-yf84AAAAJ,C. Guillermo Bueno,Dirección de correo verificada de ut.ee,"University of Tartu, Estonia"
LEEYFekAAAAJ,7tP7ZvQAAAAJ,Jacob Weiner,Dirección de correo verificada de plen.ku.dk,University of Copenhagen
LEEYFekAAAAJ,MkS6D0AAAAAJ,Dr. Tesfaye Wubet,Dirección de correo verificada de ufz.de,"Helmholtz Center for Environmental Research - UFZ, Department of Community Ecology"
LEEYFekAAAAJ,bmbJ0gQAAAAJ,Michael Schloter,Dirección de correo verificada de helmholtz-muenchen.de,Professor für Mikrobiologie
LEEYFekAAAAJ,NEJdQnkAAAAJ,Guillermo D'Elía,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
LEEYFekAAAAJ,0V9g7RAAAAAJ,Wagner Gonçalves Vieira Junior,Dirección de correo verificada de unesp.br,"Doutorando, Universidade Estadual Paulista - UNESP"
LEEYFekAAAAJ,O2b5avQAAAAJ,Jadson Belem de Moura,Dirección de correo verificada de evangelicagoianesia.edu.br,"Professor Títular de Microbiologia do Solo, Coordenação de Pesquisa e Pós-Graduação"
LEEYFekAAAAJ,AN0UzIAAAAAJ,Daniela Santos carneiro Torres,Dirección de correo verificada de uefs.br,Professora da UEFS
LEEYFekAAAAJ,Vrt86egAAAAJ,Rodrigo Fernandes de Souza,Dirección de correo verificada de evangelicagoianesia.edu.br,"Professor, Faculdade Evangélica de Goianésia"
