id_gs,idco,nombre_coautor,dominio,cargo
_YlQ7Q0AAAAJ,9P791EMAAAAJ,Maarten Baes,Dirección de correo verificada de ugent.be,Universiteit Gent
_YlQ7Q0AAAAJ,cYvMXB4AAAAJ,Matthew W L Smith,Dirección de correo verificada de astro.cf.ac.uk,Cardiff University
_YlQ7Q0AAAAJ,8_qMWX0AAAAJ,Laure Ciesla,Dirección de correo verificada de lam.fr,"Astrophysicist, LAM, France"
_YlQ7Q0AAAAJ,6kIOfyQAAAAJ,Daniela Calzetti,Dirección de correo verificada de astro.umass.edu,"Department of Astronomy, University of Massachusetts - Amherst"
_YlQ7Q0AAAAJ,IwuyOU4AAAAJ,Thomas M. Hughes,Dirección de correo verificada de uv.cl,Universisad de Valparaiso
_YlQ7Q0AAAAJ,tKMFn_cAAAAJ,Jacopo Fritz,Dirección de correo verificada de crya.unam.mx,"Professor, IRyA, UNAM - Mexico"
_YlQ7Q0AAAAJ,fIIDZacAAAAJ,Luca Cortese,Dirección de correo verificada de uwa.edu.au,"Senior Research Fellow, ICRAR/UWA"
_YlQ7Q0AAAAJ,mib23ysAAAAJ,Robert Kennicutt,Dirección de correo verificada de ast.cam.ac.uk,"Professor of Astronomy, University of Cambridge"
_YlQ7Q0AAAAJ,-FXTrIwAAAAJ,Sébastien Viaene,Dirección de correo verificada de ugent.be,PhD student in astrophysics at Ghent University
_YlQ7Q0AAAAJ,nO66KlcAAAAJ,E. M. Xilouris,Dirección de correo verificada de noa.gr,Research Director at the National Observatory of Athens - IAASARS
_YlQ7Q0AAAAJ,korB95oAAAAJ,Francoise Combes,Dirección de correo verificada de obspm.fr,Astronomer at Paris Observatoty
_YlQ7Q0AAAAJ,pAXKm1gAAAAJ,Ute Lisenfeld,Dirección de correo verificada de ugr.es,Universidad Granada
_YlQ7Q0AAAAJ,01dpGZEAAAAJ,Vassilis Charmandaris,Dirección de correo verificada de physics.uoc.gr,"Professor of Astrophysics, Univ. of Crete & Director of Inst. Astrophysics - FORTH, Greece"
ec5REdUAAAAJ,z4Q0crIAAAAJ,david f katz,Dirección de correo verificada de duke.edu,Professor Duke University
ec5REdUAAAAJ,gvT0a0oAAAAJ,Hector E Chemes,Dirección de correo verificada de cedie.org.ar,"Senior Researcher, National Research Council of Argentina. Investigador Superior, CONICET"
ec5REdUAAAAJ,YNGztWsAAAAJ,Manuel Villalon,Dirección de correo verificada de bio.puc.cl,"Profesor de Fisiología, Pontificia Universidad Catolica de Chile"
hysL_o4AAAAJ,jnyzRQwAAAAJ,Yanett Leyton,Dirección de correo verificada de uantof.cl,Universidad de Antofagasta
hysL_o4AAAAJ,mb_L_nwAAAAJ,Milko A. Jorquera,Dirección de correo verificada de ufrontera.cl,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera, Temuco, Chile"
hysL_o4AAAAJ,gZI8bDkAAAAJ,Fernando Silva Aciares,Dirección de correo verificada de uantof.cl,jefe de carrera biotecnología
hysL_o4AAAAJ,8BtP4gIAAAAJ,Mariella Rivas,Dirección de correo verificada de uantof.cl,Universidad de Antofagasta
hysL_o4AAAAJ,SI-dg64AAAAJ,Mitsuru Eguchi,Dirección de correo verificada de nara.kindai.ac.jp,Kindai University
hysL_o4AAAAJ,GIB2jSAAAAAJ,Romilio Espejo,Dirección de correo verificada de inta.uchile.cl,"Instituto de Nutrición y Tecnología de los Alimentos, Universidad de Chile"
hysL_o4AAAAJ,0yeU4pwAAAAJ,Loreto Fuenzalida,Dirección de correo verificada de uautonoma.cl,"Docente Investigador, Universidad Autónoma de Chile"
knz5fzUAAAAJ,Yjg8mScAAAAJ,Carmen Ascaso,Dirección de correo verificada de mncn.csic.es,Profesor - CSIC
knz5fzUAAAAJ,axCuayYAAAAJ,Jacek Wierzchos,Dirección de correo verificada de mncn.csic.es,"Researcher of National Museum of Natural Sciences - CSIC, Madrid"
knz5fzUAAAAJ,5dZ_BwkAAAAJ,F Rainey,Dirección de correo verificada de uaa.alaska.edu,UAA
knz5fzUAAAAJ,9giGl3YAAAAJ,Rafael Navarro-Gonzalez,Dirección de correo verificada de nucleares.unam.mx,Universidad Nacional Autonoma de Mexico
knz5fzUAAAAJ,cZqVWq8AAAAJ,Richard Quinn,Dirección de correo verificada de nasa.gov,NASA Ames Rearch Center
knz5fzUAAAAJ,_tMLQNQAAAAJ,Asuncion de los Rios,Dirección de correo verificada de mncn.csic.es,CSIC
knz5fzUAAAAJ,zatciRcAAAAJ,Alfonso F. Davila,Dirección de correo verificada de nasa.gov,NASA Ames Research Center
knz5fzUAAAAJ,6VGoVc8AAAAJ,Jocelyne DiRuggiero,Dirección de correo verificada de jhu.edu,Johns Hopkins University
