id_gs,idco,nombre_coautor,dominio,cargo
OmsvZIkAAAAJ,9aKslakAAAAJ,Yara Halasa-Rappel,Dirección de correo verificada de brandeis.edu,"Visiting Research Scholar, Brandeis University"
OmsvZIkAAAAJ,H9Jf_roAAAAJ,Victoria Reyes-García,Dirección de correo verificada de uab.cat,ICREA and ICTA-UAB
OmsvZIkAAAAJ,3meNm80AAAAJ,William R. Leonard,Dirección de correo verificada de northwestern.edu,"Abraham Harris Professor of Anthropology, Northwestern University"
OmsvZIkAAAAJ,URpg89oAAAAJ,Jeffrey Stanaway,Dirección de correo verificada de uw.edu,"Assistant Professor, Global Health, IHME, University of Washington"
OmsvZIkAAAAJ,cJvD6hAAAAAJ,Dan T.A. Eisenberg,Dirección de correo verificada de uw.edu,"Associate Professor, Department of Anthropology, University of Washington"
OmsvZIkAAAAJ,X84schIAAAAJ,Jere Behrman,Dirección de correo verificada de econ.upenn.edu,"W.R. Kenan, Jr. Professor of Economics and Sociology"
OmsvZIkAAAAJ,PPe4VvsAAAAJ,Ryan Wallace,Dirección de correo verificada de cdc.gov,US Centers for Disease Control and Prevention
OmsvZIkAAAAJ,OCjffucAAAAJ,Gerardo Chowell,Dirección de correo verificada de gsu.edu,Professor of Epidemiology & Biostatistics - Georgia State University School of Public Health
OmsvZIkAAAAJ,p_P5DAcAAAAJ,José R. Zubizarreta,Dirección de correo verificada de hcp.med.harvard.edu,"Associate Professor, Harvard University"
OmsvZIkAAAAJ,tW3qRMAAAAAJ,Jesse Blanton,Dirección de correo verificada de cdc.gov,CDC
OmsvZIkAAAAJ,1G-WexgAAAAJ,Ruth Martínez Vega,Dirección de correo verificada de udes.edu.co,Universidad de Santander
OmsvZIkAAAAJ,FzFgel8AAAAJ,Jose Ramos,Dirección de correo verificada de insp.mx,Profesor de virología (INSP)
OmsvZIkAAAAJ,RyOt_00AAAAJ,MARTIN I MELTZER,Dirección de correo verificada de cdc.gov,Centers for Disease Control and Prevention (CDC)
OmsvZIkAAAAJ,Ki2fC48AAAAJ,"Alan Frank Schultz, PhD, MPH",Dirección de correo verificada de google.com,UX Researcher @Google AIUX (via Crowdstaffing)
OmsvZIkAAAAJ,Ii9CHlkAAAAJ,Julie M. Cleaton,Dirección de correo verificada de alaska.gov,
OmsvZIkAAAAJ,GADOc4IAAAAJ,Cynthia A. Tschampl,Dirección de correo verificada de brandeis.edu,Brandeis University
OmsvZIkAAAAJ,RaJZX2IAAAAJ,Cuc H. Tran,Dirección de correo verificada de cdc.gov,Centers for Disease Control and Prevention
XNYtQyUAAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,Dirección de correo verificada de unt.edu,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and Biodiversity"
XNYtQyUAAAAJ,a2kIjrIAAAAJ,Cecilia Smith-Ramirez,Dirección de correo verificada de ulagos.cl,"Profesor Titular, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los Lagos"
XNYtQyUAAAAJ,1mUdFY4AAAAJ,Steward T. A. Pickett,Dirección de correo verificada de caryinstitute.org,Cary Institute of Ecosystem Studies
XNYtQyUAAAAJ,q6uqJdEAAAAJ,Osvaldo Sala,Dirección de correo verificada de asu.edu,Arizona State University
XNYtQyUAAAAJ,Li7lgskAAAAJ,Juan Carlos Aravena,Dirección de correo verificada de umag.cl,Universidad de Magallanes
XNYtQyUAAAAJ,aQff1PEAAAAJ,ANN KINZIG,Dirección de correo verificada de asu.edu,Arizona State University
XNYtQyUAAAAJ,_CHf9pUAAAAJ,Iván A. Díaz,Dirección de correo verificada de docentes.uach.cl,Universidad Austral de Chile
XNYtQyUAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,Dirección de correo verificada de bio.puc.cl,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
XNYtQyUAAAAJ,Qk3qyJEAAAAJ,Alvaro G. Gutierrez,Dirección de correo verificada de uchile.cl,Universidad de Chile
dxP4ya8AAAAJ,vVp3_OoAAAAJ,"Roberto Romero, M.D., D.Med.Sci.",Dirección de correo verificada de med.wayne.edu,"Chief, Perinatology Research Branch, NICHD/NIH"
dxP4ya8AAAAJ,BmUXgucAAAAJ,Sonia Hassan,Dirección de correo verificada de med.wayne.edu,Wayne State University
