id_gs,idco,nombre_coautor,dominio,cargo
_dRgKD8AAAAJ,kEHKsr8AAAAJ,Francisco Varela,Dirección de correo verificada de uv.cl,Director Research CNRS
_dRgKD8AAAAJ,rWFLZJMAAAAJ,Jorge Mpodozis Marín,Dirección de correo verificada de uchile.cl,"Departamento de Biología, Facultad de Ciencias, Universidad de Chile"
_dRgKD8AAAAJ,J1zts-cAAAAJ,Juan Carlos Letelier,Dirección de correo verificada de u.uchile.cl,"Professor, Universidad de Chile"
_dRgKD8AAAAJ,kcPN3qEAAAAJ,Kurt Ludewig,Dirección de correo verificada de ludewigs.eu,Former University of Hamburg and Münster
_dRgKD8AAAAJ,RbKLlHQAAAAJ,Urban Kordeš,Dirección de correo verificada de pef.uni-lj.si,"Professor of Cognitive Science , University of Ljubljana"
_dRgKD8AAAAJ,vAHy5jgAAAAJ,Michael W. Eysenck,Dirección de correo verificada de roehampton.ac.uk,"Professorial Fellow in Psychology, University of Roehampton"
_dRgKD8AAAAJ,UA5erHEAAAAJ,Francisco Rothhammer,,"Professor of Population Genetics, University of Tarapaca and University of Chile"
xAnpV2sAAAAJ,MQDJbCEAAAAJ,Mario Chiong,Dirección de correo verificada de ciq.uchile.cl,Advanced Center For Chronic Diseases. Departamento de Bioquímica y Biología Molecular. Facultad de
xAnpV2sAAAAJ,MpOR9_wAAAAJ,Joseph A. Hill,Dirección de correo verificada de utsouthwestern.edu,UT Southwestern Medical Center
xAnpV2sAAAAJ,IsB_z-8AAAAJ,Rodrigo Troncoso,Dirección de correo verificada de inta.uchile.cl,Intituto de Nutrición y Tecnología de los Alimentos
xAnpV2sAAAAJ,l2TIoXkAAAAJ,Lorena García Nannig,Dirección de correo verificada de ciq.uchile.cl,Universidad de Chile
xAnpV2sAAAAJ,4n42PKoAAAAJ,Valentina Parra,Dirección de correo verificada de ciq.uchile.cl,"ACCDiS, Advanced Center for Chronic Diseases. Universidad de Chile."
xAnpV2sAAAAJ,upihVwMAAAAJ,"Hugo Verdejo, MD, PhD",Dirección de correo verificada de med.puc.cl,Pontificia Universidad Catolica de Chile
xAnpV2sAAAAJ,pSY7g_YAAAAJ,Alfredo Guillermo Criollo,Dirección de correo verificada de u.uchile.cl,"Laboratory of Cellular and Molecular Biology Research Institute of Dental Science  Faculty of Dentistry, University of Chile"
xAnpV2sAAAAJ,MpbiIqYAAAAJ,Beverly A. Rothermel,Dirección de correo verificada de utsouthwestern.edu,"Associate Professor, UT Southwestern Medical Center"
xAnpV2sAAAAJ,XvUFRcgAAAAJ,Roberto Bravo-Sagua,Dirección de correo verificada de inta.uchile.cl,"Instituto de Nutrición y Tecnología de los Alimentos, Universidad de Chile"
xAnpV2sAAAAJ,2qB9B8YAAAAJ,Camila Lopez-Crisosto,Dirección de correo verificada de ug.uchile.cl,"Advanced Center for Chronic Diseases (ACCDIS), Facultad de Ciencias Químicas y Farmacéuticas & Facultad de Medicina, Universid"
xAnpV2sAAAAJ,CSb0fvkAAAAJ,Jose M Vicencio,Dirección de correo verificada de ucl.ac.uk,University College London
xAnpV2sAAAAJ,Ru_N1TkAAAAJ,Enrique Jaimovich,Dirección de correo verificada de uchile.cl,"Profesor Titular, Universidad de Chile"
xAnpV2sAAAAJ,WboqEP8AAAAJ,Andrew FG Quest,Dirección de correo verificada de med.uchile.cl,"Professor of Cell and Molecular Biology, University of Chile"
xAnpV2sAAAAJ,fC3uEL8AAAAJ,Ramon Corbalan,Dirección de correo verificada de med.puc.cl,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile"
xAnpV2sAAAAJ,srdniKUAAAAJ,Clara Quiroga,Dirección de correo verificada de uc.cl,"Investigadora, Pontificia Universidad Católica de Chile"
