id_gs,idco,nombre_coautor,dominio,cargo
IP0KMQwAAAAJ,9Ln_jBUAAAAJ,Christian H. R. Nitschelm,Dirección de correo verificada de uantof.cl,"Full professor, Centro de Astronomía (CITEVA), Universidad de Antofagasta, Chile"
IP0KMQwAAAAJ,TcfgAAMAAAAJ,Alexandre Roman-Lopes,Dirección de correo verificada de userena.cl,Universidad de La Serena
IP0KMQwAAAAJ,VNQ9PaoAAAAJ,Jennifer Sobeck,Dirección de correo verificada de uw.edu,"Senior Scientist, SDSS-IV Project Manager for APOGEE-2 and LCO Operations, Univ. Washington"
IP0KMQwAAAAJ,Oi1U-ugAAAAJ,Annie Robin,Dirección de correo verificada de obs-besancon.fr,"Directrice de recherche, Institut UTINAM, Besançon"
IP0KMQwAAAAJ,c1kfyncAAAAJ,Angeles Pérez-Villegas,Dirección de correo verificada de astro.unam.mx,Instituto de Astronomia-UNAM
IP0KMQwAAAAJ,WUw8JYAAAAAJ,Kaike Pan,Dirección de correo verificada de apo.nmsu.edu,Apache Point Observatory/NMSU
IP0KMQwAAAAJ,RN8sb0oAAAAJ,Javier Alonso-García,Dirección de correo verificada de uantof.cl,"Unidad de Astronomía, Universidad de Antofagasta"
IP0KMQwAAAAJ,CXzV4IgAAAAJ,Ricardo Carrera,Dirección de correo verificada de inaf.it,INAF-Osservatorio Astronomico di Padova
IP0KMQwAAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,Dirección de correo verificada de vanderbilt.edu,"Professor of Physics and Astronomy, Vanderbilt University"
IP0KMQwAAAAJ,EYmZbjEAAAAJ,Patricia Tissera,Dirección de correo verificada de astro.puc.cl,"Institute of Astrophysics, Pontificia Universidad Catolica Chle"
IP0KMQwAAAAJ,u11WhKkAAAAJ,Basílio Xavier Santiago,Dirección de correo verificada de ufrgs.br,Professor e Pesquisador da Universidade Federal do Rio Grande do Sul
IP0KMQwAAAAJ,_wSmxLcAAAAJ,Adrian M. Price-Whelan,Dirección de correo verificada de flatironinstitute.org,Flatiron Institute
IP0KMQwAAAAJ,EvQE-0UAAAAJ,Kevin Covey,Dirección de correo verificada de wwu.edu,Western Washington Univ.
IP0KMQwAAAAJ,mRjlS-AAAAAJ,Marc Pinsonneault,Dirección de correo verificada de osu.edu,"Professor of Astronomy, Ohio State University"
IP0KMQwAAAAJ,2H08ubAAAAAJ,Adam J. Burgasser,Dirección de correo verificada de ucsd.edu,UC San Diego
