id_gs,idco,nombre_coautor,dominio,cargo
fT99RewAAAAJ,081-PZIAAAAJ,Aníbal Pauchard,Dirección de correo verificada de udec.cl,Universidad de Concepción
fT99RewAAAAJ,R9sCM7IAAAAJ,Zaal Kikvidze,Dirección de correo verificada de iliauni.edu.ge,"Professor of Ecology, Ilia State University, Tbilisi, Georgia"
fT99RewAAAAJ,qtTMDv0AAAAJ,Francisco I. Pugnaire,Dirección de correo verificada de eeza.csic.es,"Research Professor, EEZA-CSIC, Almeria, Spain"
fT99RewAAAAJ,UGheoogAAAAJ,michalet,Dirección de correo verificada de ecologie.u-bordeaux1.fr,Professor
fT99RewAAAAJ,_ERGBOEAAAAJ,LEON A. BRAVO,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
fT99RewAAAAJ,ewgr0xoAAAAJ,Angela Sierra-Almeida,Dirección de correo verificada de udec.cl,"Botany Department, University of Concepción"
fT99RewAAAAJ,U2ypDCQAAAAJ,Francisco A. Squeo,Dirección de correo verificada de userena.cl,Profesor Titular (ULS)
fT99RewAAAAJ,fYERgqsAAAAJ,Jake M. Alexander,Dirección de correo verificada de usys.ethz.ch,ETH Zurich
fT99RewAAAAJ,1EJBgD8AAAAJ,Christoph Kueffer,Dirección de correo verificada de env.ethz.ch,ETH Zurich
fT99RewAAAAJ,4IETlnEAAAAJ,Fabien Anthelme,Dirección de correo verificada de ird.fr,Institut de recherche pour le Développement (IRD)
fT99RewAAAAJ,WJ_lkGQAAAAJ,Lisa Rew,Dirección de correo verificada de montana.edu,Montana State University
fT99RewAAAAJ,U4i7qWQAAAAJ,Tim Seipel,Dirección de correo verificada de montana.edu,Montana State University
fT99RewAAAAJ,XIaSoXMAAAAJ,Susana Gómez-González,Dirección de correo verificada de uca.es,Universidad de Cádiz
fT99RewAAAAJ,LZd9fu8AAAAJ,Ramiro O Bustamante,Dirección de correo verificada de uchile.cl,"Full Professor, Universidad de Chile"
fT99RewAAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,Dirección de correo verificada de unt.edu,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and Biodiversity"
fT99RewAAAAJ,2D9ZitUAAAAJ,patricia saez,Dirección de correo verificada de udec.cl,"Facultad de Ciencias Forestales, Universidad de Concepción"
fT99RewAAAAJ,OVFS0L0AAAAJ,Sylvia Haider,Dirección de correo verificada de botanik.uni-halle.de,"Assistant Professor, Geobotany, Martin Luther University Halle-Wittenberg"
fT99RewAAAAJ,kNfUrYYAAAAJ,Frida Piper,Dirección de correo verificada de udec.cl,"Instituto de Ciencias Biológicas, Universidad de Talca"
fT99RewAAAAJ,SlIUBF4AAAAJ,Georges Kunstler,Dirección de correo verificada de irstea.fr,INRAE Grenoble
fT99RewAAAAJ,NWb5izYAAAAJ,Cristina Armas,Dirección de correo verificada de eeza.csic.es,"Tenure Scientist, Estacion Experimental de Zonas Aridas-CSIC"
MiN67sAAAAAJ,CNoy9jcAAAAJ,Vasiliki Pavlidou,Dirección de correo verificada de physics.uoc.gr,University of Crete
MiN67sAAAAAJ,FlClxPIAAAAJ,Greg B. Taylor,Dirección de correo verificada de unm.edu,"Distinguished Professor, Dept. of Physics and Astronomy, UNM"
MiN67sAAAAAJ,YPM6KxAAAAAJ,Sergio N. Torres,Dirección de correo verificada de udec.cl,"Professor of Electrical Engineering, University of Concepcion"
MiN67sAAAAAJ,9PGTG1cAAAAJ,Mikko Varonen,Dirección de correo verificada de vtt.fi,VTT Technical Research Centre of Finland
MiN67sAAAAAJ,YbE7JWEAAAAJ,Garret Cotter,Dirección de correo verificada de physics.ox.ac.uk,University of Oxford
MiN67sAAAAAJ,g2xuek0AAAAJ,Clive Dickinson,Dirección de correo verificada de manchester.ac.uk,"Jodrell Bank Centre for Astrophysics, The University of Manchester"
MiN67sAAAAAJ,RGXsh00AAAAJ,Stephen Sarkozy,Dirección de correo verificada de ngc.com,Northrop Grumman Corporation
MiN67sAAAAAJ,qPpS6NsAAAAJ,jacob kooi,Dirección de correo verificada de caltech.edu,"Instrument Scientists, California Institute of technology"
MiN67sAAAAAJ,bKrJyyUAAAAJ,J. Richard Bond,Dirección de correo verificada de cita.utoronto.ca,"Professor, Canadian Institute for Theoretical Astrophysics, University of Toronto"
MiN67sAAAAAJ,xy8m8_EAAAAJ,Jonathan Sievers,Dirección de correo verificada de mcgill.ca,"Professor of Physics, McGill University/University of KwaZulu-Natal"
MiN67sAAAAAJ,lu8PRvkAAAAJ,Leonardo Bronfman,Dirección de correo verificada de das.uchile.cl,"Profesor de Astronomía, Universidad de Chile"
MiN67sAAAAAJ,NbRZ1CcAAAAJ,Brian S. Mason,Dirección de correo verificada de nrao.edu,National Radio Astronomy Observatory
MiN67sAAAAAJ,MM39J1sAAAAJ,Carlo Contaldi,Dirección de correo verificada de imperial.ac.uk,Imperial College London
MiN67sAAAAAJ,ymoqnSgAAAAJ,Esteban Vera,Dirección de correo verificada de pucv.cl,Pontificia Universidad Catolica de Valparaiso
MiN67sAAAAAJ,teoxvbEAAAAJ,Mark Gurwell,Dirección de correo verificada de cfa.harvard.edu,Center for Astrophysics | Harvard & Smithsonian
MiN67sAAAAAJ,gOj959UAAAAJ,Simon Casassus,Dirección de correo verificada de u.uchile.cl,"Full Professor, Universidad de Chile"
MiN67sAAAAAJ,fTnhqmAAAAAJ,Jorge E. Pezoa,Dirección de correo verificada de udec.cl,Universidad de Concepción
MiN67sAAAAAJ,WG9-64UAAAAJ,Emmanouil Angelakis,,Visiting Scientist
MiN67sAAAAAJ,dHG-J2cAAAAJ,Majeed M. Hayat,Dirección de correo verificada de marquette.edu,"Professor and Department Chair, Electrical & Computer Engineering, Marquette University"
MiN67sAAAAAJ,ymfHJkUAAAAJ,Matthew A. Morgan,Dirección de correo verificada de nrao.edu,National Radio Astronomy Observatory
081-PZIAAAAJ,ajiHSOEAAAAJ,Martin A. Nuñez,Dirección de correo verificada de uh.edu,"Grupo de Ecologia de Invasiones, Dep Bio & Biochem, University of Houston/ INIBIOMA CONICET Comahue"
081-PZIAAAAJ,fT99RewAAAAJ,Lohengrin Cavieres,Dirección de correo verificada de udec.cl,Universidad de Concepcion
081-PZIAAAAJ,Rdfu4uoAAAAJ,David M. Richardson,Dirección de correo verificada de sun.ac.za,"Distinguished Professor, Centre for Invasion Biology, Stellenbosch University, South Africa"
081-PZIAAAAJ,1EJBgD8AAAAJ,Christoph Kueffer,Dirección de correo verificada de env.ethz.ch,ETH Zurich
081-PZIAAAAJ,fYERgqsAAAAJ,Jake M. Alexander,Dirección de correo verificada de usys.ethz.ch,ETH Zurich
081-PZIAAAAJ,WJ_lkGQAAAAJ,Lisa Rew,Dirección de correo verificada de montana.edu,Montana State University
081-PZIAAAAJ,JDrmuaEAAAAJ,Rafael A. García,Dirección de correo verificada de udec.cl,"Instituto de Ecología y Biodiversidad (IEB), Universidad de Concepción"
081-PZIAAAAJ,OVFS0L0AAAAJ,Sylvia Haider,Dirección de correo verificada de botanik.uni-halle.de,"Assistant Professor, Geobotany, Martin Luther University Halle-Wittenberg"
081-PZIAAAAJ,p987Z70AAAAJ,Franz Essl,Dirección de correo verificada de umweltbundesamt.at,"Department of Conservation, Vegetatation and Landscape Ecology"
081-PZIAAAAJ,N_D4gnUAAAAJ,Petr Pyšek,Dirección de correo verificada de ibot.cas.cz,"Professor of Ecology, Institute of Botany, Czech Academy of Sciences, Pruhonice"
081-PZIAAAAJ,LZd9fu8AAAAJ,Ramiro O Bustamante,Dirección de correo verificada de uchile.cl,"Full Professor, Universidad de Chile"
081-PZIAAAAJ,NRsyuDwAAAAJ,Bárbara Langdon,Dirección de correo verificada de udec.cl,"Postdoctorado, Universidad de Concpeción"
081-PZIAAAAJ,U4i7qWQAAAAJ,Tim Seipel,Dirección de correo verificada de montana.edu,Montana State University
081-PZIAAAAJ,MmOD7jMAAAAJ,Jonas J. Lembrechts,Dirección de correo verificada de uantwerpen.be,"Postdoctoral researcher, University of Antwerp"
081-PZIAAAAJ,Xx52nH4AAAAJ,Jonathan Lenoir,Dirección de correo verificada de u-picardie.fr,Chargé de Recherche (CR1) CNRS
081-PZIAAAAJ,91a04yQAAAAJ,Bruce Maxwell,Dirección de correo verificada de montana.edu,"Professor of Weed Ecology, Montana State University"
081-PZIAAAAJ,zsptDjcAAAAJ,Rafael D. Zenni,Dirección de correo verificada de ufla.br,Universidade Federal de Lavras
081-PZIAAAAJ,ErbigE0AAAAJ,Daniel Simberloff,Dirección de correo verificada de utk.edu,"Professor of Ecology and Evolutionary Biology, University of Tennessee"
081-PZIAAAAJ,YoGDr2YAAAAJ,José Ramón Arévalo Sierra,Dirección de correo verificada de ull.edu.es,UNIVERSIDAD DE LA LAGUNA
081-PZIAAAAJ,A_KoUbQAAAAJ,Kimberley Taylor Davis,Dirección de correo verificada de umontana.edu,University of Montana
Wk2naEgAAAAJ,KZ5TMuAAAAAJ,Jose Rodriguez,Dirección de correo verificada de unab.cl,"Professor, Engineering Faculty, Universidad Andres Bello"
Wk2naEgAAAAJ,ki2DjVkAAAAJ,Carlos R. Baier,Dirección de correo verificada de utalca.cl,"Departamento de Ingeniería Eléctrica, Universidad de Talca"
Wk2naEgAAAAJ,FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,Dirección de correo verificada de utalca.cl,"Full Professor, Department of Electrical Engineering, Universidad de Talca"
Wk2naEgAAAAJ,YwQuZr0AAAAJ,Javier Munoz,Dirección de correo verificada de utalca.cl,Universidad de Talca
Wk2naEgAAAAJ,EwIjpU4AAAAJ,Luis Morán,Dirección de correo verificada de udec.cl,Concepcion University
Wk2naEgAAAAJ,010wbxAAAAAJ,Pedro E. Melín C.,Dirección de correo verificada de ubiobio.cl,Department of Electrical and Electronic Engineering - University of Bío-Bío
Wk2naEgAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Dirección de correo verificada de ieee.org,Universidad Tecnica Federico Santa Maria
Wk2naEgAAAAJ,wdTi3S0AAAAJ,Geza Joos,Dirección de correo verificada de mcgill.ca,"Professor of Electrical Engineering, McGill University"
Wk2naEgAAAAJ,c9ql-BAAAAAJ,Marcelo A. Perez,Dirección de correo verificada de usm.cl,Universidad Tecnica Federico Santa Maria
Wk2naEgAAAAJ,xMmVZ4sAAAAJ,Johan Guzman,Dirección de correo verificada de ieee.org,Profesor Asociado Departamento de Ingeniería Eléctrica Universidad del Bío Bío
Wk2naEgAAAAJ,aa-NCokAAAAJ,Jaime Addin Rohten,Dirección de correo verificada de ubiobio.cl,Universidad del Bío-Bío
Wk2naEgAAAAJ,zKVI7EIAAAAJ,"Dixon, Juan W.",Dirección de correo verificada de ing.puc.cl,"Ingeniería Eléctrica, Pontificia Universidad Catolica de Chile"
Wk2naEgAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,Dirección de correo verificada de nottingham.ac.uk,"Professor, University of Nottingham, UK"
Wk2naEgAAAAJ,8z38R2MAAAAJ,Pat Wheeler,Dirección de correo verificada de nottingham.ac.uk,University of Nottingham
Wk2naEgAAAAJ,b1UsMiEAAAAJ,Daniel G. Sbarbaro-Hofer,Dirección de correo verificada de udec.cl,Professor
Wk2naEgAAAAJ,R-2faK0AAAAJ,roberto ramirez,Dirección de correo verificada de utalca.cl,University of Talca
Wk2naEgAAAAJ,ImrRuDsAAAAJ,Pablo Lezana,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa Maria
Wk2naEgAAAAJ,c1VhcpIAAAAJ,Marian P. Kazmierkowski,Dirección de correo verificada de isep.pw.edu.pl,Profesor in Power Electronics and Drives
Wk2naEgAAAAJ,_ZXZKREAAAAJ,Eduardo Espinosa Neira,Dirección de correo verificada de ucsc.cl,Universidad Católica de la Santísima Concepción - Depto. de Ing. Eléctrica - Profesor Asistente
Wk2naEgAAAAJ,-0gRNgsAAAAJ,Cesar Silva,Dirección de correo verificada de usm.cl,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile"
YPM6KxAAAAAJ,dHG-J2cAAAAJ,Majeed M. Hayat,Dirección de correo verificada de marquette.edu,"Professor and Department Chair, Electrical & Computer Engineering, Marquette University"
YPM6KxAAAAAJ,NJcglwYAAAAJ,Sebastián E. Godoy,Dirección de correo verificada de udec.cl,"Associate Professor, University of Concepcion, CHILE"
OuZTRUwAAAAJ,_-WjGJcAAAAJ,Dominik R.G. Schleicher,Dirección de correo verificada de astro-udec.cl,"Associate Professor, Departamento de Astronomía, Universidad de Concepción"
OuZTRUwAAAAJ,XjhQmJYAAAAJ,Amelia Stutz,Dirección de correo verificada de astro-udec.cl,Universidad de Concepcion
OuZTRUwAAAAJ,brRbPWsAAAAJ,Stefano Bovino,Dirección de correo verificada de astro-udec.cl,"Associate Professor, Universidad de Concepcion"
B9yOKSkAAAAJ,vpJk5SQAAAAJ,P. H. Souto Ribeiro,Dirección de correo verificada de ufsc.br,"Professor of Physics, Federal University of Santa Catarina"
B9yOKSkAAAAJ,o-TZxbwAAAAJ,Carlos H. Monken,Dirección de correo verificada de fisica.ufmg.br,"Professor of physics, Universidade Federal de Minas Gerais"
B9yOKSkAAAAJ,xmCDEPkAAAAJ,Luiz Davidovich,Dirección de correo verificada de if.ufrj.br,Universidade Federal do Rio de Janeiro
B9yOKSkAAAAJ,8kokXPkAAAAJ,Fabricio Toscano,Dirección de correo verificada de if.ufrj.br,"Professor de Ciências Físicas, Instituto de Física, Universidade Federal do Rio de Janeiro (UFRJ) "
B9yOKSkAAAAJ,S-ou4-MAAAAJ,Sebastião Pádua,Dirección de correo verificada de fisica.ufmg.br,"Professor of Physics, Departamento de Física, Universidade Federal de Minas Gerais"
B9yOKSkAAAAJ,hplas_wAAAAJ,Marcelo Pereira de Almeida,Dirección de correo verificada de physics.uq.edu.au,Postdoctoral Fellow ARC CoE EQuS and The University of Queensland
B9yOKSkAAAAJ,C1mLGfgAAAAJ,Alejo Salles,Dirección de correo verificada de df.uba.ar,
B9yOKSkAAAAJ,AQV52Z8AAAAJ,Gabriel Aguilar,Dirección de correo verificada de if.ufrj.br,Universidade Federal de Rio de Janeiro
B9yOKSkAAAAJ,anpyIEEAAAAJ,Malena Hor-Meyll,Dirección de correo verificada de if.ufrj.br,"Professora adjunta do Instituto de Física, Universidade Federal do Rio de Janeiro"
B9yOKSkAAAAJ,AHJJnvMAAAAJ,Leandro Aolita,Dirección de correo verificada de tii.ae,Quantum Research Centre - Technology Innovation Institute
B9yOKSkAAAAJ,hwup8w4AAAAJ,Daniel S. Tasca,Dirección de correo verificada de mail.if.uff.br,"Professor of Physics, Universidade Federal Fluminense, Brazil"
B9yOKSkAAAAJ,Y5qmF6QAAAAJ,Rafael M. Gomes,Dirección de correo verificada de ufg.br,Universidade Federal de Goiás
B9yOKSkAAAAJ,3t-7z0UAAAAJ,Osvaldo Jimenez Farias,Dirección de correo verificada de icfo.es,ICFO- The Institute of Photonic Sciences
B9yOKSkAAAAJ,Uqn65wMAAAAJ,Fernando de Melo,Dirección de correo verificada de cbpf.br,Centro Brasileiro de Pesquisas Físicas (CBPF)
B9yOKSkAAAAJ,o_Q_CEUAAAAJ,Łukasz Rudnicki,Dirección de correo verificada de ug.edu.pl,International Centre for Theory of Quantum Technologies
B9yOKSkAAAAJ,aJHQ4PwAAAAJ,Gustavo Lima,Dirección de correo verificada de udec.cl,Universidad de Concepción
B9yOKSkAAAAJ,nY8xIlgAAAAJ,Perola Milman,Dirección de correo verificada de univ-paris-diderot.fr,CNRS
B9yOKSkAAAAJ,IlckrP8AAAAJ,Eric Cavalcanti,Dirección de correo verificada de griffith.edu.au,"Associate Professor (ARC Future Fellow), Griffith University"
B9yOKSkAAAAJ,IuIxyEUAAAAJ,Fabio Sciarrino,Dirección de correo verificada de uniroma1.it,"Full Professor, Dipartimento di Fisica, Sapienza Università di Roma"
