id_gs,idco,nombre_coautor,dominio,cargo
1nTAQfsAAAAJ,5lLJm3sAAAAJ,Nelson Vasquez,Dirección de correo verificada de my.csun.edu,
1nTAQfsAAAAJ,S7LDuQ8AAAAJ,Erasmo Macaya Horta,Dirección de correo verificada de oceanografia.udec.cl,Universidad de Concepción
1nTAQfsAAAAJ,dv8gciwAAAAJ,Nelson Valdivia,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
1nTAQfsAAAAJ,cY-A0aMAAAAJ,Fadia Tala,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
1nTAQfsAAAAJ,2b2tm3oAAAAJ,Eva Rothäusler,Dirección de correo verificada de utu.fi,University of Turku
1nTAQfsAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,Dirección de correo verificada de ceaza.cl,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
1nTAQfsAAAAJ,Wb0BJU4AAAAJ,Andrew Jeffs,Dirección de correo verificada de auckland.ac.nz,"Professor of Marine Science, University of Auckland"
1nTAQfsAAAAJ,ZuEEpw4AAAAJ,Lars Gutow,Dirección de correo verificada de awi.de,
1nTAQfsAAAAJ,bA3DSU4AAAAJ,Bridget Green,Dirección de correo verificada de utas.edu.au,"Adjunct Associate Professor, Institute for Marine and Antarctic Studies, University of Tasmania"
1nTAQfsAAAAJ,d4pIdOYAAAAJ,Caleb Gardner,Dirección de correo verificada de utas.edu.au,University of Tasmania
1nTAQfsAAAAJ,Gwyw_mwAAAAJ,J. Antonio Baeza,Dirección de correo verificada de clemson.edu,"Associate Professor, Dept. of Biological Sciences, Clemson University, USA"
1nTAQfsAAAAJ,H3toP-0AAAAJ,Cristian Correa,Dirección de correo verificada de mail.mcgill.ca,Universidad Austral de Chile
1nTAQfsAAAAJ,QXLQ_I4AAAAJ,Iván Gómez,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
1nTAQfsAAAAJ,jI8ORYEAAAAJ,Alonso Vega Reyes,Dirección de correo verificada de ucn.cl,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte
1nTAQfsAAAAJ,pzo1VK8AAAAJ,Chris Harrod,Dirección de correo verificada de harrodlab.net,"Universidad de Antofagasta, Instituto Ciencias Naturales Alexander von Humboldt"
