id_gs,idco,nombre_coautor,dominio,cargo
ZIkl7UgAAAAJ,AlV_fuEAAAAJ,francisco gallardo,Dirección de correo verificada de uc.cl,universidad catolica
ZIkl7UgAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
ZIkl7UgAAAAJ,JaL6YYIAAAAJ,Martin Giesso,Dirección de correo verificada de neiu.edu,"Senior Instructor, Department of Anthropology, Northeastern Illinois University"
ZIkl7UgAAAAJ,_eK_f0UAAAAJ,Donald Jackson,Dirección de correo verificada de uchile.cl,"Departamento Antropología, Universidad de Chile"
ZIkl7UgAAAAJ,rpd7uCwAAAAJ,Victoria Castro Rojas,,Universidad de Chile
cKOW8IEAAAAJ,1_-F8JIAAAAJ,Marcela Román,Dirección de correo verificada de cide.cl,"Investigadora CIDE- Universidad Alberto Hurtado, Chile"
cKOW8IEAAAAJ,gYbpKlMAAAAJ,Sylvie Didou Aupetit,Dirección de correo verificada de cinvestav.mx,Investigador
3SzLhtAAAAAJ,0tkAf8IAAAAJ,David D. Preiss,Dirección de correo verificada de uc.cl,"Professor of Psychology, Pontificia Universidad Católica de Chile"
3SzLhtAAAAAJ,aDuc7eYAAAAJ,Lorena Pía Medina,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica
3SzLhtAAAAAJ,sIa8JN8AAAAJ,María Alejandra Energici,Dirección de correo verificada de uahurtado.cl,Académica Universidad Alberto Hurtado
3SzLhtAAAAAJ,mcScWqUAAAAJ,Hector Carvacho,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
V0s0uYUAAAAJ,ZJJ9gOAAAAAJ,Carlos Alberto Cioce Sampaio,Dirección de correo verificada de pq.cnpq.br,FURB. Researcher of the The Brazilian National Council for Scientific and Technological Development
BhlHihoAAAAJ,UuLuE74AAAAJ,José Ossandón,Dirección de correo verificada de cbs.dk,"Associate Professor, Department of Organization, Copenhagen Business School"
BhlHihoAAAAJ,gKqE5LoAAAAJ,Carla Alvial Palavicino,Dirección de correo verificada de uu.nl,Center for Global Challenges - Utrecht University
BhlHihoAAAAJ,KhlCKGcAAAAJ,Wilko Graf von Hardenberg,Dirección de correo verificada de hu-berlin.de,"Research Scholar, Humboldt-Universität zu Berlin"
