id_gs,idco,nombre_coautor,dominio,cargo
qUMntLgAAAAJ,uEJ-9rMAAAAJ,Derek Lovley,Dirección de correo verificada de umass.edu,"University of Massachusetts-Amherst USA and Northeastern University, Shenyang, China"
qUMntLgAAAAJ,QVlArfAAAAAJ,Ludovic Giloteaux,Dirección de correo verificada de cornell.edu,"Research Associate, Cornell University"
qUMntLgAAAAJ,Ra-Y6WgAAAAJ,Amelia-Elena Rotaru,Dirección de correo verificada de biology.sdu.dk,"Associate Professor of Microbial Physiology, University of Southern Denmark"
qUMntLgAAAAJ,9a6pYC4AAAAJ,Ashley Franks,Dirección de correo verificada de latrobe.edu.au,"Department of Microbiology, La Trobe University"
qUMntLgAAAAJ,FYM9qOsAAAAJ,Kelly Nevin,Dirección de correo verificada de microbio.umass.edu,University of Massachusetts Amherst
qUMntLgAAAAJ,pWQGJWEAAAAJ,Philip E. Long,Dirección de correo verificada de lbl.gov,Lawrence Berkeley National Laboratory
qUMntLgAAAAJ,IuorTJ0AAAAJ,Michael Wilkins,Dirección de correo verificada de colostate.edu,Colorado State University
tU0-kcwAAAAJ,DD-JMw4AAAAJ,Gustavo Chiang,Dirección de correo verificada de unab.cl,"Universidad Andrés Bello, Facultad de Ciencias de la Vida, Departamento de Ecología y Biodiversidad"
tU0-kcwAAAAJ,guvQyH8AAAAJ,Kelly Munkittrick,Dirección de correo verificada de ucalgary.ca,University of Calgary
tU0-kcwAAAAJ,IL5BaR0AAAAJ,Christopher Martyniuk,Dirección de correo verificada de ufl.edu,University of Florida
tU0-kcwAAAAJ,L0UwGEgAAAAJ,Mark McMaster,Dirección de correo verificada de Canada.ca,Environment Canada
tU0-kcwAAAAJ,s4LktlMAAAAJ,Winfred E. Espejo Contreras,Dirección de correo verificada de udec.cl,Universidad de Concepción
tU0-kcwAAAAJ,jAOsN6IAAAAJ,JOSE ENRIQUE CELIS HIDALGO,Dirección de correo verificada de udec.cl,Universidad de Concepcion
tU0-kcwAAAAJ,AAMayFIAAAAJ,Ricardo O. Barra,Dirección de correo verificada de udec.cl,"University of Concepcion, Faculty of Environmental Sciences and EULA CHILE Centre"
tU0-kcwAAAAJ,RifBHIsAAAAJ,Karen A Kidd,Dirección de correo verificada de mcmaster.ca,"Jarislowsky Chair in Environment and Health & Professor, Biology, McMaster University"
tU0-kcwAAAAJ,1lb5Y_AAAAAJ,Rodrigo Orrego PhD.,Dirección de correo verificada de uantof.cl,"University of Antofagasta, Chile."
tU0-kcwAAAAJ,HPiUBjkAAAAJ,Ana M Garcia-Cegarra,Dirección de correo verificada de santotomas.cl,"PhD, Instituto de Ciencias Naturales Alexander von Humboldt, Facultad de Ciencias del Mar y Recursos"
tU0-kcwAAAAJ,IUOwXXwAAAAJ,Nelson J O'Driscoll,Dirección de correo verificada de acadiau.ca,Department of Earth and Environmental Science; Acadia University
ny3z0AUAAAAJ,1hkVN-sAAAAJ,José Antonio Muñoz Reyes,Dirección de correo verificada de udd.cl,"Centro de Investigación en Complejidad Social, Universidad del Desarrollo"
ny3z0AUAAAAJ,-dLdB5kAAAAJ,Pablo Polo,Dirección de correo verificada de udd.cl,"Centro de Investigación en Complejidad Social, Universidad del Desarrollo"
ny3z0AUAAAAJ,pv0M_A0AAAAJ,Ana  Maria Fernandez,Dirección de correo verificada de usach.cl,Universidad de Santiago de Chile
n1qKMYwAAAAJ,rM8qFkwAAAAJ,Dominik Hartmann,Dirección de correo verificada de ufsc.br,"Federal University of Santa Catarina (UFSC), Department of Economics and International Relations"
n1qKMYwAAAAJ,xhCWdtMAAAAJ,Cesar A. Hidalgo,Dirección de correo verificada de tse-fr.eu,"Center for Collective Learning, ANITI, TSE, Universities of Toulouse, Manchester, & Harvard"
n1qKMYwAAAAJ,CL8jcnUAAAAJ,Cristian Jara-Figueroa,Dirección de correo verificada de mit.edu,"Research Assistant, MIT Media Lab"
n1qKMYwAAAAJ,6LYRTPEAAAAJ,Marcelo Mendoza,Dirección de correo verificada de uc.cl,"Associate Professor, Pontificia Universidad Católica de Chile, researcher at CENIA and IMFD"
n1qKMYwAAAAJ,LINI0EUAAAAJ,Manuel Aristarán,Dirección de correo verificada de mit.edu,"MIT Media Lab, MIT"
n1qKMYwAAAAJ,1foqEu4AAAAJ,Alex Simoes,Dirección de correo verificada de datawheel.us,Datawheel
n1qKMYwAAAAJ,gxoComsAAAAJ,César Pacheco Silva,Dirección de correo verificada de upla.cl,Universidad de Playa Ancha
n1qKMYwAAAAJ,clXFk9YAAAAJ,Juan Zamora,Dirección de correo verificada de pucv.cl,Pontificia Universidad Católica de Valparaíso
