id_gs,idco,nombre_coautor,dominio,cargo
vjUabgsAAAAJ,C_DBAdcAAAAJ,Kenneth Ikechukwu Ozoemena,Dirección de correo verificada de wits.ac.za,Research Professor & SARChI Chair (Electrochemistry & Energy): University of the Witwatersrand
vjUabgsAAAAJ,dG2WqtgAAAAJ,Maritza Paez,Dirección de correo verificada de usach.cl,UNIVERSIDAD DE SANTIAGO DE CHILE
vjUabgsAAAAJ,YYOj1q0AAAAJ,Bedioui Fethi,Dirección de correo verificada de chimie-paristech.fr,"Directeur de recherche, CNRS"
vjUabgsAAAAJ,QUpAXHcAAAAJ,Tebello Nyokong,Dirección de correo verificada de ru.ac.za,"Professor of Chemistry, Rhodes University"
vjUabgsAAAAJ,HilfBwMAAAAJ,Jorge Pavez,Dirección de correo verificada de usach.cl,"Materials Chemistry Department, Universidad de Santiago de Chile"
vjUabgsAAAAJ,DK0NF-YAAAAJ,Dr Mkhulu Mathe,Dirección de correo verificada de csir.co.za,CSIR
vjUabgsAAAAJ,RPH9EHYAAAAJ,Gloria Cardenas-Jiron,Dirección de correo verificada de usach.cl,"Universidad de Santiago de Chile, Faculty of Chemistry and Biology"
vjUabgsAAAAJ,Jap3tXYAAAAJ,Juan Costamagna,Dirección de correo verificada de usach.cl,Profesor de Química 
vjUabgsAAAAJ,uPiDtIAAAAAJ,Bolade Agboola,Dirección de correo verificada de aun.edu.ng,"Associate Professor of Chemistry, American University of Nigeria"
vjUabgsAAAAJ,u2dxUjsAAAAJ,F Javier Recio,Dirección de correo verificada de uam.es,Universidad Autónoma de Madrid
vjUabgsAAAAJ,GxlMz4IAAAAJ,Kumar Raju,Dirección de correo verificada de cam.ac.uk,University of Cambridge
vjUabgsAAAAJ,S7oAfJQAAAAJ,Ingrid Ponce,Dirección de correo verificada de usach.cl,Universidad de Santiago de Chile
vjUabgsAAAAJ,H69T0x8AAAAJ,Federico Tasca,Dirección de correo verificada de usach.cl,"Associate Professor, Universidad de Santiago de Chile"
vjUabgsAAAAJ,5ZV73tgAAAAJ,Abolanle S Adekunle,Dirección de correo verificada de oauife.edu.ng,"Department of Chemistry, Obafemi Awolowo University, Ile-Ife, Nigeria"
vjUabgsAAAAJ,OnzrDoIAAAAJ,Ureta-Zañartu María Soledad,Dirección de correo verificada de usach.cl,"Dpto Ciencias del Ambiente, Facultad de Química y Biología USACh"
vjUabgsAAAAJ,gfEYw3YAAAAJ,Ricardo Venegas,Dirección de correo verificada de uc.cl,Universidad de Santiago de Chile
vjUabgsAAAAJ,JVULLXIAAAAJ,Charl J. Jafta,Dirección de correo verificada de ornl.gov,Oak Ridge National Laboratory (ORNL)
vjUabgsAAAAJ,dFGxB8EAAAAJ,J.F. Marco,Dirección de correo verificada de iqfr.csic.es,"Instituto de Química-Física ""Rocasolano"""
vjUabgsAAAAJ,xp90BUQAAAAJ,Mesfin Kebede,Dirección de correo verificada de csir.co.za,"Principal Researcher, Council for Scientific and Industrial Research, Pretoria, South Africa"
vjUabgsAAAAJ,79bcdT8AAAAJ,Mamie Sancy,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
OLE-0rQAAAAJ,iR8G200AAAAJ,Andrew Lyne,Dirección de correo verificada de manchester.ac.uk,"Professor of Physics, University of Manchester"
OLE-0rQAAAAJ,19EaWqcAAAAJ,Danai Antonopoulou,Dirección de correo verificada de manchester.ac.uk,"Research Fellow, Jodrell Bank Centre for Astrophysics"
OLE-0rQAAAAJ,1gQkhCgAAAAJ,Anna Watts,Dirección de correo verificada de uva.nl,University of Amsterdam
OLE-0rQAAAAJ,ii7ImRwAAAAJ,juan alejandro valdivia,Dirección de correo verificada de macul.ciencias.uchile.cl,"Departamento de Fisica, Facultad de Ciencias, Universidad de Chile"
OLE-0rQAAAAJ,WWJAsS4AAAAJ,Jose Rafael Fuentes,Dirección de correo verificada de uc.cl,"Department of Physics, McGill University"
OLE-0rQAAAAJ,Rb-PfE4AAAAJ,Marina Stepanova,Dirección de correo verificada de usach.cl,Universidad de Santiago de Chile (USACH)
OLE-0rQAAAAJ,1bzmmc0AAAAJ,Pablo S. Moya,Dirección de correo verificada de uchile.cl,"Assistant Professor, Faculty of Sciences, Department of Physics, University of Chile"
8fuNPLIAAAAJ,uro3T6kAAAAJ,Harry Swinney,Dirección de correo verificada de chaos.utexas.edu,university of texas at austin
8fuNPLIAAAAJ,HTbF7hYAAAAJ,jean-christophe Geminard,Dirección de correo verificada de ens-lyon.fr,"Université de Lyon, Ecole Normale Supérieure de Lyon, CNRS"
8fuNPLIAAAAJ,7HyPGTYAAAAJ,Francisco Santibanez,Dirección de correo verificada de unc.edu,University of North Carolina at Chapel Hill
