id_gs,idco,nombre_coautor,dominio,cargo
J3Durw8AAAAJ,pSY7g_YAAAAJ,Alfredo Guillermo Criollo,Dirección de correo verificada de u.uchile.cl,"Laboratory of Cellular and Molecular Biology Research Institute of Dental Science  Faculty of Dentistry, University of Chile"
J3Durw8AAAAJ,OU05Q_MAAAAJ,Guido Kroemer,Dirección de correo verificada de inserm.fr,"Université de Paris Cité, Hôpital Européen George Pompidou - AP-HP, Gustave Roussy Cancer Campus"
J3Durw8AAAAJ,UmxSTswAAAAJ,Lorenzo Galluzzi,Dirección de correo verificada de med.cornell.edu,Weill Cornell Medical College
J3Durw8AAAAJ,sb3J6p4AAAAJ,Oliver Kepp,Dirección de correo verificada de gustaveroussy.fr,INSERM UMR1138 / Gustave Roussy Cancer Center
J3Durw8AAAAJ,afQKKl8AAAAJ,Nektarios Tavernarakis,Dirección de correo verificada de imbb.forth.gr,"Professor, Medical School, University of Crete & IMBB - FORTH"
J3Durw8AAAAJ,ufyJPQ0AAAAJ,Guillermo Mariño,Dirección de correo verificada de uniovi.es,University of Oviedo
J3Durw8AAAAJ,a-R0vSQAAAAJ,Shensi Shen,Dirección de correo verificada de issb.genopole.fr,CNRS
J3Durw8AAAAJ,IR_E41QAAAAJ,Nicolas Tajeddine,Dirección de correo verificada de uclouvain.be,Université catholique de Louvain
J3Durw8AAAAJ,QYyrxzsAAAAJ,Laurence Zitvogel,Dirección de correo verificada de igr.fr,"Institut Gustave Roussy, Université de Paris Saclay, INSERM"
J3Durw8AAAAJ,RQhN_XEAAAAJ,Antoine Tesniere,Dirección de correo verificada de ilumens.org,"Université Paris Descartes, iLumens"
J3Durw8AAAAJ,2IUWCD8AAAAJ,Michael Neinast,Dirección de correo verificada de princeton.edu,Princeton University
J3Durw8AAAAJ,vhxTSrUAAAAJ,Thierry soussi,Dirección de correo verificada de ki.se,Professor of Molecular Biology
J3Durw8AAAAJ,KEQb4vkAAAAJ,Tobias Eisenberg,Dirección de correo verificada de uni-graz.at,"Associate Professor, University of Graz"
J3Durw8AAAAJ,DoF46k8AAAAJ,Matthias Tschöp,Dirección de correo verificada de helmholtz-muenchen.de,Helmholtz Zentrum München
J3Durw8AAAAJ,Siwb1J4AAAAJ,Philippe Hupé,Dirección de correo verificada de curie.fr,Institut Curie
J3Durw8AAAAJ,2WqWPMoAAAAJ,Gyorgy Szabadkai,Dirección de correo verificada de ucl.ac.uk,"Professor of Phyisology, University College London; Associate Professor, University of Padua"
J3Durw8AAAAJ,m6Te4qEAAAAJ,Jose Manuel Fuentes,Dirección de correo verificada de unex.es,Universidad de Extremadura. CIBERNED. Depto. de Bioquimica y Biologia Molecular y Genetica. Fac
J3Durw8AAAAJ,kUdTr0oAAAAJ,Christoph Ruckenstuhl,Dirección de correo verificada de uni-graz.at,University of Graz
J3Durw8AAAAJ,YiJyXtYAAAAJ,Andrew V. Jones,Dirección de correo verificada de vectorcast.com,"Vector Software, Inc."
cE4i7RwAAAAJ,Svu2s9AAAAAJ,Andrea Soza,Dirección de correo verificada de uss.cl,Universidad San Sebastián
cE4i7RwAAAAJ,IABqgksAAAAJ,María Isabel Yuseff,Dirección de correo verificada de bio.puc.cl,P. Universidad Catolica de Chile
cE4i7RwAAAAJ,OXIu3owAAAAJ,Alfredo Caceres,Dirección de correo verificada de immf.uncor.edu,INIMEC CONICET
cE4i7RwAAAAJ,9QHKQMMAAAAJ,María Paz Marzolo,Dirección de correo verificada de bio.puc.cl,"Profesor Titular, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile"
cE4i7RwAAAAJ,gxXlprUAAAAJ,Gonzalo Cordova,Dirección de correo verificada de springer.com,Springer Nature editor in Biomedicine
cE4i7RwAAAAJ,kKBp14AAAAAJ,Carolina Otero,Dirección de correo verificada de unab.cl,Associate Professor
