id_gs,idco,nombre_coautor,dominio,cargo
oaqR2GoAAAAJ,t8hdQjYAAAAJ,Calogero M. Santoro,Dirección de correo verificada de uta.cl,Universidad de Tarapaca
oaqR2GoAAAAJ,Ba79q50AAAAJ,Sian Halcrow,Dirección de correo verificada de otago.ac.nz,University of Otago
oaqR2GoAAAAJ,DexghF0AAAAJ,Jane E. Buikstra,Dirección de correo verificada de asu.edu,"Professor of Bioarchaeology, School of Human Evolution and Social Change, Arizona State University"
oaqR2GoAAAAJ,E_DHqIcAAAAJ,Felipe  Guhl,Dirección de correo verificada de uniandes.edu.co,Universidad de los Andes  CIMPAT
oaqR2GoAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,Dirección de correo verificada de bio.puc.cl,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
oaqR2GoAAAAJ,3LFRpqYAAAAJ,M Thomas P Gilbert,Dirección de correo verificada de sund.ku.dk,University of Copenhagen
oaqR2GoAAAAJ,vuwDboYAAAAJ,Adauto Araujo,Dirección de correo verificada de ensp.fiocruz.br,"Researcher, Escola Nacional de Saude Publica, Fundação Oswaldo Cruz"
oaqR2GoAAAAJ,Qu0U_LkAAAAJ,Iván Muñoz Ovalle,Dirección de correo verificada de uta.cl,Universidad de Tarapacá
oaqR2GoAAAAJ,dTtnOeYAAAAJ,Jorge Yañez,Dirección de correo verificada de udec.cl,University of Concepcion
oaqR2GoAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
oaqR2GoAAAAJ,4fjf1H4AAAAJ,Sam Byrne,Dirección de correo verificada de middlebury.edu,Asst. Professor: Middlebury College
oaqR2GoAAAAJ,UA5erHEAAAAJ,Francisco Rothhammer,,"Professor of Population Genetics, University of Tarapaca and University of Chile"
t8hdQjYAAAAJ,my-JKiQAAAAJ,Claudio Latorre,Dirección de correo verificada de bio.puc.cl,"Departamento de Ecología, Pontificia Universidad Católica de Chile"
t8hdQjYAAAAJ,HPpN_m8AAAAJ,Daniela Valenzuela,Dirección de correo verificada de uta.cl,"Profesora, Investigadora, Universidad de Tarapacá"
t8hdQjYAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,Dirección de correo verificada de bio.puc.cl,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
t8hdQjYAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
t8hdQjYAAAAJ,_eK_f0UAAAAJ,Donald Jackson,Dirección de correo verificada de uchile.cl,"Departamento Antropología, Universidad de Chile"
OSSLHcAAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Dirección de correo verificada de uta.cl,Profesora Titular Universidad de Tarapaca
OSSLHcAAAAAJ,zak53CYAAAAJ,Juan Jesus Rodriguez,Dirección de correo verificada de uta.cl,"Staff Profesional, Universidad de Tarapacá"
OSSLHcAAAAAJ,_mR2Ky8AAAAJ,carmen araneda guirriman,Dirección de correo verificada de academicos.uta.cl,Universidad de Tarapacá
OSSLHcAAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Dirección de correo verificada de academicos.uta.cl,Universidad de Tarapacá
OSSLHcAAAAAJ,OjP1gWgAAAAJ,Nicolas Fleet,Dirección de correo verificada de uahurtado.cl,"Departamento de Sociología, Universidad Alberto Hurtado"
OSSLHcAAAAAJ,hp4_Yu0AAAAJ,Andres Bernasconi,Dirección de correo verificada de uc.cl,"Facultad de Educación, Pontificia Universidad Católica de Chile"
OSSLHcAAAAAJ,v4UCYN8AAAAJ,Hector Gaete-Feres,Dirección de correo verificada de ubiobio.cl,Universidad del Bío-Bío
9SvW7BUAAAAJ,0CDmtxAAAAAJ,Noel McGinn,Dirección de correo verificada de igc.org,"Professor Emeritus, Harvard University Graduate School of Education"
9SvW7BUAAAAJ,WQESPTMAAAAJ,Eduardo Santa Cruz Grau,Dirección de correo verificada de ciae.uchile.cl,Universidad Bernardo O' Higgins
9SvW7BUAAAAJ,DXDfvwMAAAAJ,Gustavo Gregorutti,Dirección de correo verificada de andrews.edu,Andrews University 
9SvW7BUAAAAJ,s5zIVz8AAAAJ,Maria Luisa Granda,Dirección de correo verificada de espol.edu.ec,Escuela Superior Politecnica del Litoral
9SvW7BUAAAAJ,9oV68QsAAAAJ,Maria Jacqueline Rojas Rios,Dirección de correo verificada de upla.cl,"académica, Universidad de Playa Ancha"
9SvW7BUAAAAJ,ruuRnpIAAAAJ,Sebastian Neut Aguayo,Dirección de correo verificada de uc.cl,
9SvW7BUAAAAJ,aoKFzKgAAAAJ,José Sánchez-Santamaría (Orcid: 000...,Dirección de correo verificada de uclm.es,Associated Professor. GRIOCE. Universidad de Castilla-La Mancha
9SvW7BUAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Dirección de correo verificada de uta.cl,Profesor Titular - Universidad de Tarapacá (Chile)
9SvW7BUAAAAJ,sjPGq8UAAAAJ,César Tello,Dirección de correo verificada de untref.edu.ar,Profesor
9SvW7BUAAAAJ,g6LidUcAAAAJ,Boris A. López,Dirección de correo verificada de ulagos.cl,"Departamento de Acuicultura y Recursos Agroalimentarios, Universidad de Los Lagos"
9SvW7BUAAAAJ,_dGhO2MAAAAJ,Jorge Gorostiaga,Dirección de correo verificada de unsam.edu.ar,Universidad Nacional de San Martín - CONICET
9SvW7BUAAAAJ,NXWX-aYAAAAJ,Eugenio Rivera Urrutia,Dirección de correo verificada de chile21.cl,Fundación Chile 21
9SvW7BUAAAAJ,I7qlRKMAAAAJ,silvia sarzoza,Dirección de correo verificada de upla.cl,Universidad de Playa Ancha
