id_gs,idco,nombre_coautor,dominio,cargo
Ddem6g4AAAAJ,JPuUcIsAAAAJ,spray d*,Dirección de correo verificada de einstein.yu.edu,"Einstein College of Medicine, Bronx, NY"
Ddem6g4AAAAJ,ctaapjIAAAAJ,Juan Andrés Orellana,Dirección de correo verificada de uc.cl,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile
Ddem6g4AAAAJ,yNGFuyUAAAAJ,Michael V. L. Bennett@aeocom.yu.edu,Dirección de correo verificada de aecom.yu.edu,"Professor of Neurosience, Albert Eimstein College of Medicine"
Ddem6g4AAAAJ,4qpaC-YAAAAJ,Agustin D Martinez,Dirección de correo verificada de uv.cl,"Centro Interdisciplinario de Neurociencia de Valparaíso, Universidad de Valparaíso"
Ddem6g4AAAAJ,DSQ3d6YAAAAJ,Mauricio A. Retamal,Dirección de correo verificada de udd.cl,"Universidad del Desarrollo, Centro de Fisiología Celular e Integrativa"
Ddem6g4AAAAJ,WG23Za0AAAAJ,"Eugenin, Eliseo",Dirección de correo verificada de utmb.edu,University of Texas Medical Branch
Ddem6g4AAAAJ,Tbk2NFwAAAAJ,Feliksas Bukauskas,Dirección de correo verificada de einstein.yu.edu,"Professor of Neuroscience, Albert Einstein College of Medicine, NY, USA"
Ddem6g4AAAAJ,3qgZ6x4AAAAJ,Pablo J. SÁEZ,Dirección de correo verificada de uc.cl,"University Medical Center Hamburg- Eppendorf (UKE), Hamburg"
Ddem6g4AAAAJ,mGhEI0AAAAAJ,Jorge E. Contreras,Dirección de correo verificada de ucdavis.edu,"Associate Professor, UC Davis"
Ddem6g4AAAAJ,bGZk7nAAAAAJ,Luis A. Cea,Dirección de correo verificada de uautonoma.cl,"Instituto de Ciencias Biomédicas, Universidad Autónoma de Chile"
Ddem6g4AAAAJ,tX82XNYAAAAJ,Victoria Velarde A.,Dirección de correo verificada de bio.puc.cl,"Profesor de Fisiología, Pontificia Universidad Católica de Chile"
Ddem6g4AAAAJ,9G52ZtMAAAAJ,Riquelme MA,Dirección de correo verificada de uthscsa.edu,University of Texas Health Science Center at San Antonio
Ddem6g4AAAAJ,bOtNLWsAAAAJ,Bruno A. Cisterna,Dirección de correo verificada de uc.cl,"Facultad de Medicina, Universidad Andres Bello"
Ddem6g4AAAAJ,_kX0_eoAAAAJ,Jose Luis Vega Pizarro,Dirección de correo verificada de uantof.cl,Universidad de Antofagasta
Ddem6g4AAAAJ,v_XdRXAAAAAJ,Carlos Puebla A.,Dirección de correo verificada de uoh.cl,"Instituto de Ciencias de la Salud, Universidad de O´Higgins, Chile"
Ddem6g4AAAAJ,ChbVg1YAAAAJ,Angus Nairn,Dirección de correo verificada de yale.edu,
Ddem6g4AAAAJ,d6I0YqIAAAAJ,Eric C. Beyer,Dirección de correo verificada de uchicago.edu,"Professor of Pediatrics, University of Chicago"
Ddem6g4AAAAJ,b_llPTYAAAAJ,Luc Leybaert,Dirección de correo verificada de ugent.be,Ghent university
Ddem6g4AAAAJ,gEFgUtgAAAAJ,Jiang Jean X.,Dirección de correo verificada de uthscsa.edu,University of Texas Health Science Center at San Antonio
Ddem6g4AAAAJ,kzv8gboAAAAJ,Vania Figueroa,Dirección de correo verificada de uautonoma.cl,Centro de Comunicación de las Ciencias Universidad Autónoma de Chile
m6IbAvkAAAAJ,A6A8ykoAAAAJ,Deborah Talmi,Dirección de correo verificada de manchester.ac.uk,"Lecturer, Department of Psychology, University of Cambridge"
m6IbAvkAAAAJ,vzAGu2QAAAAJ,Nelson J. Trujillo-Barreto,Dirección de correo verificada de manchester.ac.uk,University of Manchester
m6IbAvkAAAAJ,pwCv-FUAAAAJ,Zandstra EH,Dirección de correo verificada de planet.nl,Unilever Foods Innovation Centre Wageningen and Wageningen University & Research
m6IbAvkAAAAJ,2WaBdA0AAAAJ,Isabelle Blanchette,Dirección de correo verificada de uqtr.ca,Université du Québec à Trois-Rivières
m6IbAvkAAAAJ,RA_zjBgAAAAJ,j deakin,Dirección de correo verificada de manchester.ac.uk,"professor of psychiatry, university of manchester"
m6IbAvkAAAAJ,vZN05iEAAAAJ,Ellen Poliakoff,Dirección de correo verificada de manchester.ac.uk,"Senior Lecturer in Psychology, University of Manchester"
m6IbAvkAAAAJ,sGrz-1oAAAAJ,Francis McGlone,Dirección de correo verificada de ljmu.ac.uk,"Professor of Neuroscience, Liverpool JM University & Visiting Professor, University of Liverpool"
m6IbAvkAAAAJ,KIyRMyUAAAAJ,Corinna Haenschel,Dirección de correo verificada de city.ac.uk,"Department of Psychology, City University London"
m6IbAvkAAAAJ,6RE51EcAAAAJ,Penny Lewis,Dirección de correo verificada de Cardiff.ac.uk,"Psychology Department, University of Cardiff"
m6IbAvkAAAAJ,XE4ldC8AAAAJ,Alfredo Vellido,Dirección de correo verificada de cs.upc.edu,"Associate Professor in Artificial Intelligence, Universitat Politècnica de Catalunya (UPC"
m6IbAvkAAAAJ,3W0xe18AAAAJ,Donna Lloyd,Dirección de correo verificada de manchester.ac.uk,University of Manchester
m6IbAvkAAAAJ,AGcXdbYAAAAJ,Rebecca Elliott,Dirección de correo verificada de manchester.ac.uk,University of Manchester
m6IbAvkAAAAJ,iswtssoAAAAJ,Andrew Howes,Dirección de correo verificada de bham.ac.uk,University of Birmingham
m6IbAvkAAAAJ,yHWvqLAAAAAJ,Johanna Kuenzel,Dirección de correo verificada de rdls.nestle.com,
m6IbAvkAAAAJ,1RRtTngAAAAJ,Eduardo Martínez-Montes,Dirección de correo verificada de cneuro.edu.cu,"Neuroinformatics Department, Cuban Neuroscience Center"
m6IbAvkAAAAJ,KDtSFaQAAAAJ,Ben Seymour,Dirección de correo verificada de ndcn.ox.ac.uk,University of Oxford
m6IbAvkAAAAJ,q_4u0aoAAAAJ,Karl Friston,Dirección de correo verificada de ucl.ac.uk,University College London
m6IbAvkAAAAJ,R6anHZMAAAAJ,Colette McKay,Dirección de correo verificada de bionicsinstitute.org,"Professor of Hearing Research, The Bionics Institute, Australia, and University of Manchester, UK"
m6IbAvkAAAAJ,jYZHAO0AAAAJ,David Zald,Dirección de correo verificada de rutgers.edu,"Professor of Psychiatry, Rutgers University (Adjunct Faculty Vanderbilt University)"
m6IbAvkAAAAJ,Lu2XPfUAAAAJ,Alain Dagher,Dirección de correo verificada de mcgill.ca,McGill University
A9fR4zIAAAAJ,GyiegqsAAAAJ,Osvaldo Alvarez,Dirección de correo verificada de uchile.cl,"Profesor, Universidad de Chile"
A9fR4zIAAAAJ,xTvQy0IAAAAJ,Hans Larsson,Dirección de correo verificada de med.miami.edu,University of Miami
A9fR4zIAAAAJ,RXKo14YAAAAJ,Amaury Pupo,Dirección de correo verificada de mail.wvu.edu,West Virginia University
A9fR4zIAAAAJ,hHm93bUAAAAJ,David Baez-Nieto,Dirección de correo verificada de broadinstitute.org,Research Scientist I at Broad Institute of MIT and Harvard
A9fR4zIAAAAJ,4qpaC-YAAAAJ,Agustin D Martinez,Dirección de correo verificada de uv.cl,"Centro Interdisciplinario de Neurociencia de Valparaíso, Universidad de Valparaíso"
A9fR4zIAAAAJ,G-Cl7EMAAAAJ,Isaac E. García Carrillo,Dirección de correo verificada de uv.cl,"Associate Professor, Universidad de Valparaiso, PhD,  Adjunct Researcher CINV"
A9fR4zIAAAAJ,vwvnGjMAAAAJ,Francisco Bezanilla,Dirección de correo verificada de uchicago.edu,Professor of Biochemistry and Molecular Biology University of Chicago
A9fR4zIAAAAJ,DSQ3d6YAAAAJ,Mauricio A. Retamal,Dirección de correo verificada de udd.cl,"Universidad del Desarrollo, Centro de Fisiología Celular e Integrativa"
A9fR4zIAAAAJ,bxbOE0AAAAAJ,Romina V. Sepúlveda,Dirección de correo verificada de uandresbello.edu,Universidad Andres Bello
A9fR4zIAAAAJ,pwR39RoAAAAJ,Diego Cosmelli,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
A9fR4zIAAAAJ,t5s6YukAAAAJ,veronica milesi,Dirección de correo verificada de biol.unlp.edu.ar,Investigador Principal Conicet - Profesor Titular de Fisiologia Fac. Cs. Exactas UNLP
A9fR4zIAAAAJ,qiiDifIAAAAJ,Pablo Olivero,Dirección de correo verificada de uv.cl,"Professor (Associate), Universidad de Valparaiso"
A9fR4zIAAAAJ,nkigf5EAAAAJ,"Gonzalo Ferreira (MD, M.Sc, PhD)",Dirección de correo verificada de fmed.edu.uy,Laboratorio de Canales Ionicos. Departamento de Biofísica. Facultad de Medicina. Universidad de
A9fR4zIAAAAJ,1dHg5QQAAAAJ,Nicolas Enrique,Dirección de correo verificada de biol.unlp.edu.ar,"Dpto de Cs Biológicas, Facultad de Ciencias Exactas,Universidad Nacional de La Plata, IIFP, CONICET"
A9fR4zIAAAAJ,feuxRSEAAAAJ,Horacio Poblete,Dirección de correo verificada de utalca.cl,"CBSM, Universidad de Talca, Chile"
A9fR4zIAAAAJ,mGhEI0AAAAAJ,Jorge E. Contreras,Dirección de correo verificada de ucdavis.edu,"Associate Professor, UC Davis"
A9fR4zIAAAAJ,oxkrrXMAAAAJ,Fabian Munoz Silva,Dirección de correo verificada de columbia.edu,Columbia University
A9fR4zIAAAAJ,gN7SaDQAAAAJ,Perez-Acle Tomas,Dirección de correo verificada de dlab.cl,"Computational Biology Lab (DLab) - Centro Ciencia & Vida, Universidad San Sebastián"
A9fR4zIAAAAJ,p7_WRcAAAAAJ,"Fernando Danilo Gonzalez Nilo, PhD",Dirección de correo verificada de unab.cl,"Director Center for Bioinformatics and Integrative Biology, Universidad Andres Bello, Santiago"
A9fR4zIAAAAJ,i-oTf24AAAAJ,Osvaldo Yañez Osses,Dirección de correo verificada de udla.cl,Universidad de las Américas
nLIQ2vYAAAAJ,w7B4xloAAAAJ,Alvaro O. Ardiles,Dirección de correo verificada de uv.cl,"Profesor adjunto, Universidad de Valparaíso"
nLIQ2vYAAAAJ,kEHKsr8AAAAJ,Francisco Varela,Dirección de correo verificada de uv.cl,Director Research CNRS
nLIQ2vYAAAAJ,wJZsuVsAAAAJ,Francisco Bozinovic,Dirección de correo verificada de bio.puc.cl,"CAPES & Departamento de Ecología, Universidad Católica de Chile"
nLIQ2vYAAAAJ,o07m2F8AAAAJ,Alex Vielma,Dirección de correo verificada de cinv.cl,Centro Interdisciplinario de Neurociencia de Valparaíso
nLIQ2vYAAAAJ,EQfyAUAAAAAJ,Maria Jose Escobar,Dirección de correo verificada de usm.cl,"Universidad Técnica Federico Santa María, Electronics Department"
nLIQ2vYAAAAJ,pnVP9X8AAAAJ,Nibaldo C. Inestrosa,Dirección de correo verificada de bio.puc.cl,Pontificia Universidad Catolica de Chile
nLIQ2vYAAAAJ,j9qbOrUAAAAJ,Monica L Acosta,Dirección de correo verificada de auckland.ac.nz,"School of Optometry and Vision Science, The University of Auckland"
nLIQ2vYAAAAJ,-OBRzbUAAAAJ,Joaquín Araya-Arriagada,Dirección de correo verificada de santotomas.cl,"Profesor Asistente, Universidad Santo Tomás"
nLIQ2vYAAAAJ,e-hue78AAAAJ,alfredo kirkwood,Dirección de correo verificada de jhu.edu,johns hopkins university
nLIQ2vYAAAAJ,dQjbliIAAAAJ,bruno cessac,Dirección de correo verificada de inria.fr,INRIA
nLIQ2vYAAAAJ,uW3IPHQAAAAJ,Claudia Duran Aniotz,Dirección de correo verificada de uai.cl,University Adolfo Ibanez
nLIQ2vYAAAAJ,4kPjW4MAAAAJ,Oliver Schmachtenberg,Dirección de correo verificada de uv.cl,CINV - Universidad de Valparaiso
nLIQ2vYAAAAJ,A-iKXMUAAAAJ,Cheril Tapia Rojas,Dirección de correo verificada de uss.cl,Universidad San Sebastian
nLIQ2vYAAAAJ,l1s4bQIAAAAJ,Andrés E Chávez,Dirección de correo verificada de uv.cl,"Full Professor, Universidad de Valparaiso"
nLIQ2vYAAAAJ,1xGdrVsAAAAJ,Frederic Alexandre,Dirección de correo verificada de inria.fr,Inria
nLIQ2vYAAAAJ,RtKTDb0AAAAJ,Peter M. Thielen,Dirección de correo verificada de jhuapl.edu,"Senior Professional Staff, Johns Hopkins University Applied Physics Laboratory"
nLIQ2vYAAAAJ,Ofj6m8MAAAAJ,Claudio Elgueta,Dirección de correo verificada de physiologie.uni-freiburg.de,Freiburg University
nLIQ2vYAAAAJ,4qpaC-YAAAAJ,Agustin D Martinez,Dirección de correo verificada de uv.cl,"Centro Interdisciplinario de Neurociencia de Valparaíso, Universidad de Valparaíso"
nLIQ2vYAAAAJ,ehhuawYAAAAJ,Evan Thompson,Dirección de correo verificada de ubc.ca,University of British Columbia
nLIQ2vYAAAAJ,Isd2eWIAAAAJ,Lily Yu-Li Chang,Dirección de correo verificada de auckland.ac.nz,"Lecturer of Optometry and Vision Science, University of Auckland"
2L0MImAAAAAJ,csI-6uMAAAAJ,Alessandro D Loguercio,Dirección de correo verificada de uepg.br,State University of Ponta Grossa
2L0MImAAAAAJ,gJU5XZ4AAAAJ,Alessandra Reis,Dirección de correo verificada de uepg.br,"Professora de Dentística Restauradora, Universidade Estadual de Ponta Grossa"
2L0MImAAAAAJ,rnh71lkAAAAJ,Miguel Angel Muñoz,Dirección de correo verificada de uv.cl,"Profesor Adjunto, Cátedra de Materiales Dentales y Prótesis Fija, Universidad de Valparaíso"
2L0MImAAAAAJ,267siNUAAAAJ,Viviane Hass,Dirección de correo verificada de umkc.edu,"University of Missouri-Kansas City, School of Dentistry"
2L0MImAAAAAJ,a7nlGJwAAAAJ,Eloisa de Paula,Dirección de correo verificada de unimes.br,Universidade Metropolitana de Santos
2L0MImAAAAAJ,WzlpKhIAAAAJ,Matheus Coelho Bandéca,Dirección de correo verificada de ceuma.br,Universidade CEUMA
2L0MImAAAAAJ,q3jSYVQAAAAJ,Yong Wang,Dirección de correo verificada de umkc.edu,"Professor of Dentistry, University of Missouri Kansas City"
2L0MImAAAAAJ,rqe3uREAAAAJ,Paulo Vitor Farago,Dirección de correo verificada de uepg.br,"Professor de Ciências Farmacêuticas, Universidade Estadual de Ponta Grossa"
2L0MImAAAAAJ,ZaN4ZbUAAAAJ,Eugenio Garcia,Dirección de correo verificada de usp.br,
2L0MImAAAAAJ,InqyZ3MAAAAJ,Sinhoreti MA,Dirección de correo verificada de unicamp.br,"Professor of Restorative Dentistry Department of the Piracicaba Dental School, University of"
2L0MImAAAAAJ,BybTl8UAAAAJ,Yi Liu,Dirección de correo verificada de umkc.edu,University of Missouri Kansas City
2L0MImAAAAAJ,r-i-eaYAAAAJ,Rodrigo Rego,Dirección de correo verificada de ufc.br,Universidade Federal do Ceará
2L0MImAAAAAJ,K2-0NqgAAAAJ,Rafael R. Moraes,Dirección de correo verificada de ufpel.edu.br,Universidade Federal de Pelotas
2L0MImAAAAAJ,cgGlEkMAAAAJ,Ana Sezinando,,PhD degree in Dental Materials
