id_gs, name_es, sigla, name_location, pais
605437563739143535,Universidad de Santiago de Chile,usach,Santiago,Chile
17388732461633852730,Universidad de Valparaíso,uv,Valparaíso,Chile
7010446216104013295,Universidad de Antofagasta,uantof,Antofagasta,Chile
6030355530770144394,Universidad de La Serena,userena,La Serena,Chile
8365100606562762008,Universidad del Bío-Bío,ubiobio,Concepción,Chile
13908003347799972066,Universidad de La Frontera,ufrontera,Temuco,Chile
14351944662178497517,Universidad de Magallanes,umag,Punta Arenas,Chile
7732664165981901274,Universidad de Talca,utalca,Talca,Chile
4727335469935944428,Universidad de Tarapacá,uta,Arica,Chile
18273373707046377092,Universidad Arturo Prat,unap,Iquique,Chile
8337597745079551909,Universidad de Playa Ancha de Ciencias de la Educación,upla,Valparaíso,Chile
13824009975929506544,Universidad de Los Lagos,ulagos,Osorno,Chile
7459009050823923954,Pontificia Universidad Católica de Chile,uc,Santiago,Chile
4555896482842878823,Universidad de Concepción,udec,Concepción,Chile
9225498103198054248,Universidad Técnica Federico Santa María,usm,Valparaíso,Chile
7698552169257898503,Pontificia Universidad Católica de Valparaíso,pucv,Valparaíso,Chile
16206413231987421209,Universidad Austral de Chile,uach,Valdivia,Chile
17255630398072300451,Universidad Católica del Norte,ucn,Antofagasta,Chile
12968600147058256171,Universidad Católica del Maule,ucm,Talca,Chile
3702576657308349741,Universidad Católica de la Santísima Concepción,ucsc,Concepción,Chile
12740943834737827853,Universidad Católica de Temuco,uct,Temuco,Chile
14018219609791295521,Universidad Santo Tomás,santotomas,Santiago,Chile
12216913016116922734,Universidad Diego Portales,udp,Santiago,Chile
13542589241086358186,Universidad Andrés Bello,unab,Santiago,Chile
6219877915722792561,Universidad Autónoma de Chile,uautonoma,Santiago,Chile
6615366460316766280,Universidad de los Andes,uandes,Santiago,Chile
1812728570911196340,Universidad San Sebastián,uss,Concepción,Chile
4794720163447555879,Universidad del Desarrollo,udd,Santiago,Chile
15469411678705648791,Universidad Alberto Hurtado,uahurtado,Santiago,Chile
10448777709790852446,Universidad Adolfo Ibáñez,uai,Santiago,Chile
,Universidad Bernardo O'Higgins,ubo,Santiago,Chile
,Universidad de Aysén,uaysen,Coyhaique,Chile
,INACAP,inacap,Santiago,Chile
,Duoc UC,duoc,Santiago,Chile
,AIEP,aiep,Santiago,Chile
,Universidad Gabriela Mistral,ugm,Santiago,Chile
,Universidad Finis Terrae,uft,Santiago,Chile
,Universidad Adventista de Chile,unach,Chillán,Chile
,Universidad Católica Silva Henríquez,ucsh,Santiago,Chile
,Universidad de Aconcagua,uac,San Felipe,Chile
,Universidad Miguel de Cervantes,umcervantes,Santiago,Chile
,Universidad de Atacama,uda,Copiapó,Chile
,Universidad Central de Chile,ucentral,Santiago,Chile
,Universidad Pedro de Valdivia,upv,Santiago,Chile
,Universidad Mayor,umayor,Santiago,Chile
,Universidad Academia de Humanismo Cristiano,academia,Santiago,Chile
,Universidad SEK,uisek,Santiago,Chile
,Universidad de Las Américas,udla,Santiago,Chile
,Universidad Viña del Mar,uvm,Viña del Mar,Chile
,Universidad Tecnológica Metropolitana,utem,Santiago,Chile
,Universidad Metropolitana de Ciencias de la Educación,umce,Santiago,Chile
