id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
12968600147058256171,JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",ucm,ucm.cl,2982,Advanced glycation Tumor microenvironment Inflammation 
12968600147058256171,bcP4IRcAAAAJ,Ariel D Arencibia Rodriguez,Universidad Católica del Maule,ucm,ucm.cl,2174,Functional genomics secondary metabolites bioreactors metagenomics 
12968600147058256171,FlCuQzMAAAAJ,Rodrigo Salcedo,"Associate Professor of Sociology, Universidad Católica del Maule",ucm,ucm.cl,1730,urbaqn sociology urban theory consumption shopping malls gated communities 
12968600147058256171,02UZy1cAAAAJ,Fernando Delgado Lopez,"Associate Professor, Universidad Catolica del Maule",ucm,ucm.cl,1722,Tumor Microenvironment Inflammation Adenovirus 
12968600147058256171,pAWGl5IAAAAJ,Jorge Valenzuela,"Facultad de Educación, Universidad Católica del Maule",ucm,ucm.cl,1621,Motivación Aprendizaje Pensamiento crítico Formación de profesores Motivation 
12968600147058256171,0oV8KloAAAAJ,Eugenio Saavedra,Universidad Católica del Maule,ucm,ucm.cl,1535,Resiliencia Jóvenes Familia 
12968600147058256171,EELsGB8AAAAJ,María Teresa Muñoz Quezada,Universidad Católica del Maule,ucm,ucm.cl,1528,Public health environmental exposure pesticides neurocognitive functioning disability and quality of life 
12968600147058256171,k7Es23wAAAAJ,Danilo Díaz-Levicoy,Universidad Católica del Maule,ucm,ucm.cl,1323,Educación Estadística Statistics Education Educação Estatística 
12968600147058256171,DC-1QokAAAAJ,"Pablo Valdés-Badilla, Ph.D.",Universidad Católica del Maule,ucm,ucm.cl,1184,Actividad Física y Salud 
12968600147058256171,feMshoAAAAAJ,"Gonzalo Salas, PhD            (Orcid: 0000-0003-0707-8188)","Departamento de Psicología, Universidad Católica del Maule",ucm,ucm.cl,1144,Historia de la Psicología Psicología educacional Bibliometría 
12968600147058256171,Th2-4-sAAAAJ,Hugo A Benítez,Universidad Católica del Maule,ucm,ucm.cl,1138,Evolutionary Biology Ecology Entomology Morphometrics Geometric Morphometrics 
12968600147058256171,SoZ70swAAAAJ,Sara Cuadros Orellana,"Full Professor, Universidad Católica del Maule",ucm,ucm.cl,1109,Microbial Genomics Microbial Ecology 
12968600147058256171,mw-tSeUAAAAJ,Boris Lucero,Universidad Católica del Maule,ucm,ucm.cl,1092,Neuropsychology environmental exposures eeg neuroscience 
12968600147058256171,sGOz_P4AAAAJ,Julien Vanhulst,Universidad Católica del Maule,ucm,ucm.cl,1055,Sustainable Development 
12968600147058256171,aZYMfXYAAAAJ,Donatila Ferrada,Universidad Católica del Maule,ucm,ucm.cl,1011,pedagogía dialógica currículum innovación formación docente investigación dialógica-kishu kimkelay ta che 
12968600147058256171,N_vYMiMAAAAJ,Patricio Ramos Campos,Universidad Católica del Maule,ucm,ucm.cl,1009,Plant biology and biotechnology 
12968600147058256171,58Z5pQ8AAAAJ,PAULA ANDREA CEBALLOS VASQUEZ,Universidad Católica del Maule,ucm,ucm.cl,920,Enfermería Seguridad y Salud en el Trabajo 
12968600147058256171,7wVH0GYAAAAJ,Antonio Roberto Zamunér,Universidad Católica del Maule,ucm,ucm.cl,919,
12968600147058256171,Ykqe_iAAAAAJ,Carla Muñoz,"Académico, Universidad Católica del Maule",ucm,ucm.cl,901,Reading motivation Learning from texts Pedagogy in Higher Education Teacher training 
12968600147058256171,umc3UiAAAAAJ,Carolina Marchant Fuentes,Profesora full time Universidad Católica del Maule,ucm,ucm.cl,852,multivariate regression models diagnostic univariate and multivariate Birnbaum … statistical quality con 
12968600147058256171,ot0KdjcAAAAJ,Aparna Banerjee,"Assistant Professor, Universidad Católica del Maule, Chile",ucm,ucm.cl,803,Microbiology Conservation Extremophiles Exopolysaccharides Bioinformatics 
12968600147058256171,jK4070gAAAAJ,Dr. Sathish Manda,"Professor (Associate), Universidad Católica del Maule, Chile",ucm,ucm.cl,762,Chemistry 
12968600147058256171,fMr-RFAAAAAJ,Ileana  Gonzalez,"Profesor Adjunto, Universidad Católica del Maule",ucm,ucm.cl,748,H. pylori cancer anti-glycaciòn 
12968600147058256171,sG7AvpsAAAAJ,Claudio Díaz Herrera,Universidad Católica del Maule,ucm,ucm.cl,746,Ciencias sociales metodología de la investigación sociología de la ciencia educación superior sociología de la alimenta 
12968600147058256171,1b_1DJQAAAAJ,Aquiles Alejandro Almonacid Fierro,Universidad Católica del Maule,ucm,ucm.cl,731,Profesión docente formación de profesores didáctica 
12968600147058256171,q4atNYgAAAAJ,Marco Mora Cofre,"Laboratory of Technological Research in Pattern Recognition (LITRP), Universidad Católica …",ucm,ucm.cl,713,Image Processing Pattern Recognition Biometrics 
12968600147058256171,ojn8A_4AAAAJ,Ingrid Carvacho,Universidad Católica del Maule,ucm,ucm.cl,707,
12968600147058256171,00nrzJ8AAAAJ,Eugenio Merellano-Navarro,Universidad Católica del Maule,ucm,ucm.cl,699,Physical Activity Erderly Functional Fitness Physical Independence 
12968600147058256171,FTfsRKsAAAAJ,Ismael Leonardo Vera Puerto,Associate Professor - School of Civil Engineering - Universidad Católica del Maule (Talca …,ucm,ucm.cl,647,Wastewater treatment Constructed wetlands Water Quality Modelling Statistics 
12968600147058256171,GxgFrbAAAAAJ,Sebastian Romero Bravo,Universidad Católica del Maule,ucm,ucm.cl,647,
12968600147058256171,BtePYlMAAAAJ,Vívian D'Afonseca,Universidad Catolica del Maule,ucm,ucm.cl,595,Bioinformatics Genomics Microbiology Cancer Diagnosis 
12968600147058256171,tm-loNIAAAAJ,Pilar Zamora Leon,"Profesor Adjunto, Universidad Catolica del Maule",ucm,ucm.cl,536,cancer transduccion de senales inflamacion 
12968600147058256171,keKcSfsAAAAJ,juan pablo Paredes,"FACSE, Universidad Católica del Maule",ucm,ucm.cl,517,sociología política movimientos sociales protestas activismo cultura 
12968600147058256171,lDg38rEAAAAJ,Marcelo Castillo-Retamal,Universidad Católica del Maule - Facultad de Ciencias de la Educación - GEEAFyS,ucm,ucm.cl,495,Actividad Física y Salud Physical Activity and Health Sedentary Behaviour Physical activity Physical education 
12968600147058256171,-rVs6k8AAAAJ,Ramon Perez-Castro,Universidad Catolica del Maule,ucm,ucm.cl,470,Cancer 
12968600147058256171,iIp-mKIAAAAJ,Alex Echeverría-Vega,Universidad Católica del Maule,ucm,ucm.cl,467,Microbial ecology Bacteriophages Biotecnology 
12968600147058256171,gvVZsegAAAAJ,Marcos Carrasco-Benavides,Universidad Católica del Maule,ucm,ucm.cl,451,evapotranspiration remote sensing applications irrigation 
12968600147058256171,8uNTqnAAAAAJ,Fernando Córdova-Lepe,Universidad Católica del Maule (Director of DM2A-UCM),ucm,ucm.cl,447,Impulsive Differential Equations Mathematical Biology 
12968600147058256171,3fc9RAIAAAAJ,Ana Castro-Ríos,Universidad Católica del Maule,ucm,ucm.cl,444,familias rurales investigación cualitativa masculinidades 
12968600147058256171,HE59AJcAAAAJ,Roberto A. Ferreira,Universidad Católica del Maule,ucm,ucm.cl,443,Psycholinguistics Word Learning Cognitive and Educational Neuroscience 
12968600147058256171,MyFtz2gAAAAJ,Oscar Valdés Lizama,Universidad Católica del Maule,ucm,ucm.cl,442,polymer 
12968600147058256171,0l8GCFEAAAAJ,Liliana A. Zúñiga-Venegas,Investigadora Universidad Católica del Maule,ucm,ucm.cl,429,genotoxicología teratogénesis exposición ambiental epidemiología 
12968600147058256171,YQquucEAAAAJ,Andrea Precht Gandarillas,Universidad Católica del Maule,ucm,ucm.cl,413,Motivation Teacher training schools and families 
12968600147058256171,YmyKpFAAAAAJ,Nelson A. Velásquez,Universidad Católica del Maule,ucm,ucm.cl,413,Comunicación Animal Neuroetología Evolución 
12968600147058256171,MZupmEAAAAAJ,Moisés Bravo Gaete,Universidad Católica del Maule,ucm,ucm.cl,404,Black Holes Mathematics 
12968600147058256171,bGhpjO0AAAAJ,CECILIA OLIVARI,"UNIVERSIDAD CATOLICA DEL MAULE, Catholic of Maule University",ucm,ucm.cl,403,psicología de la salud conductas de salud prevención en salud y salud mental en … (he 
12968600147058256171,G_-vAEcAAAAJ,Diana Abril,Universidad Católica del Maule,ucm,ucm.cl,400,Química 
12968600147058256171,jQjjkxEAAAAJ,César Rodrigo Vargas Vitoria,Universidad Católica del Maule,ucm,ucm.cl,392,Actividad Física desarrollo motor rendimiento motor 
12968600147058256171,UEYy-YIAAAAJ,Gerardo Ignacio Sánchez Sánchez,"Doctor en Educación, Magister en Política y Gestión Educacional, Universidad Católica del …",ucm,ucm.cl,390,Formación de profesores práctica profesional reflexión pedagógica 
12968600147058256171,HNNySGwAAAAJ,Juan Luis Guevara,Universidad Católica del Maule,ucm,ucm.cl,388,biocompuestos 
12968600147058256171,5ufOADwAAAAJ,maximo escobar cabello,Profesor de Kinesiología Universidad Católica del Maule,ucm,ucm.cl,384,Función y Disfunción Ventilatoria 
12968600147058256171,YIlol1QAAAAJ,Claudio Rojas-Jara,"Académico Dpto. de Psicología, Universidad Católica del Maule. [ORCID ID: 0000-0002 …",ucm,ucm.cl,382,Drogas Adicciones Psicooncología Adolescencia Gerontología 
12968600147058256171,8oOK88cAAAAJ,Andrés Solórzano,"Ph.D. in Geological Sciences, Universidad Católica del Maule",ucm,ucm.cl,378,Vertebrate Paleontology Fossil mammals Macroevolution Crocodilians 
12968600147058256171,AwgzNeUAAAAJ,Franklin Castillo-Retamal,Facultad de Ciencias de la Educación. GEEAFyS. Universidad Católica del Maule.,ucm,ucm.cl,372,Formación Inicial Docente Educación Ambiental Actividades en la Naturaleza Motricidad Humana Educación Física Escolar 
12968600147058256171,HL15PE4AAAAJ,Pedro Severino-González,Universidad Católica del Maule,ucm,ucm.cl,369,Responsabilidad social Gobierno corporativo Educación Gestión organizacional Sustentabilidad 
12968600147058256171,tEkHcbYAAAAJ,"Valdés, H.","Académico, Universidad Católica del Maule",ucm,ucm.cl,366,Procesos sustentables 
12968600147058256171,RN8VGfoAAAAJ,Dr. Cristian Adasme Berríos,Departamento de Economía y Administración. Universidad Católica del Maule,ucm,ucm.cl,365,Consumer behaviour Food Marketing 
12968600147058256171,k4HmiqoAAAAJ,Mariana Lazzaro-Salazar,Universidad Católica del Maule,ucm,ucm.cl,333,discourse analysis sociolinguistics workplace communication research healthcare communication research 
