id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
14351944662178497517,Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,umag,umag.cl,5271,atmospheric sciences cryosphere Antarctic meteorology and climatology Synoptic meteorology and forecasting 
14351944662178497517,Li7lgskAAAAJ,Juan Carlos Aravena,Universidad de Magallanes,umag,umag.cl,4423,dendrochronology climate glacial geomorphology 
14351944662178497517,oOGdikAAAAAJ,Ricardo De Pol-Holz,"Centro de Investigación GAIA-Antártica (CIGA), Universidad de Magallanes",umag,umag.cl,3108,Oceanography Quaternary Science Paleoceanography Paleoclimatology Radiocarbon 
14351944662178497517,Y5UWumYAAAAJ,alfredo prieto,Universidad de Magallanes,umag,umag.cl,2565,archaeology hunter-gatherers ethnography ancient DNA 
14351944662178497517,qPpX7jgAAAAJ,Rodrigo Villa Martinez,Universidad de Magallanes,umag,umag.cl,2334,paleoclima palinología biogeografia botanica 
14351944662178497517,yfDRWScAAAAJ,Andrés Mansilla M.,Universidad de Magallanes,umag,umag.cl,2261,Ficologia subantártica y antártica 
14351944662178497517,aMUfA_wAAAAJ,Yolanda Espinosa-Parrilla,Universidad de Magallanes,umag,umag.cl,1900,Ageing Gastric Cancer Neurodegenerative Disorders Human evolution non-protein codign RNAs 
14351944662178497517,SvAEiwsAAAAJ,Flavia Morello,Universidad de Magallanes - Instituto de la Patagonia,umag,umag.cl,1627,Ciencias Sociales - Arqueología - Patrimonio 
14351944662178497517,zOYi5KwAAAAJ,Elke Schüttler,"Investigator, Sub-antarctic Biocultural Conservation Program, Universidad de Magallanes …",umag,umag.cl,1279,biological conservation biological invasions population ecology ethnoecology mammals 
14351944662178497517,RX00rSkAAAAJ,Máximo Frangopulos Rivera,Universidad de Magallanes,umag,umag.cl,1104,Oceanografía Biológica Floraciones de Algas Nocivas Mareas Rojas Conservación 
14351944662178497517,QH0EmPIAAAAJ,Juan Rivero de Aguilar,UMAG,umag,umag.cl,891,Evolutionary Ecology 
14351944662178497517,gU8dE2kAAAAJ,Karin Gérard,Universidad de Magallanes,umag,umag.cl,651,
14351944662178497517,pGc9aQMAAAAJ,Rodrigo Carcamo,University of Magallanes,umag,umag.cl,637,Attachment Parenting Developmental Trayectories 
14351944662178497517,Ci1YfBgAAAAJ,jose Maripani M.,"Profesor de Econometría, Universidad de Magallanes, Chile",umag,umag.cl,613,Productivity analysis 
14351944662178497517,1bcQGpgAAAAJ,Félix Zamorano Banda,"Profesor de Matemática y Física, Universidad de Magallanes",umag,umag.cl,594,Ciencias de la Tierra Atmósfera 
14351944662178497517,4Tv22ZQAAAAJ,Pedro Hervé-Fernández,Universidad de Magallanes,umag,umag.cl,569,Tracer Hydrology Biogeochemistry Ecohydrology 
14351944662178497517,F0Pv9tYAAAAJ,Boris Barja,Associated Researcher in Department of Mathematics and Physics at University of …,umag,umag.cl,562,Aerosol and Cloud optical characteristics … atmospheric radiative transfer aerosol and cloud radiative forcing. 
14351944662178497517,YE78DRoAAAAJ,Cristian Aldea,Universidad de Magallanes,umag,umag.cl,500,Mollusca benthos Crustacea Biodiversity 
14351944662178497517,1DXN06AAAAAJ,Tamara Contador Mejías,Universidad de Magallanes,umag,umag.cl,483,subantarctic and antarctic freshwater ecology environmental ethics 
14351944662178497517,_3eCKvcAAAAJ,Tomás Gonzalo Jorquera Peña,Universidad de Magallanes,umag,umag.cl,422,Sociología 
14351944662178497517,LFMWdwkAAAAJ,Carmen Paz Oval Soto,Universidad de Magallanes,umag,umag.cl,415,matematicas informatica educativa curriculum practicas de ensenanza formacion inicial 
14351944662178497517,uX89IJMAAAAJ,Kelli Moses,Universidad de Magallanes,umag,umag.cl,412,Biocultural Conservation Environmental Education Field Environmental Philosophy Sub-Antarctic 
14351944662178497517,B5jnLdYAAAAJ,Jimena Torres,Universidad de Magallanes,umag,umag.cl,401,arqueología 
14351944662178497517,4pwEbTgAAAAJ,Osvaldo Vidal,"Profesor Asociado, Universidad de Magallanes",umag,umag.cl,353,Vegetation plant ecology taxonomy conservation ecological restoration 
14351944662178497517,ncL44GkAAAAJ,Marcelo Navarrete,"Professor of Molecular Medicine, University of Magallanes",umag,umag.cl,335,Immunology Hematology 
14351944662178497517,-Yg6gMoAAAAJ,Tatiana Hromic,"Instituto de la Patagonia, Universidad de Magallanes",umag,umag.cl,322,
14351944662178497517,lclT_PwAAAAJ,Margarita Makuc,Universidad de Magallanes,umag,umag.cl,313,Lingüística Educación 
14351944662178497517,NLWV_0sAAAAJ,Roberto Uribe Paredes,"Universidad de Magallanes, University of Magallanes",umag,umag.cl,276,information retrieval 
