id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
1812728570911196340,J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",uss,uss.cl,20965,autophagy primary cilium metabolism obesity 
1812728570911196340,cE4i7RwAAAAJ,jorge cancino,Universidad San Sebastian,uss,uss.cl,12117,Biología Celular 
1812728570911196340,RnMVg4QAAAAJ,Kokkarachedu Varaprasad,"Associate Professor, Universidad San Sebastián",uss,uss.cl,5161,… for infection control  &  Hydrogels for … 
1812728570911196340,_-9D_40AAAAJ,Rommy von Bernhardi,Professor for Neuroscience; Faculty of Medicine and Science Universidad San Sebastian,uss,uss.cl,4766,Aging Alzheimer's disease glia neurodegenerative diseases neuroinflammation 
1812728570911196340,uyFRCGkAAAAJ,Valentina Echeverria,"Research Professor, Universidad San Sebastián de Chile. Scientist, Bay Pines VAHCS,USA",uss,uss.cl,3965,Neurodegenerative diseases Psychiatric diseases Nicotinic receptors traditional medicine research Tobacco derivatives 
1812728570911196340,3QjSMq0AAAAJ,Carlos P Vio,Universidad San Sebastian,uss,uss.cl,3900,Nephrology Hypertension Renal Physiology and Pathology 
1812728570911196340,5w40_sYAAAAJ,Ernesto Lopez-Morales,Universidad San Sebastián,uss,uss.cl,3135,urban gentrification inner city entrepreneurialism 
1812728570911196340,Mr19oawAAAAJ,Alvaro Muñoz-Castro,Universidad San Sebastián,uss,uss.cl,2792,Química Inorgánica 
1812728570911196340,OdR5EgcAAAAJ,Samuel Durán Agüero,"Professor of Nutrition, Universidad San Sebastián",uss,uss.cl,2685,Nutrition artificial sweeteners obesity old adults 
1812728570911196340,OReZXCQAAAAJ,Alejandro S. Godoy,Universidad San Sebastián; Roswell Park Cancer Institute,uss,uss.cl,2644,Prostate cancer tumor microenvironment angiogenesis metabolism androgens 
1812728570911196340,ecuW5toAAAAJ,Verena Häussermann,Universidad San Sebastian,uss,uss.cl,2565,marine biodiversity cold-water corals marine protected areas biogeography 
1812728570911196340,XYEZ690AAAAJ,Andrea Leiva,Profesor Asociado. Universidad San Sebastián,uss,uss.cl,2390,Lipid metabolism. Endothelial function … 
1812728570911196340,Svu2s9AAAAAJ,Andrea Soza,Universidad San Sebastián,uss,uss.cl,2288,cell biology 
