scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,201,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,160,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,125,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,113,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,86,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,60,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,59,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,53,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,47,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,47,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,47,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,45,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,34,
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"['Ecologia Microbiana', 'Biogeoquimica', 'Oceanografia Microbiana']",,33,
