scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,1704,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,773,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,432,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,396,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,396,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,395,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,254,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,218,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,182,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,177,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,154,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,153,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,148,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,138,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,111,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,97,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,96,
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,,91,
