id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
3702576657308349741,burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física …",ucsc,ucsc.cl,3262,Exoplanets Stellar activity radial velocities M dwarfs 
3702576657308349741,sDm6OpcAAAAJ,Danny Eugenio García Marrero,"Departamento de Química Ambiental, UCSC",ucsc,ucsc.cl,2854,Química 
3702576657308349741,1nTAQfsAAAAJ,Ivan A. Hinojosa,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima …",ucsc,ucsc.cl,2710,Marine Biology Ecology Biogeography Ecoacoustics Bioacoustics 
3702576657308349741,Z-t7kV4AAAAJ,Mario George-Nascimento,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,2608,Ecología del parasitismo 
3702576657308349741,auyTL1YAAAAJ,Patricio A. Camus,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima …",ucsc,ucsc.cl,2543,Marine ecology Biogeography 
3702576657308349741,uQ16sMcAAAAJ,Ricardo Lizana,Universidad Catolica de la Santisima Concepción,ucsc,ucsc.cl,2392,electronica de potencia 
3702576657308349741,SaoUt94AAAAJ,Juan M. Cancino,Departamento de Ecología Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,2308,Bryozoology ecophysiology reproductive ecology 
3702576657308349741,WkGN7u4AAAAJ,Claudia Troncoso Pantoja,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,2087,Nutrición y Dietética Conductas alimentarias durante el curso de la … Nutrición gerontológica 
3702576657308349741,pTVqu9oAAAAJ,Sergio Contreras,Universidad Catolica de la Santisima Concepcion,ucsc,ucsc.cl,1652,Biogeochemistry (paleo) environmental studies 
3702576657308349741,m4jvShcAAAAJ,Jorge León Muñoz,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,1415,Hydrology Landscape Ecology Conservation Aquaculture 
3702576657308349741,6v1fZoIAAAAJ,Marcia González-Teuber,UCSC,ucsc,ucsc.cl,1295,Chemical Ecology Plant-Endophyte Interactions Plant-Insect Interactions 
3702576657308349741,OGIPogoAAAAJ,Maria Yeber,"Profesor de Química Orgánica, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,1278,Advanced Oxidation processes photocatalysis persulfate Dyes biorremediation 
3702576657308349741,B0uM4ygAAAAJ,Pedro Tume,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,1229,Soil and Groundwater contamination 
3702576657308349741,YXOQkJMAAAAJ,Patrick Concha,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,1114,High Energy Physics Supergravity Lie algebras expansion Black Holes solutions 
3702576657308349741,NCXvKt8AAAAJ,Gaston Muñoz,Universidad Católica de la Santisima Concepción,ucsc,ucsc.cl,1059,Microbiology Biotechnology Bioprocess 
3702576657308349741,vWcHDZwAAAAJ,Antonio Brante,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,972,Marine Bioinvasions Marine Ecology Molecular Ecology 
3702576657308349741,aMXsCrUAAAAJ,Felipe Poblete-Valderrama,"Universidad Católica de la Santísima Concepción, Chile.",ucsc,ucsc.cl,919,Educación 
3702576657308349741,9OTmJegAAAAJ,Felipe Villalobos,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,806,soil mechanics geotechnics 
3702576657308349741,4ibKCNwAAAAJ,Florence Tellier,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima …",ucsc,ucsc.cl,803,Marine biology Evolutionary biology Seaweeds Speciation 
3702576657308349741,T_ut8sAAAAAJ,Ricardo D. Otaíza,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,758,Phycology 
3702576657308349741,d2i5DA8AAAAJ,Hugo Baier-Fuentes,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,749,International Entrepreneurship Entrepreneurship International Business Strategic Organization 
3702576657308349741,_ZXZKREAAAAJ,Eduardo Espinosa Neira,Universidad Católica de la Santísima Concepción - Depto. de Ing. Eléctrica - Profesor …,ucsc,ucsc.cl,708,Power Electronics - Multilevel Converters … 
3702576657308349741,7zJNXH8AAAAJ,Monica Tapia-Ladino,Dr. en Lingüística. Universidad Católica de la Santísima Concepción. Chile,ucsc,ucsc.cl,660,Escritura escritura académica alfabetización académica fonética 
3702576657308349741,shtOAtYAAAAJ,Marcia Munoz,"Assistant Profesor of Computer Science, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,646,Machine learning Engineering education 
3702576657308349741,sDydeeIAAAAJ,Beatriz Arancibia,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,634,Psicolingüística aprendizaje lectoescritura escritura académica lenguaje y vejez 
3702576657308349741,UUTBTGsAAAAJ,Marcelo Villagran,"Departamento de Ciencias Básicas, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,588,bioquímica genética nutrición 
3702576657308349741,Y7eCcV8AAAAJ,Jaime Cariñe,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,547,Experimental quantum information Electro-optical devices applied in optical … 
3702576657308349741,OAkyZjMAAAAJ,Ernesto Leon Castro,Universidad Catolica de la Santisima Concepcion,ucsc,ucsc.cl,529,Finance Management Economic 
3702576657308349741,qEjTpH8AAAAJ,Juan González-Carrasco,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,460,Tsunami Numerical modelling earthquakes subduction zones 
3702576657308349741,l9FrQOgAAAAJ,Carolina S. Monsalve-Reyes,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,418,psicologia de la salud burnout envejecimiento relaciones intergeneracionales 
3702576657308349741,x5EJXkIAAAAJ,Dr. A. Padmanaban,"Facultad de Ingenieria, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,415,Metal Chalcogenides Nanocomposites Polymers Photocatalysis Electrochemical Applications 
3702576657308349741,gdMo6ooAAAAJ,Fabiola Sáez-Delgado,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,414,Psicología educativa Autorregulación del aprendizaje mecanismos cognitivo motivacionales disposición al estudio 
3702576657308349741,YMFen_EAAAAJ,pablo san martin,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,407,capital structure corporate governance 
3702576657308349741,OgaSP0IAAAAJ,Maribet Gamboa,Universidad Catolica de la Santisima Concepcion,ucsc,ucsc.cl,404,Ecological genomics evolutionary physiology adaptation phylogenetics and conservation biology 
3702576657308349741,BLViJtgAAAAJ,Diego Caamaño,"Profesor Ingeniería Civil, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,403,Hidráulica Fluvial Transporte de Sólidos y Sustancias Geomorfología Fluvial 
3702576657308349741,nbC3IA8AAAAJ,Orlando Llanos-Contreras,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,379,Family firms 
3702576657308349741,b8wHLzwAAAAJ,Mabel Ortiz,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,ucsc,UCSC.CL,374,ADQUISICION DE SEGUNDAS LENGUAS 
3702576657308349741,rV7QC9cAAAAJ,Tomás P. Barrios,"Associate Professor of Numerical Analysis, UCSC, Chile.",ucsc,ucsc.cl,357,Numerical method for PDE FEM and mixed-FEM stabilization DG methods Adaptivity 
3702576657308349741,aCoW21cAAAAJ,luigi Cuellar,"Profesor de química, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,347,Historia de la Ciencia y Formación del … 
3702576657308349741,ItO1qyUAAAAJ,gina burdiles,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,347,lingüística análisis del discurso educación gramática 
3702576657308349741,v5pJAQ4AAAAJ,FELIPE SEPÚLVEDA,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,338,leadership professional learning communities mathematics learning 
3702576657308349741,CRDe1CkAAAAJ,Pablo Salgado Mendoza,"Professor, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,333,green synthesis nanoparticles solar photocatalysis Fenton wastewater 
3702576657308349741,mX2niHAAAAAJ,Rodrigo Veas,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción, Chile.",ucsc,ucsc.cl,329,Marine Biology Marine Ecology Biological Oceanography Coastal Oceanography 
3702576657308349741,f8Jped8AAAAJ,Norka Blanco-Portela,"Universidad Católica de la Santísima Concepción, Chile",ucsc,ucsc.cl,328,Sustainability in Higher Education Education for Sustainability (EFS) Didáctica de las Ciencias 
3702576657308349741,wBHIQcUAAAAJ,Jose Arias,Universidad católica de la santísima concepcion/Middlesex University London,ucsc,ucsc.cl,298,Banking corporate governance 
3702576657308349741,WnQHH7cAAAAJ,Fernanda X Oyarzun,Instituto Milenio en Socioecología Costera (SECOS) y UCSC,ucsc,ucsc.cl,298,Interdisciplinary research life histories reproduction of marine invertebrates poecilogony artscience 
3702576657308349741,MXJeL4IAAAAJ,Enrique Muñoz,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,290,Hidrología Modelación Hidrológica Evaluación de Modelos Interacción de Cuencas 
3702576657308349741,7l49P3kAAAAJ,Matilde Basso,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,289,educación geología 
3702576657308349741,149ClpwAAAAJ,Andrés Ortiz Jiménez,Profesor Asistente (UCSC),ucsc,ucsc.cl,287,educación matemática didáctica de las matemáticas competencias matemáticas 
3702576657308349741,ObdgODsAAAAJ,Pedro O. Rossel,"Computer Science Department & CIBAS, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,279,Software Product Lines Software Architecture e-Health Persuasive Technology Human-Computer Interaction 
3702576657308349741,sayWi3UAAAAJ,Roberto Benavente,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,268,Seismic source Inverse methods Early warning 
3702576657308349741,h39DLB4AAAAJ,Carlos Lara,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,253,oceanography remote sensing marine ecology 
3702576657308349741,i2i9nEYAAAAJ,Claudio Oyarzo-Vera,"Profesor Asociado, Universidad Católica de la Santísima Concepción, Chile",ucsc,ucsc.cl,245,Structural dynamics earthquake engineering structural healht monitoring 
