id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
4555896482842878823,fT99RewAAAAJ,Lohengrin Cavieres,Universidad de Concepcion,udec,udec.cl,14416,Plant Ecology Plant ecophysiology Alpine Plant Ecology 
4555896482842878823,MiN67sAAAAAJ,Rodrigo Reeves,"Associate Professor, CePIA, Astronomy Department, Universidad de Concepción, Chile",udec,udec.cl,14341,Radio astronomy AGN blazar variability polarimetry mm and submm-wave instrumentation cryogenic instruments 
4555896482842878823,xYoJWMUAAAAJ,Osvaldo Ulloa,"Universidad de Concepción, Chile",udec,udec.cl,12720,Microbial Oceanography 
4555896482842878823,081-PZIAAAAJ,Aníbal Pauchard,Universidad de Concepción,udec,udec.cl,10965,Invasion Ecology 
4555896482842878823,67H3HyIAAAAJ,ruben pena,"university of nottingham, university of magallanes, university of concepcion",udec,udec.cl,10827,power electronics ac drives renewable energy 
4555896482842878823,Wk2naEgAAAAJ,José R. Espinoza,"Professor, Electrical Engineering Department, Universidad de Concepción",udec,udec.cl,10552,Modelling and Control of Static Power … 
4555896482842878823,YPM6KxAAAAAJ,Sergio N. Torres,"Professor of Electrical Engineering, University of Concepcion",udec,udec.cl,10441,Optoelectronics Infrared Imaging Hyperspectral Imaging interferometry 
4555896482842878823,qh6EbxoAAAAJ,Roberto Rodriguez Rios,"Profesor Emérito, Universidad de Concepción",udec,udec.cl,9998,Botánica Flora de Chile 
4555896482842878823,EwIjpU4AAAAJ,Luis Morán,Concepcion University,udec,udec.cl,9972,Power Quality Power Electronics Power System Protections 
4555896482842878823,OuZTRUwAAAAJ,Michael Fellhauer,"associate professor of astronomy, Universidad de Concepcion, Concepcion, Chile",udec,astro-udec.cl,8851,astronomy: theoretical stellar dynamics 
4555896482842878823,kUE-_LkAAAAJ,Claudia Pérez Manríquez,Universidad de Concepcion,udec,udec.cl,8544,Natural Products Chemistry 
4555896482842878823,B9yOKSkAAAAJ,Stephen Walborn,Universidad de Concepción,udec,udec.cl,8450,Quantum Optics Quantum Information 
4555896482842878823,xYBNRRsAAAAJ,Miquel Martorell Pons,"University of Concepción, Chile",udec,udec.cl,7527,Bioquimica 
4555896482842878823,g04IIGQAAAAJ,Victor Ariel Gallardo,"Profesor Titular, Ecología Marina, Oceanografía Biológica; Departamento de Oceanografía …",udec,udec.cl,7032,Ecología bentónica sublitoral. 
4555896482842878823,boIv-lAAAAAJ,Raimund Bürger,"Profesor Titular, Universidad de Concepción",udec,ing-mat.udec.,6382,Análisis Numérico de EDPs sistemas de leyes de conservación 
4555896482842878823,Io0Xr_4AAAAJ,Roberto Urrutia,Profesor Universidad de Concepcion,udec,udec.cl,6233,limnologia paleolimnologia recursos hidricos cambio climatico 
4555896482842878823,XjhQmJYAAAAJ,Amelia Stutz,Universidad de Concepcion,udec,astro-udec.cl,6120,Astronomy 
4555896482842878823,FEQtPZsAAAAJ,Ruben Escribano,Universidad de Concepción,udec,udec.cl,6008,Zooplankton ecology Marine Biodiversity 
4555896482842878823,KjGXGeQAAAAJ,Cristian Echeverria,"Professor titular, Universidad de Concepcion",udec,udec.cl,5951,landscape ecology forest conservation forest restoration 
4555896482842878823,_-WjGJcAAAAJ,Dominik RG Schleicher,"Associate Professor, Departamento de Astronomía, Universidad de Concepción",udec,astro-udec.cl,5884,first black holes star formation early Universe close binary systems 
4555896482842878823,_1GXLz4AAAAJ,Renato Quinones,"Professor, Department of Oceanography, University of Concepcion, Chile",udec,udec.cl,5760,marine ecology biological oceanography sustainable management of fisheries and … 
4555896482842878823,AAMayFIAAAAJ,Ricardo O. Barra,"University of Concepcion, Faculty of Environmental Sciences and EULA CHILE Centre",udec,udec.cl,5601,Environmental Sciences Ecotoxicology Environmental Chemistry 
4555896482842878823,7FNfdxgAAAAJ,Gabriel N. Gatica,"Professor and Researcher, CI²MA and Departamento de Ingenieria Matematica …",udec,ci2ma.udec.cl,5506,Numerical Analysis Mixed Finite Element Methods Functional Analysis 
4555896482842878823,1VqcNQ0AAAAJ,Sandra Saldivia,"Professor, Universidad de Concepcion",udec,udec.cl,5359,Mental health 
4555896482842878823,6OnWBgkAAAAJ,Luis Aguayo,Universidad de Concepcion,udec,udec.cl,5129,
4555896482842878823,eYoZV6cAAAAJ,Daniel González Acuña,Universidad de Concepción,udec,udec.cl,5059,parasitología taxonomía vida silvestre parasitos enfermedades 
4555896482842878823,uiBjQoAAAAAJ,claudio zaror,Universidad de Concepcion,udec,udec.cl,4837,medioambiente ingenieria 
4555896482842878823,ISfefdYAAAAJ,Juan Antonio Carrasco,"Associate Professor, Department of Civil Engineering, Universidad de Concepción, Chile …",udec,udec.cl,4745,social networks travel behaviour transport equity travel demand desarrollo_urbano_sustentable 
4555896482842878823,hWkdGo0AAAAJ,Nicol Fuentes,Depto. de Botánica. Universidad de Concepcion,udec,udec.cl,4611,Plant Ecology Biological invasions invasive species 
4555896482842878823,Wuj4gxoAAAAJ,gladys vidal,"Professor, Environmental Sience Faculty & EULA-Chile Center. Universidad de Concepción",udec,udec.cl,4550,Environmental Engineering and … Water Resources 
4555896482842878823,4VA3cWoAAAAJ,Cristian A Vargas,"Professor  -  Faculty of Environmental Sciences, Universidad de Concepcion, Chile",udec,udec.cl,4511,Multiple-Stressors Ocean Acidification Climate Change Plankton Ecology & Biogeochemical cycles 
4555896482842878823,X_ZPRsUAAAAJ,Gina Pecchi,University of Concepcion,udec,udec.cl,4065,Heterogeneous catalysis 
