scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,130,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,128,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,116,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,106,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,96,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,94,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,91,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,87,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,73,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,70,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,64,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,63,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,62,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,58,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,58,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,58,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,57,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,57,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,52,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,51,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,44,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,41,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,40,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,40,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,36,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,36,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,36,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,35,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,34,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,33,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,33,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,33,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,32,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,32,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,30,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,29,
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,,29,
