scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,1258,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,896,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,801,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,777,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,667,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,592,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,587,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,552,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,459,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,393,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,390,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,363,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,335,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,318,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,252,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,237,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,233,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,223,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,210,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,195,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,193,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,189,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,187,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,175,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,172,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,167,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,160,
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']",,142,
