scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,21555,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,7853,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,5483,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,5307,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,4750,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,4624,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,4582,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,4323,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3986,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3193,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3175,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3166,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3106,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,3021,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2944,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2816,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2696,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2605,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2596,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2415,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2388,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2381,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2342,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2272,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2268,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2250,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2206,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2141,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2060,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2054,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,2038,
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,,1946,
