id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
4727335469935944428,oaqR2GoAAAAJ,Bernardo Arriaza,Universidad de Tarapacá,uta,uta.cl,6463,Chinchorro mummies Bioarchaeology Paleopathology 
4727335469935944428,xu1R9IcAAAAJ,Alejandra Caqueo-Urízar,Universidad de Tarapacá,uta,uta.cl,6223,Psicología Clínica 
4727335469935944428,t8hdQjYAAAAJ,Calogero M. Santoro,Universidad de Tarapaca,uta,uta.cl,5446,Archaeology hunter-gatherers paleoenviroment South America Andes 
4727335469935944428,7Yqek_0AAAAJ,Bárbara Rojas Ayala,"Associate Professor, Instituto de Alta Investigación, Universidad de Tarapacá",uta,academicos.uta.cl,5256,M dwarfs brown dwarfs exoplanets 
4727335469935944428,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá,uta,academicos.uta.cl,3909,Educación superior gobernanza universitaria gobierno universitario talento humano liderazgo 
4727335469935944428,9SvW7BUAAAAJ,ESPINOZA OSCAR .,Facultad de Educación y Humanidades de la Universidad de Tarapacá,uta,academicos.uta.cl,3822,Educación superior políticas educativas equidad aseguramiento de calidad 
4727335469935944428,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile),uta,uta.cl,3803,Educación Superior Gestión del Conocimiento Liderazgo 
4727335469935944428,jX7ZvS4AAAAJ,Heriberto Román Flores,Universidad de Tarapacá,uta,uta.cl,3714,
4727335469935944428,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca,uta,uta.cl,3553,liderazgo educación superior estrategia. 
4727335469935944428,j1T5Cd4AAAAJ,Lorena Cornejo Ponce,Universidad de Tarapacá,uta,academicos.uta.cl,2934,Energía solar Tratamiento solar de aguas Desarrollo sustentable Innovación 
4727335469935944428,TKDdBTkAAAAJ,David Laroze,"Professor of Physics, Universidad de Tarapacá",uta,uta.cl,2493,Chaos Hydrodynamic Instabilities Magnetism Quantum mechanics Mathematical modeling 
4727335469935944428,gZJwoscAAAAJ,Sergio gonzález Miranda,"Universidad de Tarapacá, profesor titular",uta,academicos.uta.cl,1763,historia regional relaciones internacionales historia de la minería 
4727335469935944428,gMutzEsAAAAJ,Hector Gonzalez,Universidad de Tarapacá,uta,uta.cl,1688,
4727335469935944428,vOfS1hAAAAAJ,Alejandro Cuadra,Universidad de Tarapaca,uta,uta.cl,1372,Psicología Metodología de Investigación Gestión Organizacional 
4727335469935944428,raIGAMAAAAAJ,BARBARA AILEEN CERNA TOVAR,Estudiante Psicología UTA,uta,alumnos.uta.cl,1369,Psicología 
4727335469935944428,h63gYiQAAAAJ,Julio A. Carballo-Bello,"Independent Researcher, Universidad de Tarapacá",uta,academicos.uta.cl,1297,Near-Field cosmology Milky Way globular clusters tidal streams 
4727335469935944428,Qu0U_LkAAAAJ,Iván Muñoz Ovalle,Universidad de Tarapacá,uta,uta.cl,1230,Arqueología del norte grande de Chile patrones de asentamiento relacion es interétnicas 
4727335469935944428,4e1cWyQAAAAJ,Carolina Guzmán-Valenzuela,University of Tarapacá (Chile),uta,academicos.uta.cl,1228,Higher Education Qualitative research in Education 
4727335469935944428,zak53CYAAAAJ,Juan Jesus Rodriguez,"Staff Profesional, Universidad de Tarapacá",uta,uta.cl,1215,Educación Liderazgo Administración 
4727335469935944428,ZJZKGSEAAAAJ,Constanza Veloso,"Universidad de Tarapacá, Departamento de Psicología",uta,academicos.uta.cl,1184,psicología organizacional psicología positiva metodología de la investigación análisis de datos 
4727335469935944428,5vzbj6QAAAAJ,JC Flores,Universidad de Tarapacá,uta,uta.cl,1165,Física Matemática 
4727335469935944428,iK_qHh4AAAAJ,Héctor A. Vargas,Universidad de Tarapacá,uta,uta.cl,1107,Entomología 
4727335469935944428,3nFdmAsAAAAJ,Alfonso Díaz Aguad,"Profesor de Historia, Universidad de Tarapacá",uta,uta.cl,945,Migraciones Historia Regional 
4727335469935944428,LQU8XfEAAAAJ,Manuel Prieto,"Professor, Universidad de Tarapacá",uta,academicos.uta.cl,848,Geography 
4727335469935944428,HPpN_m8AAAAJ,Daniela Valenzuela,"Profesora, Investigadora, Universidad de Tarapacá",uta,uta.cl,746,Andean archaeology pre-Hispanic economy animal consumption visual images production/use of rock art and geoglyphs 
4727335469935944428,L__H0V4AAAAJ,Cristóbal E. Castro,Universidad de Tarapacá,uta,academicos.uta.cl,718,High order finite volumes unstructured meshes multiphase flows 
4727335469935944428,nlEleXoAAAAJ,Carlos Ubeda de la Cerda,Universidad de Tarapacá,uta,uta.cl,699,medical physics física médica protección radiologica radiological protection 
4727335469935944428,658IkykAAAAJ,Sebastián Lorca,Universidad de Tarapacá,uta,uta.cl,671,Análisis Ecuaciones Diferenciales 
4727335469935944428,95XWzKgAAAAJ,Cristian Ovando Santana,"Universidad de Tarapacá, Dpto. de Ciencias Sociales.",uta,academicos.uta.cl,658,Relaciones Internacionales Paradiplomacia Paradiplomacy Fronteras Diplomacy 
4727335469935944428,NXxMAukAAAAJ,José Cárcamo-Vega,Universidad de Tarapacá,uta,uta.cl,657,Arqueometria Raman SERS Nanoestructuras 
4727335469935944428,tT_v9m8AAAAJ,Oliver Meseguer-Ruiz,"Associate Professor, Universidad de Tarapacá",uta,academicos.uta.cl,622,Climatology Meteorology 
4727335469935944428,_mR2Ky8AAAAJ,carmen araneda guirriman,Universidad de Tarapacá,uta,academicos.uta.cl,621,
4727335469935944428,GmwPnicAAAAJ,Marcos Carmona-Halty,Universidad de Tarapacá,uta,academicos.uta.cl,572,Social Psychology Educational Psychology Organizational Psychology 
4727335469935944428,iiBXp3EAAAAJ,Pilar Mazuela,Universidad de Tarapaca,uta,uta.cl,558,agronomia agricultura cultivo sin suelos fertirriego fertilizacion 
4727335469935944428,ejkmUNkAAAAJ,Cesar Ayala,"Instituto de Alta Investigación, Universidad de Tarapacá",uta,academicos.uta.cl,527,Teoría Cuantica de Campos Chromodinámica Cuántica Teoría Cuántica de Campos No-Perturbativa 
4727335469935944428,3YcREFMAAAAJ,Vivian Gavilán Vega,Universidad de Tarapacá,uta,uta.cl,462,Estudios de Género Salud y Pueblos Originario Etnicidades 
4727335469935944428,hZTCQecAAAAJ,Mario Villalobos,Universidad de Tarapacá,uta,academicos.uta.cl,444,Filosofía de las ciencias cognitivas 
4727335469935944428,XTQr81wAAAAJ,FRANCISCO LEAL-SOTO,"Departamento de Ciencias Sociales, Universidad de Tarapacá",uta,academicos.uta.cl,434,
4727335469935944428,mXIwbNQAAAAJ,Yoelsy Leyva,"Departamento de Física, Universidad de Tarapacá",uta,academicos.uta.cl,422,Cosmology and Particle Physics 
4727335469935944428,6ULOSnUAAAAJ,Andrés M. Vélez-Pereira,"Departamento de Ingeniería Mecánica, Facultad de Ingeniería, Universidad de Tarapacá",uta,academicos.uta.cl,421,Air pollution Aerobiology Modelling Noise Pollution Environmental Health 
4727335469935944428,jEqDbOQAAAAJ,Pamela Zapata-Sepúlveda,Universidad de Tarapacá. Escuela de Psicología y Filosofía,uta,uta.cl,419,qualitative inquiry psychology cultural studies critical methodologies 
4727335469935944428,cV4YES8AAAAJ,CARLOS GONZALEZ SILVA,"prof Bioquimica, microbiologia, Universidad de Tarapaca, iquique, Chile",uta,academicos.uta.cl,411,microbiologia ambiental ecologia bioquimica 
4727335469935944428,CB30R1QAAAAJ,Edgar Estupinan,"Associate Professor, University of Tarapaca (Chile)",uta,uta.cl,408,Mechanical Vibrations Rotor Dynamics Tribology Mechatronics 
4727335469935944428,TpObchYAAAAJ,Dr. Atul A. Sagade,"University of Tarapaća, Chile; University of Chile and Solar Energy Research Laboratory …",uta,academicos.uta.cl,384,solar cooker solar thermal bioenergy clean cooking 
4727335469935944428,6WkZ67wAAAAJ,Rodrigo Ferrer Urbina,"Escuela de Psicología y Filosofía, Universidad de Tarapacá",uta,academicos.uta.cl,374,
4727335469935944428,zrdfFyMAAAAJ,Edmundo Lazo,"Departamento de Física, Facultad de Ciencias, Universidad de Tarapacá",uta,uta.cl,365,disordered systems 
4727335469935944428,6dk_MIUAAAAJ,Rodrigo Daniel Ruz Zagal,Universidad de Tarapacá,uta,academicos.uta.cl,364,Historia Cultural Historia de las Ideas Antropología Histórica 
4727335469935944428,ihvIJ2oAAAAJ,Kanchana C,"Universidad de Tarapacá, Chile",uta,academicos.uta.cl,345,Rayleigh - Benard convection Lorenz model Ginzburg-Landau model 
4727335469935944428,F3w8FgQAAAAJ,Carlos Mondaca Rojas,Profesor Titular Universidad de Tarapacá,uta,academicos.uta.cl,330,Educación Intercultural Educación y Migración Historia y Educación 
4727335469935944428,dDBPR9AAAAAJ,Laura Milena Pérez,"Assistant Professor of Physics, Universidad de Tarapacá",uta,uta.cl,314,Computational Physics Nonlinear Physics Fluids Chaos 
4727335469935944428,y0AeVKsAAAAJ,Hugo Contreras Cruces,Universidad de Tarapacá,uta,academicos.uta.cl,311,historia colonial historia de Chile Historia de América militares coloniales afrodescendientes 
4727335469935944428,1Z4CdjEAAAAJ,"Gonzalo R. Quintana Zunino, PhD.",Universidad de Tarapacá,uta,academicos.uta.cl,294,Orgasm Sex Sexual Behavior Sexual Response Sexual Function 
4727335469935944428,FY08fJsAAAAJ,Ricardo Valdivia Pinto,Universidad de Tarapacá,uta,academicos.uta.cl,290,Educación en Ingeniería Bases de Datos 
4727335469935944428,IsTUNNQAAAAJ,Luis Antonio Barrio Mateu,Universidad de Tarapacá,uta,uta.cl,282,Biomecánica en el deporte Evaluación y mediciones en deportistas Fisiología deportiva Actividad Física y nutrición 
4727335469935944428,5mr3c-4AAAAJ,Anton Tiutiunnyk,Universidad de Tarapacá,uta,academicos.uta.cl,213,Semiconductors nanostructures Condensed matter physics 
4727335469935944428,Daftso8AAAAJ,RAUL  BUSTOS GONZALEZ,Universidad de Tarapacá,uta,academicos.uta.cl,212,Historia Regional Innovación Educativa Educación Intercultural Rol docente Historia de la migración en Chile 
4727335469935944428,Xs8IvCQAAAAJ,Ignacio Jessop,Universidad de Tarapacá,uta,uta.cl,198,Conjugated polymers Polymer chemistry Organic synthesis Materials chemistry 
4727335469935944428,OoN3seEAAAAJ,Gonzalo Valdés,Universidad de Tarapacá,uta,uta.cl,192,Economics Econometrics Applied Econometrics 
4727335469935944428,G9u7N0gAAAAJ,José Castelleti,"Profesor de Arqueología, Universidad de Tarapacá",uta,uta.cl,160,Arqueología costera Arte rupestre Etnografía Antropología 
4727335469935944428,SilKf3gAAAAJ,Diego Nocetti García,Universidad de Tarapacá,uta,academicos.uta.cl,160,Radiología protección radiológica garantía de calidad imagen científica educación superior 
4727335469935944428,oU0ug0UAAAAJ,Roberto Espinosa Oliva,Universidad de Tarapacá,uta,academicos.uta.cl,155,Data Mining Model Driven Development Data Quality 
4727335469935944428,He4a1y8AAAAJ,Carlos Piñones Rivera,"Universidad de Tarapacá, Chile",uta,academicos.uta.cl,148,Medical Anthropology Intercultural Health Indigenous People Migrant health 
4727335469935944428,Tucyot0AAAAJ,Andrea Chamorro Pérez,"Académica, Departamento de Antropología, Universidad de Tarapacá",uta,academicos.uta.cl,143,Antropología del cuerpo Estudios de Performance Antropología Visual Antropología del Arte 
4727335469935944428,4IojqZgAAAAJ,Vagner de Sousa Beserra,Universidad de Tarapacá,uta,uta.cl,141,Educational Technology Learning Technology 
4727335469935944428,TtR5hkIAAAAJ,Jorge Bernal,Universidad de Tarapacá,uta,uta.cl,137,Marketing Business 
4727335469935944428,Ex0k3wcAAAAJ,Raul Herrera-Acuna,Universidad de Tarapacá,uta,uta.cl,136,Human-Computer Interaction Virtual Reality Entrepreneurship Software Engineering Intelligent Environments 
4727335469935944428,-bU9ywsAAAAJ,Andrea Alvarado Urbina,Universidad de Tarapacá,uta,academicos.uta.cl,134,sociology education ethnicity migration 
4727335469935944428,MTVLBZgAAAAJ,Matías Calderón Seguel,Universidad de Tarapacá,uta,academicos.uta.cl,131,cuestión agraria estudios rurales estudios territoriales extractivismo 
4727335469935944428,YapWydUAAAAJ,Isabel M. Aguilera,Universidad de Tarapaca,uta,uta.cl,127,Antropología de la alimentación nacionalismos 
4727335469935944428,h69JRoMAAAAJ,NATHALIA MEDELIZ CORTES CASTRO,"Estudiante de Psicología, Universidad de Tarapacá",uta,alumnos.uta.cl,111,Psicología Ciencias Sociales 
4727335469935944428,x2wtU-oAAAAJ,Patricia Palma,Profesora Asistente. Departamento de Ciencias Históricas y Geográficas. Universidad  de …,uta,academicos.uta.cl,110,Chinese in Latin America Migration and health 
4727335469935944428,U1jOty8AAAAJ,EXEQUIEL MALLEA ZEPEDA,"Profesor de Matemática, Universidad de Tarapacá",uta,uta.cl,104,Análisis Matemático Ecuaciones Diferenciales Parciales Teoría de Control Mecánica de Fluidos 
