id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
14018219609791295521,QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",santotomas,santotomas.cl,1203,Macroecology Complexity Theory Conservation Biology Ecophysiology Climate Change 
14018219609791295521,ewkobLAAAAAJ,Hugo Ochoa-Acuña,Universidad Santo Tomás,santotomas,santotomas.cl,1163,
14018219609791295521,iITBNAcAAAAJ,Vilma Quitral,Académico de Universidad Santo Tomás,santotomas,santotomas.cl,1088,Alimentos Análisis sensorial Algas 
14018219609791295521,pAqfjfsAAAAJ,Miguel Castro Retamal,Universidad Santo Tomás,santotomas,santotomas.cl,951,
14018219609791295521,KRpmq6EAAAAJ,Juan Jose Negroni Vera,Universidad Santo Tomás,santotomas,santotomas.cl,946,Power electronics Control Electrónica 
14018219609791295521,sZNkVQ4AAAAJ,exequiel r. gonzalez,"universidad santo tomas, chile",santotomas,santotomas.cl,811,amphipoda taxonomy 
14018219609791295521,LEEYFekAAAAJ,César Marín,"Full Professor, Facultad de Ciencias, Universidad Santo Tomás, Chile",santotomas,santotomas.cl,796,Ecología Evolución Micología Ciencias del Suelo Biogeoquímica 
14018219609791295521,hrJ2XYsAAAAJ,Alejandro Reyes-Reyes,"Profesor de Psicología, Universidad Santo Tomás, Concepción, Chile.",santotomas,santotomas.cl,779,Empatía Psicometría Metodología de la investigación 
14018219609791295521,wOnfkSYAAAAJ,Héctor J Pavés,"Departamento de Ciencias Básica, Universidad Santo Tomas",santotomas,santotomas.cl,713,Conservation Biology in Marine Top Predator … 
14018219609791295521,Zb2h_xAAAAAJ,Paula Díaz,"Faculty of Health, Universidad Santo Tomás",santotomas,santotomas.cl,671,
14018219609791295521,X4JpgYwAAAAJ,Guillermo Mendez-Rebolledo,Universidad Santo Tomás,santotomas,santotomas.cl,661,Muscle Strength Motor Control Physiotherapy Sport Science. 
14018219609791295521,gj4M9X8AAAAJ,Pamela Caro,Universidad Santo Tomás,santotomas,santotomas.cl,617,género familia y trabajo 
14018219609791295521,2B6_y20AAAAJ,Victor Eduardo Cancino Cancino,"Universidad Santo Tomás (UST), Chile",santotomas,santotomas.cl,553,Politica educativa gestión educativa planificación estratégica gestión universitaria gestión de calidad 
14018219609791295521,lNlzaIsAAAAJ,Yeny Concha- Cisternas,Universidad Santo Tomás,santotomas,santotomas.cl,491,Rehabilitación Envejecimiento Actividad Física Salud 
14018219609791295521,v1S3-soAAAAJ,Annia Rodríguez-San Pedro (https://orcid.org/0000-0002-2615-7669),"Associate Professor, Facultad de Ciencias, Universidad Santo Tomás",santotomas,santotomas.cl,428,Ecology Conservation biology Bioacoustics Bats 
14018219609791295521,rRpnAgkAAAAJ,Eduardo Ravanal Moreno,Universidad Santo Tomás,santotomas,santotomas.cl,421,… y Desarrollo Profesional del Profesor de … 
14018219609791295521,bVWIFcEAAAAJ,Francisco Cuevas,"Profesor Asociado Universidad Santo Tomás, Viña del Mar",santotomas,santotomas.cl,391,biophisics biochemistry 
14018219609791295521,jlpbJJYAAAAJ,Luis Cottet Bustamante,Universidad Santo Tomas,santotomas,santotomas.cl,340,Microbiología 
14018219609791295521,BiejoiYAAAAJ,Andrés Moltedo,"Docente de Psicología, Universidad Santo Tomás",santotomas,santotomas.cl,236,Psicología 
14018219609791295521,MtnRhqUAAAAJ,Marcelo Bobadilla,universidad santo Tomás,santotomas,santotomas.cl,227,
14018219609791295521,sX0h9rEAAAAJ,Carolina Silva Parejas,Universidad Santo Tomás,santotomas,santotomas.cl,227,Volcanología peligros volcánicos petrología ígnea 
14018219609791295521,ai3xkzMAAAAJ,Daniela Haro,"Centro Bahía Lomas, Universidad Santo Tomas",santotomas,santotomas.cl,221,Marine mammals Trophic ecology 
14018219609791295521,EgT_3ckAAAAJ,Alexis Espinoza-Salinas,Laboratorio de Fisiología del Ejercicio - Escuela de Kinesiología -Universidad Santo Tomás,santotomas,santotomas.cl,218,Fisiología clínica del ejercicio 
14018219609791295521,kxPA_igAAAAJ,Victor Felipe Castillo Riquelme,Universidad Santo Tomás,santotomas,santotomas.cl,212,Educación Superior Estadística TICs 
14018219609791295521,m9Sy2F0AAAAJ,Alvaro Opazo,"Associate Professor, PhD, Universidad Santo Tomas",santotomas,santotomas.cl,194,biomedicine veterinary parasitology 
14018219609791295521,3x3B4fAAAAAJ,Felipe Tello-Navarro,Universidad Santo Tomás,santotomas,santotomas.cl,187,Sociología relaciones sexo-afectivas interacciones digitales 
14018219609791295521,W3ROKzMAAAAJ,Hugo Segura,Universidad Santo Tomás,santotomas,santotomas.cl,175,desarrollo del lenguaje discurso narrativo trastornos del espectro autista 
14018219609791295521,-2Ks5O0AAAAJ,Jaime Aedo-Saravia,"Psychologist. Associate Professor, Universidad Santo Tomás, Chile",santotomas,santotomas.cl,167,Psychometrics Psychological Trauma PTSD Higher education 
14018219609791295521,JCMwnNcAAAAJ,Manuel Roberto Garcia-Huidobro Moreno,Universidad Santo Tomás,santotomas,santotomas.cl,156,host-parasite relationship and biological … Conservation medicine intertidal ecology 
14018219609791295521,rl6UuJYAAAAJ,José Díaz Nieva,"Profesor de Derecho Político, Universidad Santo Tomas (Chile)",santotomas,santotomas.cl,152,derecho historia politica 
14018219609791295521,kF7MJKAAAAAJ,Genevieve Merabachvili,"Profesor Bioquimica y Biologia Molecular, Universidad Santo Tomas",santotomas,santotomas.cl,125,Microbiologia Biologia Molecular salud 
14018219609791295521,NADfikgAAAAJ,Manuel Nibaldo del Campo Rivas,Universidad Santo Tomás,santotomas,santotomas.cl,122,Public Health Speech Language and Hearing Sciences Deglutition Disorders Health Economics 
14018219609791295521,kz5VqIQAAAAJ,Daniela Oyarce Cádiz,Universidad Santo Tomás,santotomas,santotomas.cl,118,Psicología infantil y  parentalidad 
14018219609791295521,dBfb_BEAAAAJ,Miguel Angel Ramos-Henderson,"Centro de Investigación e Innovación en Gerontología Aplicada CIGAP, Universidad Santo …",santotomas,santotomas.cl,117,Neuropsicología Gerontología Demencia Deterioro Cognitivo 
14018219609791295521,W3dQzqUAAAAJ,Alvaro Reyes Duarte,Universidad Santo Tomas,santotomas,santotomas.cl,97,Rural financial market technology trasfer develoment economics 
14018219609791295521,-OBRzbUAAAAJ,Joaquín Araya-Arriagada,"Profesor Asistente, Universidad Santo Tomás",santotomas,santotomas.cl,93,Physiology of visual system Alzheimer's disease Complexity analysis 
14018219609791295521,XowH8MMAAAAJ,Verónica Rubio Aguilar,"Facultad de Ciencias Sociales y Comunicaciones, Universidad Santo Tomás",santotomas,santotomas.cl,84,Diversidades sexo genéricas … 
14018219609791295521,eBr1r3wAAAAJ,Alfredo Palacios Roa,"Universidad Santo Tomas, Chile",santotomas,santotomas.cl,76,Historia de Chile Historia de América Catástrofes Terremotos 
14018219609791295521,erGthQEAAAAJ,Felipe Nesbet,Universidad Santo Tomás,santotomas,santotomas.cl,68,Estudios Latinoaméricanos nuevas tecnologias militarismo 
14018219609791295521,FcRHcdoAAAAJ,Nelson Hun Gamboa,"Escuela de Nutrición y Dietética, Universidad Santo Tomás, Chile.",santotomas,santotomas.cl,56,Comportamiento alimentario Psicología de la salud Inmigración. 
14018219609791295521,3DD0HlsAAAAJ,Franco Cruz-Jofré,Universidad Santo Tomás,santotomas,santotomas.cl,54,Evolución 
14018219609791295521,_YLcFIEAAAAJ,Dr. Marcial Sánchez Gaete,Universidad Santo Tomas,santotomas,santotomas.cl,48,Historia 
14018219609791295521,bVido7MAAAAJ,Sergio Sazo Rodríguez,"Kinesiólogo, Universidad Santo Tomás",santotomas,santotomas.cl,48,Actividad Física y Salud 
14018219609791295521,dDxsl4YAAAAJ,Gonzalo Chávez Contreras,Universidad Santo Tomás,santotomas,santotomas.cl,42,Medicina Veterinaria Comportamiento animal Vínculo Humano Animal Etología Clínica 
14018219609791295521,bd5CqeUAAAAJ,Ignacio Serrano del Pozo,"Universidad Santo Tomás, Doctor en Filosofía",santotomas,santotomas.cl,42,Tomás de Aquino tomismos contemporáneos secularización racionalización 
14018219609791295521,XuON7ZMAAAAJ,Mario Torres Echeverría,Escuela de Kinesiología - Universidad Santo Tomás,santotomas,santotomas.cl,41,Salud 
14018219609791295521,f5qWgn8AAAAJ,Juan Carlos Armijos,"Profesor Asistente, Escuela de Auditoría y Control de Gestión, Universidad Santo Tomás",santotomas,santotomas.cl,41,Gestión de la Calidad Gestión Hospitalaria Calidad de la Educación Superior Planificación Estratégica 
14018219609791295521,OvfJf0YAAAAJ,Leonardo Rodriguez-Cordova,"Escuela de Ingeniería Civil Industrial, Universidad Santo Tomás",santotomas,santotomas.cl,40,medio ambiente sustentabilidad procesos complejos en ingeniería 
14018219609791295521,FTiJIakAAAAJ,Roberto Álvarez San Martín,Universidad Santo Tomás,santotomas,santotomas.cl,34,Antropología Interculturalidad 
14018219609791295521,6-QYlMMAAAAJ,María Soledad Fernández Murillo,Universidad Santo Tomás,santotomas,santotomas.cl,31,Ciencias Sociales Museos Arqueología Feminismos 
14018219609791295521,mACalrMAAAAJ,Byron Droguett,UNIVERSIDAD SANTO TOMAS,santotomas,santotomas.cl,30,General Relativity Quantum field theory 
14018219609791295521,ajL_dRYAAAAJ,Giovanny Arenas Sánchez,"Laboratorio de Fisiología del Ejercicio, Escuela de Kinesiología, Universidad Santo Tomás …",santotomas,santotomas.cl,28,
14018219609791295521,8-YaNKkAAAAJ,Angélica Silva-Ríos,Universidad Santo Tomás,santotomas,santotomas.cl,26,Salud Pública - Fonoaudiología - Innovación … 
14018219609791295521,iWpl8twAAAAJ,Vivian Neumann,Universidad Santo Tomás,santotomas,santotomas.cl,20,
14018219609791295521,6wUDd3gAAAAJ,Elia Sepúlveda,Académica e Investigadora  Universidad Autónoma de Barcelona  - Universidad Santo …,santotomas,santotomas.cl,19,Cambio ambiental global pedagogía social trabajo social desastres naturales 
