scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,944,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,914,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,783,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,640,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,497,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,494,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,464,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,418,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,355,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,344,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,210,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,163,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,158,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,156,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,153,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,146,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,129,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,128,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,126,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,117,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,114,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,110,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,108,
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",,101,
