id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
7459009050823923954,OmsvZIkAAAAJ,Eduardo A. Undurraga,"Escuela de Gobierno, Pontificia Universidad Católica de Chile",uc,uc.cl,96458,Population health health economics modeling poverty and inequality infectious diseases 
7459009050823923954,Ys0ezMUAAAAJ,Franz Erik Bauer,Pontificia Universidad Católica de Chile,uc,uc.cl,43268,AGN SMBHs Galaxies 
7459009050823923954,RCYlSE0AAAAJ,Alejandro Clocchiatti Garcia,Pontificia Universidad Católica de Chile,uc,uc.cl,42362,Astrophysics Supernovae Cosmology Education 
7459009050823923954,sTtUkYQAAAAJ,Catterina Ferreccio,Department of Public Health/School of Medicine/Pontificia Universidad Católica de Chile,uc,med.puc.cl,38606,Epidemiology 
7459009050823923954,fC3uEL8AAAAJ,Ramon Corbalan,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile",uc,med.puc.cl,33600,Cardiologia 
7459009050823923954,V6M51_0AAAAJ,Flavio Nervi,"Departamento de Gastroenterología, Pontificia Universidad Católica de Chile",uc,med.puc.cl,30030,gastroenterology gallstones biliary lipids metabolism cholesterol 
7459009050823923954,XNYtQyUAAAAJ,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile",uc,bio.puc.cl,29740,ecology forest science ecosystem science earth science 
7459009050823923954,pnVP9X8AAAAJ,Nibaldo C. Inestrosa,Pontificia Universidad Catolica de Chile,uc,bio.puc.cl,28315,
7459009050823923954,dxP4ya8AAAAJ,Juan Pedro Kusanovic,Pontificia Universidad Católica de Chile,uc,med.puc.cl,27258,Maternal-Fetal Medicine 
7459009050823923954,B0JgDB4AAAAJ,Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute",uc,bio.puc.cl,24998,Macroecology theoretical ecology Complex systems Global change Conservation 
7459009050823923954,UnjDitsAAAAJ,Juan Carlos Castilla,P. Universidad Catolica de Chile,uc,bio.puc.cl,24862,Rocky interidal Conservation-MPAs Invasive species Humam impacts 
7459009050823923954,m-ZpN6kAAAAJ,Gonzalo Valdivia or Valdivia CG or Valdivia C Gonzalo or Valdivia Gonzalo,Pontificia Universidad Catolica de Chile,uc,med.puc.cl,24760,Public Health Epidemiology chronic respiratory epidemiology COPD Asthma 
7459009050823923954,F_E2008AAAAJ,Jose A. Rodriguez Portales,Universidad Católica de Chile,uc,med.puc.cl,22057,medicina 
7459009050823923954,yARn0BEAAAAJ,Sebastián Valenzuela,"Associate Professor, School of Communications, Pontificia Universidad Católica de Chile",uc,uc.cl,19060,Political Communication Comunicación Política Social Media Digital Journalism Periodismo Digital 
7459009050823923954,HumYTToAAAAJ,Juan de Dios Ortúzar,Pontificia Universidad Catolica de Chile,uc,ing.puc.cl,17620,transport urbanism econometrics 
