scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,331,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,242,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,184,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,164,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,146,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,108,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,107,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,102,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,102,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,97,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,95,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,92,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,85,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,80,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,78,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,77,
burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,"Exoplanets, Stellar activity, radial velocities, M dwarfs",,74,
