scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,700,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,585,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,430,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,417,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,348,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,288,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,260,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,229,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,175,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,161,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,149,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,143,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,140,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,137,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,114,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,114,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,107,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,104,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,103,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,102,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,101,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,97,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,92,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,90,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,90,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,82,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,80,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,79,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,78,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,75,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,74,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,73,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,73,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,73,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,73,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,72,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,72,
vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors",,71,
